"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",35813453113.0627,36656063194.8805,39438768651.9926,49755527910.786,48370262656.7864,47895798058.3092,54936602135.2598,61486085684.7653,68077378344.7453,67271742465.0278,65646952950.6667,72259934542.6881,79785291758.4133,74883325515.7309,59131844339.4819,62996609650.7507,76621546113.4698,87613001702.5242,85650573360.2845,91631837556.2188,107125862197.752,74753824466.6324,77342232232.1097,99312221765.443,73857285734.33,42294919333.09
"Electronics, Comms, & Sensors",33851997718.8038,37417881273.8317,43884803844.9555,51686178846.0484,59882032881.9983,62902688585.072,65143055174.4281,74208104636.749,79325454497.1181,79787213441.1215,82390604601.9195,78412565249.6695,75216315036.6963,66882820661.8893,69784474928.8981,69795905577.7662,75497939484.794,79526366030.2347,87107544442.6231,93462385093.2639,98037081231.9743,94263698613.3699,101108687731.633,107197049696.622,112258249352.247,41350969521.88
"Facilities and Construction",53954825524.387,58729059749.2836,69875433195.6029,84140944617.1628,76251463804.5705,86754338577.5064,95594714939.0498,96411394404.4486,105729494954.543,126000772730.808,122682016557.07,106583397551.588,98255243532.0227,85209472868.6503,90747763405.4554,85483447200.369,89884570942.9246,94281341675.015,105405001495.022,112697309190.974,123319218525.234,117327565953.604,133058578921.3,147813543799.461,147070880910.638,54416826044.95
"Land Vehicles",4709726049.2591,4256281707.5109,5968155905.5062,10892772671.747,10232006853.7502,18184455561.4298,18323175925.9052,29882101758.1784,41376251367.5561,31051370922.5982,27179592980.5835,21406647876.9963,12639818666.9314,8946040479.6532,7790429827.8077,9329193395.6987,9544593188.566,10437599984.3089,15125254069.9159,15144527317.9087,14055776747.8616,12033125879.8828,13274452056.8269,17417651349.4322,16764633772.9133,8175153322.03
"Missile Defense",3712993149,4009935888.4,5642874340.825,5825750978.0938,6850883253.5797,7241986679.0175,8137932950.5804,9598715469.5959,10357444324.0874,12248019705.5545,12410878346.5911,12082693116.9403,12676566647.6782,12099741738.1587,9293494133.5078,10675878028.3043,10975434323.1747,8833249237.5686,14755738244.1164,15081905808.139,20378112917.8654,13476285590.034,15035889627.5601,13888761799.0107,14026979374.03,5988118567.95
"Ordnance and Missiles",8006101538.5768,8539347904.4396,11499090416.5034,12882416180.5377,13297820092.9327,14189786601.5846,13758069998.5359,16782234969.707,17785934454.9223,16298197926.1604,14940523770.9503,14453747750.0931,14544409183.6595,11978240433.389,11945278668.3066,12226930464.0563,15699088014.1002,18000842332.6613,20563924190.3244,23123083293.9744,23090786964.6634,20758845702.4343,19325605377.7867,32830538873.5193,35722358084.53,13808556789.99
"Other Products",17212160152.4391,17416728688.8403,19919001895.7711,23648016806.3688,28199494523.7516,47399136039.5509,53572006143.423,55928142578.5757,62052099103.8197,62458483252.0473,73943590746.3383,56179702217.622,60040656537.7466,48135993925.7807,44379519557.9363,42135562173.7611,41220105686.5138,43286415896.2012,46421418438.3294,45427038033.9256,62902050454.6273,83200185704.4071,87784553498.6394,65358093957.1934,63976355340.0118,27223983529.61
"Other R&D and Knowledge Based",23628758998.6541,25868879271.3097,34110734651.2882,39806338188.1027,44061821401.9525,53259852829.4081,60220692770.1551,63508226873.8125,72870639063.6575,80811421872.3991,85046146649.0591,82956728979.0144,81129190988.5995,74889134209.6208,75375586136.9786,76402482709.5013,78766261986.7441,82388420006.076,88868910576.8251,95524598764.2193,108252949323.419,117786347161.496,123678596643.625,144253867192.182,153786776692.929,56247848764.86
"Other Services",8627257138.708,9557603147.0913,12743523439.7045,18921721938.5695,23482871327.2209,25753643408.349,29268061524.8461,29890758581.7761,33450624836.9205,38071962376.4187,40993927353.7149,46202584884.266,42564310877.6357,39487213256.1211,35213489622.3402,33033839428.0327,35035025683.864,41348182526.5821,42267955843.1585,44490003396.5445,53710391173.2608,62729646505.4829,70709283434.1727,72160865580.6363,78309585140.5112,36261000473.74
"Ships & Submarines",10701622330.4638,12900929974.39,13339941029.8517,13703339418.4184,15823345884.9556,14947012438.9044,17551115676.3557,17908547161.6354,20416509405.6822,22725210397.5363,18771997825.7313,30790005975.9622,25345551411.207,25001965693.6028,25550895472.9359,22513278171.9604,25743580992.8802,28683400517.2441,32812757674.6605,35092217877.3936,41688556338.9489,34047947585.0132,36179013289.4926,42143346169.2486,41190679170.4309,22096746338.5
"Space Systems",5252105836.8517,7361778336.71,7091393334.37,7597281607.2774,12576144024.0527,12456143319.2559,14118510298.3973,13916218618.814,16674898053.7723,18387253444.2346,17421936709.5261,18951065388.7405,19009024931.6974,16495678414.3019,17286737869.0235,15646124918.1443,16826970209.372,16712295147.5456,17371344713.1969,18379781107.4103,19202083567.048,15415684453.5765,17254494452.5685,18691499449.4666,18874607817.74,7133523200.41
"Unlabeled",151009405.9452,407625834.776,665820860.5375,674344393.1326,346216180.0659,436880076.3231,526756190.8234,311919649.0391,208084011.4077,107979879.8621,33511986.7222,2385164.9461,-3571592.0831,-7339629.7706,-176374.15,-771054.7156,4772115.7133,232336.3083,-244515.52,37111.09,13033.91,316167.55,6232382.3557,14591626.5254,14583683.27,11768612.21
