"SimpleArea","IsOTA","2015","2016","2017","2018","2019","2020","2021"
"Products","Contract",24754831.9659016,25793861.9878722,55090560.2635609,44377490.3152197,28935296.0460157,54368295.2619,36215039.3998431
"R&D","Contract",353795507.013224,302594015.120411,265604958.180813,265509341.946284,299615103.45475,319757955.4654,330692092.03118
"Services","Contract",665088015.522951,632420321.938062,551979478.654861,547208775.0736,599904127.361596,557945837.9212,523768011.278753
"R&D","OTA",546448.087431694,66008814.5208446,2797086.79004467,-25826.9102644181,249974.492398735,3147532,1502649.43621924
