"SubCustomer.DTRA","2015","2016","2017","2018","2019","2020","2021"
"DTRA",546448.087431694,66008814.5208446,2797086.79004467,-25826.9102644181,249974.492398735,3147532,1502649.43621924
"Army",,2550893.34055225,,1865429.93962107,4170346.62789511,43523463.87,100616273.67389
"Other DoD",,,,,4914521.70186716,6531774.43,5909224.14942641
