"SimpleArea","AnyCommercialText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products","Not Classified
as Commrcial",,,,,,,,,,,48912929849.589,51158471101.1018,55791167907.1424,67629960221.8481,71138731142.2526,101144956065.861,106466496825.032,110757858737.493,129051981189.026,124858023743.741,119562050880.598,132358136066.9,127678361415.836,114108106729.643,97587287728.4599,100268909367.192,122323447222.484,133936839861.843,147268715538.793,156587507096.254,179517163013.797,127578822281.468
"Products","Non-Development
or Commercial Similar",,,,,,,,,,,0,,117847094,525534346,432731461,331209289.75,393186343.7813,636899328.272,761544475.8003,405883496.1528,15976155.978,5802167.4519,-5301243.4233,-653642.1781,-3292308.0305,193063.2891,-51831.9105,-5148.6499,439210,0,-406.85,0
"Products","Any Commercial
Classification",,,,,,,,,,,10680976410.9244,13896991175.7823,20947853411.7824,26734559848.7066,32267918578.4055,21912167395.1079,29404091101.6693,47090444804.7373,60173504102.5363,48384992235.7828,42426926795.1576,40725559892.869,43878898197.9101,33529539762.3224,31792747882.4645,29531010103.8186,26323862877.489,29680877712.0913,35884210797.1912,36670750190.1031,38584814479.5475,66633705738.2942
"Products",,68380721115,73383395678,60090730088,60299705534,51512841085,49691607958,52193436723,49278780640,48098195391,51802770524,,0,10802503.2,28925.57,,,,,,-290.2,-76366.6797,,-8779,0,,35878.5,32130,,21494,195.86,9791077.161,16067326.1762
"R&D","Not Classified
as Commrcial",,,,,,,,,,,18715885521.1952,20246345166.0872,24057227738.4004,27255105469.7419,27336159188.6626,33610094883.5165,37616836151.617,40221231833.755,38923530425.8419,41367156697.9519,39160471009.8075,36806870515.2054,33199607952.1339,26398555854.3474,24094660937.1566,22397369446.6795,23266282430.6894,24420332476.6101,25907247942.2891,29513683046.0201,29695187034.9679,30592067114.3423
"R&D","Non-Development
or Commercial Similar",,,,,,,,,,,,66500,39998165,127371456,298304719.2901,169976683,88826400,,4690518.0156,56045061.4315,22188205.081,349524626.3303,2839824.8275,541077.39,-3598257.15,-1478045.88,-678785.3645,-48170.5781,-1179.7793,,12726190.0938,20531878.7891
"R&D","Any Commercial
Classification",,,,,,,,,,,259686167,413420856,350627444.9179,910811912.1,2299384229.413,529319362.7673,213347771.7281,519904197.1195,588339144.0369,575240943.0811,572064868.7387,314343947.4672,194192694.3177,168147559.7266,103203189.9217,131434267.0894,148830829.1531,170436176.6734,243084768.4443,242535132.5242,511112078.272,820119620.2933
"R&D",,20132124764,19885713573,20567110455,21162972669,21362580777,21473011118,20037085243,19437129812,19780164014,19040526682,,,,,,,,,,-66522.2422,-1e+05,,,,,,,,,,,
"Services","Not Classified
as Commrcial",,,,,,,,,,,48343057023.6499,51399064991.7222,55991353823.8474,72758690074.819,75763489072.4081,90175529288.3285,99970157984.9433,104507347234.88,123468676574.229,137411493416.332,133583708457.524,129919754764.346,126399173740.768,109524109965.394,108335702285.603,100911692495.748,104413969679.591,108977616805.34,122787711696.553,131496919955.691,140034896728.183,127748488051.066
"Services","Non-Development
or Commercial Similar",,,,,,,,,,,26260158,-388738,72732319,138942240.4297,377270405.25,452710609.8672,34201574.4045,85557812.605,95821034.03,203182372.8145,350003910.0877,710344842.0085,723993621.8679,584474270.0216,284738606.5631,119736777.6573,105810001.371,43247172.4517,151515670.738,127378103.1477,17526351.0994,87069599.6272
"Services","Any Commercial
Classification",,,,,,,,,,,5210184217.4903,6889894671.3249,12309811077.1686,15458378510.8547,19826961628.387,17388879668.9201,20928109204.1211,24303510578.6585,24889771623.8899,28266739538.2995,26718855846.1334,27375297475.975,25564353045.9489,22268171698.1353,21093469961.5411,20824152968.6551,21775937701.2987,23390182369.5567,26656954069.1587,29171427867.0693,33324259734.0025,33279500484.3499
"Services",,31837283526,42885084593,42748820007,39910703939,44286480863,45427395792,46218257132,47266241427,49087522762,51341739282,0,661919,23057260,11123009.85,76558,614416.0625,14326.16,4000,484171.875,1556056,-7947001.7599,422130.71,326662.2002,158791,-558047.03,1405443.875,762559,1565540,56243594.3413,44827690.2762,40141663.7086,42379128.0975
,"Not Classified
as Commrcial",,,,,,,,,,,29266304.9199,7936242.1361,81730335.0265,74905462.1327,3568442.9694,3473061.9626,105865983.756,18042372.7799,382013.1997,682889.1333,-204608.7769,-115206.3414,-2831.6001,-49146.5595,,,3582106.8109,-245,-233000.0781,465885,0,376316
,"Any Commercial
Classification",,,,,,,,,,,240853.6187,1840294.1062,2351537.129,832563.0413,3509752.8132,329574.1597,3882311.0517,5212.27,-13969.9805,0,-49040.8811,-20652.5099,-3646.2,-50576.5611,,,-2315.6101,,,,,
,,0,,,,,,,,,,,62039.7002,1990.14,2975,,,,,,303279,-270,-4966.25,,,,30000,1738.23,1345852,20204.7109,0,314555.625,10000
