"","Primary.Export.Product.NAICS","CriticalTech"
"1",5088,NA
"2",3546,NA
"3",3531,NA
"4",3563,NA
"5",3533,NA
"6",5064,NA
"7",5039,NA
"8",5147,NA
"9",5159,NA
"10",5153,NA
"11",5162,NA
"12",3699,NA
"13",5063,NA
"14",5083,NA
"15",8711,NA
"16",2869,NA
"17",5051,NA
"18",3721,NA
"19",2899,NA
"20",3845,NA
"21",7538,NA
"22",7699,NA
"23",2819,NA
"24",4213,NA
"25",2821,NA
"26",3851,NA
"27",5082,NA
"28",2992,NA
"29",5049,NA
"30",5046,NA
"31",3949,NA
"32",5013,NA
"33",3469,NA
"34",3585,NA
"35",3571,NA
"36",3498,NA
"37",3511,NA
"38",3544,NA
"39",5065,NA
"40",3081,NA
"41",3443,NA
"42",3599,NA
"43",3569,NA
"44",5149,NA
"45",3491,NA
"46",3541,NA
"47",3829,NA
"48",2099,NA
"49",3714,NA
"50",2789,NA
"51",5113,NA
"52",1791,NA
"53",5099,NA
"54",7372,NA
"55",3559,NA
"56",3549,NA
"57",3661,NA
"58",3669,NA
"59",7373,NA
"60",3354,NA
"61",3089,NA
"62",3612,NA
"63",3492,NA
"64",3556,NA
"65",5136,NA
"66",2281,NA
"67",2295,NA
"68",3547,NA
"69",5014,NA
"70",5084,NA
"71",3629,NA
"72",5093,NA
"73",3462,NA
"74",5031,NA
"75",3624,NA
"76",3825,NA
"77",3724,NA
"78",3561,NA
"79",3053,NA
"80",3841,NA
"81",119,NA
"82",7371,NA
"83",5047,NA
"84",2435,NA
"85",5146,NA
"86",7376,NA
"87",3499,NA
"88",3826,NA
"89",3542,NA
"90",2657,NA
"91",5091,NA
"92",3823,NA
"93",3999,NA
"94",3589,NA
"95",3577,NA
"96",3080,NA
"97",5045,NA
"98",3613,NA
"99",3423,NA
"100",2096,NA
"101",2064,NA
"102",3444,NA
"103",3843,NA
"104",3523,NA
"105",3425,NA
"106",3861,NA
"107",3743,NA
"108",3554,NA
"109",3537,NA
"110",1389,NA
"111",3086,NA
"112",3679,NA
"113",2891,NA
"114",3594,NA
"115",3565,NA
"116",7692,NA
"117",3578,NA
"118",3567,NA
"119",8734,NA
"120",3429,NA
"121",3555,NA
"122",3674,NA
"123",2341,NA
"124",3827,NA
"125",2741,NA
"126",2833,NA
"127",1382,NA
"128",2813,NA
"129",8713,NA
"130",2299,NA
"131",1623,NA
"132",2452,NA
"133",8742,NA
"134",999999,NA
"135",8741,NA
"136",2844,NA
"137",3663,NA
"138",3087,NA
"139",3536,NA
"140",3812,NA
"141",7822,NA
"142",3731,NA
"143",5144,NA
"144",7352,NA
"145",4953,NA
"146",6021,NA
"147",5143,NA
"148",5087,NA
"149",5012,NA
"150",3448,NA
"151",4813,NA
"152",3621,NA
"153",7374,NA
"154",3400,NA
"155",3911,NA
"156",8748,NA
"157",7379,NA
"158",2835,NA
"159",5052,NA
"160",2679,NA
"161",3452,NA
"162",2092,NA
"163",3493,NA
"164",1381,NA
"165",3543,NA
"166",5072,NA
"167",3564,NA
"168",2048,NA
"169",1629,NA
"170",2034,NA
"171",4959,NA
"172",723,NA
"173",1542,NA
"174",5085,NA
"175",5075,NA
"176",3291,NA
"177",2759,NA
"178",3575,NA
"179",3678,NA
"180",1731,NA
"181",3672,NA
"182",8744,NA
"183",9999,NA
"184",3711,NA
"185",5148,NA
"186",3463,NA
"187",5199,NA
"188",3532,NA
"189",2873,NA
"190",3732,NA
"191",3822,NA
"192",2834,NA
"193",8712,NA
"194",3844,NA
"195",3083,NA
"196",3570,NA
"197",2621,NA
"198",3497,NA
"199",3465,NA
"200",3728,NA
"201",2394,NA
"202",4513,NA
"203",3471,NA
"204",5074,NA
"205",3955,NA
"206",3548,NA
"207",3691,NA
"208",3625,NA
"209",3535,NA
"210",2421,NA
"211",3842,NA
"212",3643,NA
"213",2396,NA
"214",2141,NA
"215",3524,NA
"216",4971,NA
"217",2426,NA
"218",2077,NA
"219",3651,NA
"220",3799,NA
"221",2297,NA
"222",7363,NA
"223",3451,NA
"224",5145,NA
"225",173,NA
"226",5032,NA
"227",3069,NA
"228",4731,NA
"229",3510,NA
"230",3357,NA
"231",2499,NA
"232",1771,NA
"233",3572,NA
"234",4581,NA
"235",2439,NA
"236",5169,NA
"237",2079,NA
"238",3568,NA
"239",3494,NA
