DoD_Office_Info

Report Filter:
{Date Signed} (ID) Between 10/1/1989 and 9/30/1999 And {Contracting Department ID} (ID) = "9700"

"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Contracting Department ID","Contracting Department Name","Contracting Office ID","Contracting Office Name","Contracting Office Region","Country Where Award Was Issued","Major Command Code","Major Command ID","Major Command Name","Organization Code","Organization ID","Parent Macom Code","Sub Command 1 Code","Sub Command 1 ID","Sub Command 1 Name","Sub Command 2 Code","Sub Command 2 ID","Sub Command 2 Name","Sub Command 3 Code","Sub Command 3 ID","Sub Command 3 Name","Sub Command 4 Code","Sub Command 4 ID","Sub Command 4 Name","Dollars Obligated","Number of Records"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA411","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$70,404,000.00","17"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA412","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$294,032,000.00","21"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA413","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$75,954,000.00","8"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA414","DOD/DEPARTMENT OF THE NAVY","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$121,381,000.00","8"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA415","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$10,880,000.00","3"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA416","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$995,000.00","1"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA421","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$134,331,000.00","15"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA422","DOD/DEPARTMENT OF THE NAVY","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$2,909,000.00","1"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA423","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$237,423,000.00","16"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA427","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$48,287,000.00","22"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA427","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~9700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$241,251,000.00","7"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA429","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$37,024,000.00","12"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4D0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$772,774,000.00","32"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4E0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$1,127,962,000.00","80"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4F0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$23,400,000.00","3"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4G0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$443,823,000.00","47"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4J0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","($191,193,000.00)","6"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4K0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$555,000,000.00","2"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4L0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$15,688,000.00","1"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4R0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$52,979,000.00","27"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4X0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","($50,000.00)","14"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4X0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~9700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","($438,000.00)","5"
"1990","1700","DEPT OF THE NAVY","9700","DEPT OF DEFENSE","AA4Z0","NAVAL AIR SYSTEMS COMMAND","NO REGION IDENTIFIED","USA","","","","~9700~1700~~~~~~","~~~~~~~~","N00019_NAVAIR HQS_N00019 _NAVAIR","","","","","","","","","","","","","$8,040,000.00","17"
