PlatformPortfolioUAV,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
Aircraft,0.211948376,0.138077374,0.13439293,0.169881,0.25975445,0.213086037,0.204622392,0.20008982,0.210945066,0.12691274,,,,,,,,,,,,,
"Electronics,
Comms, & Sensors",0.026591325,0.035511478,0.02592052,0.033433697,0.040393312,0.032475823,0.039855525,0.041769319,0.032851971,0.032031418,,,,,,,,,,,,,
Land Vehicles,0.096899709,0.148110507,0.068351591,0.230784757,0.172941602,0.138437416,0.136654437,0.073916556,0.057258135,0.069373373,,,,,,,,,,,,,
"Air & Missile
Defense",0.193030893,0.123337633,0.116666049,0.300541832,0.237008406,0.08369078,0.221057804,0.448738707,0.521729613,0.308581914,,,,,,,,,,,,,
"Ordnance &
Missiles",0.104884136,0.166329798,0.13354377,0.183386613,0.165397678,0.233206126,0.171304743,0.16890873,0.289777455,0.195694773,,,,,,,,,,,,,
Remotely Crewed,0.006545136,0.015662485,0.018893226,0.082583642,0.083151919,0.051579515,0.113649973,0.155474444,0.051179172,0.151311521,,,,,,,,,,,,,
"Ships &
Submarines",0.008728788,0.006601288,0.006706624,0.009540878,0.033251514,0.013183133,0.022365698,0.009708373,0.064103234,0.01081664,,,,,,,,,,,,,
Space Systems,0.020290888,0.00292577,8.82E-05,0.002352372,0.001271849,0.00190592,0.001506717,0.000944927,0.002069571,0.001358709,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PlatformPortfolioUAV,IsFMS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aircraft,0,1017179749,2873075269,6689476191,8341273837,7229357368,7989522829,8400588904,9699934651,9208560509,10513368550,16267291543,49357309783,58454999624,60838721983,48616590678,48656163944,53498600884,64743607672,63289519698,68756818195,80614680021,62979705926
Aircraft,1,96638067,47744731,269638767,263669323,289766564,196482764.6,489620800.8,474522781.5,347474082.3,910459754.3,1256953307,5031194371,16141423686,9948050081,7689667489,10211886823,19174138352,17852508655,16669474214,17596337400,21988295061,9444431452
Aircraft,,34069265526,32866179107,31661336279,39722732610,39932798744,38258250842,44283840121,48852025095,55246949227,51993897428,43330726000,12566624312,,,,450779.4793,,,,,,
"Electronics, Comms, & Sensors",0,750709714.8,929851071.8,1974275439,2914934392,3435592011,4264958647,5455006263,6343515984,8009771287,9779399481,13259018483,46313779686,47445081131,38607971493,38845534661,37102187791,40122174633,42984229477,47437212610,50911752933,51804637455,46497061979
"Electronics, Comms, & Sensors",1,58167018,41489882,39973267,92608350,39957815,618679073,302683214.3,611130216.8,182669361.7,156885889.6,375067518.7,1852595261,1987323796,2331201884,1789894047,2339955233,3039071800,2598063791,3461776225,3888680043,3159596318,2998746470
"Electronics, Comms, & Sensors",,19912875366,21429660538,23844418088,28707578710,33679696152,37089052652,39147268463,45260891906,48548024077,45168865287,42385042358,4009193275,,,,1591626.702,,,,,,
Facilities and Construction,0,736535431.9,1120925810,1403838552,1792580638,2700354476,2917493152,2874667789,2952302014,3683724417,10789492163,16816675563,48316880666,48403602598,38399987041,41048159009,37045642515,37286029648,37405190021,45586350032,51424855047,59230848197,50842705035
Facilities and Construction,1,,1181341,1665974,14891720,35389043,6960150,-2722035,2309580.695,388045.8105,22011151.08,293580904.2,414124658.7,650561650.9,874542288,1210810806,1119763717,1296957908,1056803082,1378557112,640385762.1,926163643.7,313774009.8
Facilities and Construction,,20067262421,22034655093,24657896737,32640798805,32959166695,36655075537,42745493642,43268765884,53641714054,55598920763,44157754373,5892161086,,,,3101474.997,,,,,,
Land Vehicles,0,41254188,302762533,793339018.9,4228279601,414770750.4,2706537705,3755547373,4401944310,3686800701,8248125180,7921841235,16234949831,9616822180,6116696330,5297439674,5336015859,5703430567,6817866536,10620167428,11918646628,11018743460,8997719665
Land Vehicles,1,52870467,1271049,892239,5742912,2275398,34019779,292682594.5,6167837.305,14023885.89,262845418.1,1563775999,2597827678,1219806715,1318203760,528146860,2161906630,1649167164,1435437918,2068953220,1128907829,808459842.9,845315908.6
Land Vehicles,,3302142319,2993772654,3990526581,5407490117,8097343353,12482879808,12081950008,23789726087,36023619873,20321838862,15850477676,745439164,,,,98828.7807,,,,,,
Missile Defense,0,446946424,1095819241,2656755133,2607235156,2804030242,2991058328,2901960199,3086107623,2935543625,2858223143,2272482031,4165922627,9044042841,9474911792,7522876263,6560488465,7619113241,7910690045,10458890887,8174698249,9263401959,8364458229
Missile Defense,1,720300,,2578406,2113473,,,90000,260365000,-2526658.75,307296609.4,65958007.3,2989907704,2163378558,1333025395,993581474.3,2818897987,2366728417,722520089.3,2968152785,6654382528,10105143960,3733082176
Missile Defense,,2546975164,2242562901,2062248873,2399675346,3188595207,3500814921,3861177737,4961745141,5828783607,7334150002,8204217401,3754500544,,,,,,,,,,
Ordnance and Missiles,0,655224129,573731661,915016325.4,1028594125,564555229.4,567913311.4,306481046.7,643108322,1898651695,1699458175,2459307530,13357822025,14022677872,10849601884,10877725787,10789638969,13714741908,13796872852,17913707281,19011247190,16797682784,17506225481
Ordnance and Missiles,1,44828327,50960197,44663976,97190659,85971029,14613306,128487269.7,183556000,21463069.59,895884709.3,834835605.5,1463809646,1657256306,2191010714,1700377483,2461217761,2761307205,4247839749,3747449919,3909222777,6944213597,4311016443
Ordnance and Missiles,,7975200861,8487600541,11404131283,12428929139,13441476299,14258311785,14591830515,17119211837,17285979905,15320658205,13392752458,604490379.1,,,,,,,,,,
Other Products,0,343476699,283880455,636698820,666187037.8,821514567.8,1441996278,2734783493,1939380349,3027203618,2103202301,4240855645,27644328603,34729283066,25671156337,23720604508,20632864258,19011941758,21081232444,24820535883,22931912755,25320955930,53177249584
Other Products,1,,348580,,41200,,0,,82652,12764176.19,9847224.37,91498205.71,795260717.9,628549160.9,792900517.4,547252393,435442107.7,394307905.8,495339619.5,562862210.2,280718626.6,205802313.1,323553900.7
Other Products,,8296010079,9943781279,12763832405,14876588966,17494951728,30389857507,31900868678,32344169888,36061758124,33475757119,24789182509,1567417843,,,,804425.9991,,,,,,
Other R&D and Knowledge Based,0,413288884.7,755975537.8,1392534637,2040876827,2413915378,3202644753,4138596113,5070748741,6037505140,7565317970,9451273241,33872760718,37740022083,33172080421,32621066429,31444968948,32060049153,33281627464,36533835462,39967834634,41259751283,41419195776
Other R&D and Knowledge Based,1,4140582,21820185,42376953,22128232,38556655.15,46212889,476370315.6,176033150.3,79596011.48,185169833.4,532659875.9,707924769,2528280294,891428554.1,975276484.4,1823506500,1414128535,1471023585,2175700686,2638957614,3014219477,1819313251
Other R&D and Knowledge Based,,12127893982,11770011529,14571558201,16849345259,18616096960,22527528978,24415416390,25286117956,27900991316,30994247669,30191127116,5360391641,,,,112097.7071,,,,,,
Other Services,0,343697895,782098615.2,1080492995,977053522.6,808801752.4,375466463.5,416470855.5,502191505.8,1708725583,3064940267,6379686847,26915804953,33713502670,30471448972,25487151978,22618558056,23328727833,25641790423,27972868379,28956305207,29181529742,28578437735
Other Services,1,,,,46606,3598025,-727111.3867,3081179,2338267.84,4930867.22,7874814.622,32811991.84,62998147.82,150671808.1,183868182.1,170469441.6,345466376.9,488063744,575979278,629802539.8,660569264.6,308051724.9,236924734.7
Other Services,,6163198376,6638320010,9464622937,15128247612,19297381011,21838211986,23819284792,23981483895,25717576440,27617713556,26615325753,9813867241,,,,0,,,,,,
Remotely Crewed,0,,,34623586,192724665,1081398,216503567,85945479,240467709.1,163983453,527653246.7,845173309.2,3339477196,3542942038,2452855356,1927729593,2598480710,2476371540,3075234228,3012795011,3263406162,2408673106,1871539251
Remotely Crewed,1,,,,,,,0,,,,5.00E+07,15737158.29,23361142.53,39030885.73,37095012.46,233978290.7,224651918,168694180.9,392277321.6,617143497.2,135752897.3,346428237.6
Remotely Crewed,,143837296,156450961,136805142,219480779,375133282.8,702931978.8,804475616.1,1340677655,1903799243,2041048541,1825519734,113581770.1,,,,,,,,,,
Ships & Submarines,0,1093941224,1096272305,1003648834,1128530220,832978309,838459167.3,3151219493,2837932397,2492010825,2237241896,1317916051,21995729749,23602275257,22886896618,23657119085,21263298621,23797064368,26830468164,30577885325,32966017620,37370925923,33151147721
Ships & Submarines,1,11381868,8227626,1835983,444071,14059257,6343993,47527629,126693577,61599523.5,150882222,191550249.3,437001705.3,221242278.7,164381909.3,170307288.1,214822760.1,855570617,377447143,731844761.8,339784037.3,2651291406,383127625.7
Ships & Submarines,,8250568671,11299794568,11690164097,11544319196,13995184141,13193952374,13620889656,14287872274,16799465720,19113337619,16052416834,5956839809,,,,87692,,,,,,
Space Systems,0,4830809,30782344,471179687,1138137983,929352975,739300522,1176329805,710593193.1,1149860924,978428237.9,1562561568,9861157155,9554776529,7521234406,7847920028,5924605400,6053167219,6016764251,5919221035,7198659777,7267356397,8892658314
Space Systems,1,,,5593687,8540607,696449,4178444,4344442,2658332,6258.8999,141488.2393,2520447.5,55153179.86,394553847.6,49945262.87,1565505.84,38457119.17,22698495.19,33814127.8,26303574.66,17785503.13,34249191.75,28415118.89
Space Systems,,3177921315,4123533369,4003849161,4061494319,5196628719,5639971283,6703009843,7355986716,8274951272,9275661973,7524285392,382091375.6,,,,,,,,,,
Unlabeled,0,7859918.743,3886103.199,8248091.197,2484885.269,2757603.746,-31100,5755869.88,1046359.531,618905.3066,729010.4726,-53463.281,-105352.8313,-6477.8001,-99723.1206,,30000,3581529.431,1345607,20204.7109,465885,314555.625,386316
Unlabeled,1,,,,,,,,,,,,,,,,,,,-233000.0781,,0,
Unlabeled,,21643433.27,5939130.744,75826259.98,73256114.9,4320592.037,3833736.122,103992424.9,17001225.52,-250862.0874,257157.6607,-200456.377,-35472.27,,,,,,,,,,
