"PlatformPortfolioUAV","IsDefense","UnknownCompany","AllContractor","jointventure","TotalSpend","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","TotalPos"
"Remotely Operated",0,,"257263574",,14152.4426490549,,14152.4426490549,,,,,,,,,,,90
"Remotely Operated",0,,"072863993",,13505.898885056,,,,,,,13505.898885056,,,,,,91
"Remotely Operated",0,,"067014143",,13183.7723697034,,,,,,,,,13183.7723697034,,,,92
"Remotely Operated",0,,"078853634",,12558.2858746561,,,,,,,,,,12558.2858746561,,,93
"Remotely Operated",0,,"039630484",,11116.9099958867,,,,,,,,11116.9099958867,,,,,94
"Remotely Operated",0,,"079500561",,8813.09536881749,,,,,,,,,8813.09536881749,,,,95
"Remotely Operated",0,,"830676065",,8743.53677903696,,,,8743.53677903696,,,,,,,,,96
"Remotely Operated",0,,"078359543",,8514.96184513248,,,,,,,,,,8514.96184513248,,,97
"Remotely Operated",0,,"079463286",,7299.7299972991,,,,,,,,7299.7299972991,,,,,98
"Remotely Operated",0,,"197203375",,6783.93827910609,,,,,6783.93827910609,0,,,,,,,99
"Remotely Operated",0,,"031236347",,6779.02191707465,6779.02191707465,,,,,,0,0,,,,,100
"Remotely Operated",0,,"079628638",,5761.2940297333,,,,,,,5761.2940297333,,,,,,101
"Remotely Operated",0,,"053037864",,5501.86364932402,,,,,5501.86364932402,,,,,,,,102
"Remotely Operated",0,,"040392899",,4881.6233981693,,,,,,,,,4881.6233981693,,,,103
"Remotely Operated",0,,"400874257",,3561.94761089665,,,,,,,,,,3561.94761089665,,,104
"Remotely Operated",0,0,"SMITHS GROUP",0,1589.02968892851,,,,,,,1589.02968892851,,,,,,105
"Remotely Operated",0,,"003115771",,1120.9736329502,,,,,40142.9736185121,,,-39021.9999855619,,,,,106
"Remotely Operated",0,,"780274457",,378.195674673851,,,,,,,,,21846.2460774799,-21468.050402806,,,107
"Remotely Operated",0,,"828725163",,2.25078347500508,,,,,,,,,0,0,87.5607834750051,-85.31,108
"Remotely Operated",0,0,"GEORGIA INSTITUTE OF TECHNOLOGY",0,0,,0,,,,,,,,,,,116
"Remotely Operated",0,0,"TCOM",0,0,0,0,0,0,0,0,0,0,0,0,,,116
"Remotely Operated",0,,"001307594",,0,0,,,0,,0,0,,,,,,116
"Remotely Operated",0,,"002020551",,0,,0,,,,,,,,,,,116
"Remotely Operated",0,,"003493641",,0,,,,,,,,0,0,0,,,116
"Remotely Operated",0,,"057336570",,0,0,0,0,0,0,0,0,0,0,0,,0,116
"Remotely Operated",0,,"078494306",,0,,,,,,,,,,,,0,116
"Remotely Operated",0,,"079078705",,0,0,,,,,,,,,,,,116
"Remotely Operated",0,,"115049053",,0,,,,,,,,0,0,0,,,116
"Remotely Operated",0,,"128979163",,0,,,,,,,,0,,0,,,116
"Remotely Operated",0,,"140042099",,0,,,,,,,,,,,,0,116
"Remotely Operated",0,,"847327426",,0,,0,,,,0,,,,,,,116
"Remotely Operated",0,,"876541392",,0,0,0,0,0,0,0,,,,,,,116
"Remotely Operated",0,,"883272718",,0,,,0,,,,,,,,,,116
"Remotely Operated",0,,"967912853",,0,,,,,,,,,0,0,,0,116
