"SimpleArea","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",54000,117226000,111982566,175496911,223881041,205851033,74224042,37311976,107061388,213044113,113324191,117991475,145625264,135062083,391203566,371267174.84,785463405.84,809775892.0345,1460515615.9905,2103916095.1637,1882661929.9259,2624833420.3858,3036813872.4952,3182680780.7752,2358870268.2269,1798866599.4651,2538226130.21,2570768340.0308,2783237675.6147,2917369983.9901,3374164441.1788,2017858694.6447,1617118546.4065,1864437723.9419,2076613746.3636,826177626.454
"R&D",,261000,870000,151345,-2500000,,170373,,264138,9679799,7549532,16850988,8647588,35784561,19989179,1796618,44658919,49536688,86872861,174508441,523059872.79,435872527.0703,639560110.375,617799375,575639336.5401,304894399.8,298380378.35,289146640.3437,315168802.5801,288567274.78,470820124.87,618080561.4416,179611119.6656,53596317.7275,106220552.3125,11523464.2266
"Services",,2605000,2320000,3351503,3473551,104061169,19667996,32538698,6012917,15886937,11761674,8994833,2178110,582084,1162697,129106228,132117396,108174266,261384517.3125,183818679.0718,441088118.9685,327060600.3004,422642792.455,533742468.8282,501391806.88,404449780.44,140979274.44,383607361.3925,940907003.144,1243922569.2513,1429130908.9002,1456346537.4484,1266099678.0217,573832591.788,629629067.2527,115652275.5
