"Fiscal_Year","PlatformPortfolioUAV","TopEntityText","Toppos","Action_Obligation_Then_Year","Action_Obligation_OMB23_GDP21"
1989,"Remotely Operated",NA,1,54000,109286.389987851
1990,"Remotely Operated","All Other",0,5293000,10411188.6260898
1990,"Remotely Operated",NA,1,56174000,110492747.002072
1990,"Remotely Operated",NA,2,13628000,26805909.4268565
1990,"Remotely Operated",NA,3,12498000,24583229.8221934
1990,"Remotely Operated",NA,4,8512000,16742875.0397272
1990,"Remotely Operated",NA,5,6763000,13302639.0852532
1990,"Remotely Operated",NA,6,6670000,13119710.5868163
1990,"Remotely Operated",NA,7,4358000,8572068.77621371
1990,"Remotely Operated",NA,8,2388000,4697131.76631445
1990,"Remotely Operated",NA,9,2199000,4325373.85013629
1990,"Remotely Operated",NA,10,1609000,3164859.72026798
1991,"Remotely Operated","All Other",0,9515063,17913807.6909957
1991,"Remotely Operated",NA,1,45769000,86168327.4413613
1991,"Remotely Operated",NA,2,20862000,39276445.7838642
1991,"Remotely Operated",NA,3,14364000,27042798.7364311
1991,"Remotely Operated",NA,4,10314503,19418896.4560926
1991,"Remotely Operated",NA,5,6089000,11463631.4053278
1991,"Remotely Operated",NA,6,2165000,4075999.67031281
1991,"Remotely Operated",NA,7,2044000,3848195.53169487
1991,"Remotely Operated",NA,8,1517000,2856023.7874663
1991,"Remotely Operated",NA,9,1276000,2402298.18906196
1991,"Remotely Operated",NA,10,1257000,2366527.29126245
1992,"Remotely Operated","All Other",0,6327049,11449134.5654082
1992,"Remotely Operated",NA,1,67872489,122818909.708173
1992,"Remotely Operated",NA,2,45805310,82887165.5649006
1992,"Remotely Operated",NA,3,21933386,39689638.5327569
1992,"Remotely Operated",NA,4,14974207,27096630.823197
1992,"Remotely Operated",NA,5,8883387,16074965.3052471
1992,"Remotely Operated",NA,6,4397132,7956846.22797494
1992,"Remotely Operated",NA,7,3605810,6524906.62033669
1992,"Remotely Operated",NA,8,1779898,3220820.90951105
1992,"Remotely Operated",NA,9,1715817,3104862.90253403
1992,"Remotely Operated",NA,10,1705274,3085784.77847918
1993,"Remotely Operated","All Other",0,-1962956,-3449953.39382844
1993,"Remotely Operated",NA,1,181018990,318146244.183719
1993,"Remotely Operated",NA,2,13308433,23389965.7429349
1993,"Remotely Operated",NA,3,12721766,22358881.0891285
1993,"Remotely Operated",NA,4,7308290,12844536.4483883
1993,"Remotely Operated",NA,5,4002868,7035159.24027195
1993,"Remotely Operated",NA,6,2617600,4600509.64142106
1993,"Remotely Operated",NA,7,2563219,4504933.42090986
1993,"Remotely Operated",NA,8,1347718,2368654.36006904
1993,"Remotely Operated",NA,9,1108600,1948397.38251811
1993,"Remotely Operated",NA,10,820064,1441286.80416501
1994,"Remotely Operated","All Other",0,1617410,2793356.52184864
1994,"Remotely Operated",NA,1,123376097,213077342.909454
1994,"Remotely Operated",NA,2,96565911,166774668.933731
1994,"Remotely Operated",NA,3,54904558,94823208.1961389
1994,"Remotely Operated",NA,4,20919520,36129168.00684
1994,"Remotely Operated",NA,5,3709596,6406677.45347415
1994,"Remotely Operated",NA,6,2604339,4497837.48756021
1994,"Remotely Operated",NA,7,2123025,3666581.59019526
1994,"Remotely Operated",NA,8,1962826,3389909.05729165
1994,"Remotely Operated",NA,9,1439000,2485232.58477454
1994,"Remotely Operated",NA,10,689920,1191529.99644729
1995,"Remotely Operated","All Other",0,-868105,-1455956.62243657
1995,"Remotely Operated",NA,1,41096424,68925545.505741
1995,"Remotely Operated",NA,2,27980504,46927963.8959722
1995,"Remotely Operated",NA,3,9851055,16521859.4124408
1995,"Remotely Operated",NA,4,6367396,10679183.2484275
1995,"Remotely Operated",NA,5,3577152,5999479.49137746
1995,"Remotely Operated",NA,6,3070708,5150088.58164503
1995,"Remotely Operated",NA,7,1489132,2497522.30096845
1995,"Remotely Operated",NA,8,718467,1204988.78206223
1995,"Remotely Operated",NA,9,459195,770146.469885281
1995,"Remotely Operated",NA,10,320483,537503.350664194
1996,"Remotely Operated","All Other",0,1137447,1868362.61690584
1996,"Remotely Operated",NA,1,29085829,47776182.6136213
1996,"Remotely Operated",NA,2,27472326,45125853.6862379
1996,"Remotely Operated",NA,3,3902102,6409565.89990874
1996,"Remotely Operated",NA,4,3826683,6285683.16936884
1996,"Remotely Operated",NA,5,1338083,2197925.93019034
1996,"Remotely Operated",NA,6,934484,1534976.98943039
1996,"Remotely Operated",NA,7,748767,1229919.52290765
