"VendorSize_Intl","IsFMS","PlaceIsForeign","2017","2016","2018","2019","2020","2021","2013","2014","2015","2012"
"U.S. Medium","Includes FMS","International",NA,NA,NA,NA,NA,-1238591.63888617,NA,NA,NA,NA
"U.S. Large","Includes FMS","International",NA,NA,NA,NA,20780000,NA,NA,NA,NA,NA
"U.S. Big Five","Includes FMS","International",979568.176983621,483596.101786681,776614.714761607,19091153.1986532,-10361.2002,NA,NA,NA,22279385.7923497,NA
"U.S. Small","No FMS","International",60063.093278026,NA,2920411.2013325,3043495.56167738,2974844,27345.5444651436,NA,NA,NA,NA
"U.S. Medium","No FMS","International",4579.86619868113,NA,NA,NA,23425,17165251.2846357,NA,NA,NA,NA
"U.S. Big Five","No FMS","International",35655483.9395873,0,62806012.3880908,31112306.0784614,9450679.6406,NA,NA,NA,21043482.3934426,NA
"International","No FMS","International",5133.35449904276,168462.493015701,155399.665833854,2923538.41444751,414870.01,419828.934013139,NA,NA,NA,NA
"Unlabeled","No FMS","International",12363.3591788981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Small","Includes FMS","Domestic",644482.025101042,3251289.97823498,1689254.91369977,-4377.19620446893,0,3330666.73203255,NA,NA,24570645.5601093,NA
"U.S. Medium","Includes FMS","Domestic",30478607.7430334,NA,177227572.675932,117166868.463626,30857799.4022,254521336.622512,-667728.909685421,NA,NA,132047.307383167
"U.S. Large","Includes FMS","Domestic",-213695.124760689,622218.115755279,-87098.9079741828,19596680.5024997,4194419.2398,NA,0,NA,531395.560218579,NA
"U.S. Big Five","Includes FMS","Domestic",146553384.80802,232606178.380509,91735087.6143036,152373643.943271,20493897.2815,NA,3144883.69601984,7350967.53318584,204840863.271913,NA
