"EntitySizeText.GA","Metric","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Always Small","Obligations (Constant 2021 $s)",143905567.636987,147526550.89693,11687701.0699437,80519520.6658482,21423654.3537294,37376378.762833,6001117.18434677,26910339.8060502,19325963.3191724,38758124.1621157,44370772.6707064,23309250.7288
"Sometimes Small","Obligations (Constant 2021 $s)",222179957.800601,434374253.824387,427489417.339232,299212171.049107,297694808.93682,180169012.144913,108464491.192227,189184159.651524,240954421.320009,242145520.104996,157094597.433047,248738870.9373
"Medium","Obligations (Constant 2021 $s)",124839884.287184,176447615.202102,24819247.9241434,23797634.9663758,22684897.4067649,967444.005896339,12480665.1691889,85905197.2591911,117232126.019548,105688948.500661,127876803.245029,104829559.1114
"General Atomics","Obligations (Constant 2021 $s)",976145205.821439,1075587008.52728,2004932049.11421,1842008570.53209,1186304996.80034,1516278468.23854,1381182300.11594,2087775194.69506,1825320735.82771,2607380153.11372,1662340914.36872,1406537475.1342
"Large","Obligations (Constant 2021 $s)",716447056.843382,787906402.99322,1133996710.22588,408005667.180495,246997077.383517,362264426.112251,294397080.802539,326498951.098559,176803375.856181,343626328.448116,145588307.788423,35183550.9427
"Big Five","Obligations (Constant 2021 $s)",1873176445.16768,2165123391.1578,1401445592.37009,1260513491.00908,1018483121.92991,1400058813.94452,1891821775.16618,1706980573.83275,2208581477.26064,1975563748.13765,1826793585.91365,1086183302.6311
"Big Five JV","Obligations (Constant 2021 $s)",,,,,,,,,19296551.2386331,,440.256974138655,
"Always Small","Number of Entities",16,16,8,11,14,19,18,23,23,23,35,28
"Sometimes Small","Number of Entities",18,19,20,17,18,27,31,38,40,48,49,56
"Medium","Number of Entities",5,8,5,5,7,3,6,9,7,9,11,5
"General Atomics","Number of Entities",1,1,1,1,1,1,1,1,1,1,1,1
"Large","Number of Entities",9,11,12,10,8,11,14,12,14,12,12,10
"Big Five","Number of Entities",3,5,5,5,5,4,5,5,5,4,5,4
"Big Five JV","Number of Entities",,,,,,,,,2,,1,
