"PlatformPortfolioUAV","SimpleArea","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aircraft","Services (Non-R&D)",14.3415888540429,14.8031942490732,18.4954867552419,15.0274448086639,15.4673297209616,15.3666748950929,15.9866164793824,17.2540534610022,15.9664544302595,16.3396754551035,17.0482659956325,15.915324284031
"Aircraft","R&D",9.85013508143818,7.89535784516117,6.90078473683937,5.82436431346129,3.71370663613129,4.11998322732456,4.18593447093913,4.17314257389175,3.26148242000086,4.37891801441424,4.3708147382556,5.676738027312
"Aircraft","Products",49.187354889505,56.1677496684457,60.7924360158163,59.790112052299,43.9558529216879,46.1728328053672,60.3781809185863,68.6025707286462,65.9820073992106,69.7123283232737,83.8909284686678,50.8320750672721
"Remotely Crewed","Services (Non-R&D)",0.0438194197543578,0.0939253399274788,0.0272925189547269,0.0127684503860298,0.00583625302730302,0.0121903836203045,0.0549203863630776,0.498850939713797,0.664264347189835,0.622076984242967,0.656239997064871,0.6642032669112
"Remotely Crewed","R&D",0.514321133762042,0.689418232559944,0.597523301890567,0.630763798348382,0.295109747688527,0.327848936164698,0.196418028856831,0.230097154544864,0.0638228072507201,0.0150925051851442,0.0349346176003762,0.0174389872656
"Remotely Crewed","Products",2.72247804627957,3.30254391923263,3.49569087466258,2.1952819541257,1.9022356277248,2.81916825551518,2.74248593556331,2.80693387004741,2.90059811833562,3.42662737272708,1.92038246335184,1.5363252341867
"Ships &
Submarines","Services (Non-R&D)",4.25481126304105,4.96372060832207,4.33135084417319,4.32002875665901,4.64924911300024,4.22555884534488,4.31933873607252,4.35619063737579,5.94090401731397,5.21831196684329,5.23974335863009,4.8789520782999
"Ships &
Submarines","R&D",1.47927484809004,0.795591461308245,0.435410472209265,0.367922486841493,0.193285690804718,0.196592621983449,0.324652477771205,0.69710415974509,0.76468343761392,0.731704170484109,0.421167885640489,1.6568995291579
"Ships &
Submarines","Products",15.4420772956853,27.6807028399336,22.758930849434,21.5725961971419,21.8754469920377,19.5337542670362,22.6810802152689,24.603332876166,26.6602695250606,28.9285511154179,35.4172355814916,26.9984237391919
"Land Vehicles","Services (Non-R&D)",1.2789188699711,1.15518620255621,0.947895761075065,1.13500038135992,0.750956415188568,1.15152826948587,0.915784418194246,1.21210956528791,2.58313151518657,2.26102412285298,1.85922165330982,1.9424537929121
"Land Vehicles","R&D",2.16497085538649,1.43793913014015,0.184476680027539,0.254410056026294,0.235031337202404,0.146703403842863,0.121256253146557,0.0190284431157335,0.302247010721882,0.274748963448121,0.470088565869701,0.622325830733
