"SubCustomer.DoD","TopProjectLabel","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Army","Tactical UAV",1.23545542385383,1.44142581014356,2.36052417716457,0.827853389874399,0.665225398112591,0.370034937678935,0.415531238704486,-0.0655208324717014,0.0345169269245693,-0.0162415874987349,-0.00267875108483655,0.00115615972699873,0
"Army","MQ-1C Gray Eagle",,,,,,,,0.470288470679456,0.562034408068119,1.17029608440265,0.823469028962236,0.646508427413105,0.6025720900625
"Army","RQ-4 Global Hawk",0.00115827080590282,,0.000721612900962316,-6.7641339967965e-06,,,0.00323706598259974,,,,,,
"Army","MQ-9 Reaper",,0.0158097510397115,,0.0255001139040127,,,,,,0.0556180753654651,,,
"Army","Other, multiple,
or unspecified UAS",0.550973692267219,0.797215138485792,0.650893240103165,0.751583764942033,0.575731557894225,1.06633837739266,0.611090308638823,1.11659831898339,0.515320982667052,0.378115842251709,0.269468554852143,0.147126758582243,0.1582280816466
"Navy","Tactical UAV",0.00194277922554324,0.000246076217598735,0.0510957448862509,0.0205718525075539,0.0115340825844815,-7.00597323928846e-08,,,,,,,
"Navy","MQ-1C Gray Eagle",,,,,,,,,,,0.000165784623576518,0,
"Navy","RQ-4 Global Hawk",0.0288262779487529,0.015217926897099,0,0,,0,4.7497950526721e-05,,0.000105985373764916,0.000652482922129716,0.000769234965214087,-0.00026584417674359,-2.7931e-07
"Navy","MQ-4C Triton",0.487914803085623,0.59857560209188,0.555102778298386,0.661706625742949,0.307869261863974,0.432823321129162,0.704100903225491,0.689845532198073,0.645074919031081,0.293028696432368,0.696671199946143,0.374469293056418,0.5474933049033
"Navy","MQ-8 Fire Scout",0.0469711756892169,0.0896536886978932,0.145685806443303,0.0381226059797131,0.0018777254882502,0.00618939572532048,0.0176959016500213,0.0626014688554681,0.0799007278020892,0.04213316842428,0.0856942799787788,0.044611746411227,0.0289566862263
"Navy","MQ-9 Reaper",0,,,,,,,,,,0.0181889562567478,,0.000756762
"Navy","MQ-25 Stingray",,,,,,,0.103447862048822,0.0417846422344827,0.0902690357077769,0.399711407056691,0.495964599763082,0.10760948936111,
"Navy","Other, multiple,
or unspecified UAS",0.241043846317325,0.479865892984294,0.33832313014124,0.281274306717539,0.342556532700642,0.369415675926535,0.461409061423296,0.377292084076193,0.385263694258134,0.301278165810734,0.103289362805849,0.13206505361671,0.1390305774606
"Air Force","Tactical UAV",0.00949427749446297,0.0656990179242517,0.0635519055805673,0.0393508587248069,0.0153849407252464,0.00532189128163112,0,8.03357433347308e-05,,,,0,0
"Air Force","MQ-1C Gray Eagle",,,,,,0.000114527815443363,-9.87329981176498e-06,,,,,,
"Air Force","RQ-4 Global Hawk",0.74649513944672,0.766752035609142,0.342409223651801,0.303767209650617,0.29874638891782,0.387440531813149,0.453043426628985,0.468965596433313,0.546467512339487,0.549028315625043,0.399689794104936,0.403065633999819,0.0443352067031
"Air Force","MQ-9 Reaper",0.406889283093658,0.390911686533669,0.194316969003524,0.519142846752011,0.110269701903187,0.596800793285594,0.526045222955246,1.22250066494488,1.14204021591667,1.77677260643007,1.10464557984429,0.987792100677028,0.622733476552
"Air Force","Other, multiple,
or unspecified UAS",0.459375865769698,0.389634403677035,0.693352897588727,0.714348389313316,0.662218763021153,0.487661731358615,0.648404631053626,0.290082896211701,0.587944573830287,0.352480882332174,0.204019193436276,0.277818850392204,0.2915861763529
"Other DOD","Tactical UAV",0,-0.00842370840200125,-1.70677208068835e-05,-0.00104634976016333,-0.0560820403134929,-3.86462006111751e-08,0,-7.91997163572547e-05,-5.42886410994989e-06,-0.00819068041639935,-0.000674682837491897,-0.00059063582423793,-0.0006187182578
"Other DOD","MQ-1C Gray Eagle",,,,,,,,,,,0,,0
"Other DOD","RQ-4 Global Hawk",-0.000628435825236722,-0.00276467516950899,-0.00103010739980346,,-0.00276678138873493,-0.00682567707879592,-0.00313049299142092,-0.00649321378446447,-0.00925654871930178,-0.00695845512303741,-0.00466434569593619,-0.0110048268818251,-0.0036083406978
"Other DOD","MQ-4C Triton",,,,-0.000168343849555986,,,,-0.000515435982597991,0,0.000822711307507704,0.0229318685549335,-0.00015336629078727,-4.3905e-06
"Other DOD","MQ-8 Fire Scout",,,,,,,,,0,0.000897649051311934,0.00151348176275307,-0.000243504453180781,-1.4103e-05
"Other DOD","MQ-9 Reaper",,-5.27403057268267e-05,-2.70532910422782e-05,-0.000456733467636489,-0.00107668394524132,-5.77769458702651e-05,-0.000140281785731273,0.00122018960506999,0.000105271714820566,0.0196163615011718,-0.000561788568693523,-0.00320118570200467,-0.0177892674376
"Other DOD","MQ-25 Stingray",,,,,,,,0,,,0,,
"Other DOD","Other, multiple,
or unspecified UAS",0.185371787172643,0.171834375426012,0.0594883325114554,0.0673106811781739,0.0910282746698296,0.0455247729341404,0.0241718137817345,0.0740805511390323,0.357353181761962,0.373219794616279,0.0507292951754926,-0.000716781205973687,0.006526288971
"Civilian","Other, multiple,
or unspecified UAS",0.0306859070490314,0.0449087026760526,0.00369496025936321,0.000138551282557476,0.020440330113727,0.0311719840200383,0.0646926228676147,0.0866617007482645,0.144210647523324,0.225293612578628,0.245037386564275,0.177488045623563,0.0345294937001
