"PlatformPortfolioUAV","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aircraft",0.0850855878832195,0.0723725891218914,0.051780113726258,0.0554788036203391,0.0458918146611165,0.0422306374256759,0.0426157063531281,0.0423418736721462,0.0569714621475202,0.063777635232646,0.0562792489678231,0.0758103784354009,0.0759538692334976
"UAS",0.00758985904190416,0.0172738089149848,0.0109641969164584,0.0251305705076291,0.0574576632168138,0.0256709617517665,0.00849976871412849,0.0166341742362091,0.0535765643387719,0.0343499764067273,0.0399136098607556,0.049515467101084,0.0551406491242922
"Ships &
Submarines",0.0376570603626338,0.0216824509462912,0.0261547915562082,0.0234883222753908,0.0449337625904328,0.0755878614009015,0.0655798761162493,0.0747322822669017,0.121105195638224,0.134568639054508,0.112451886531623,0.130145323620165,0.144438673057535
"Land Vehicles",0.122864073201009,0.119193339630337,0.135974783295869,0.135766486320504,0.159720654461051,0.256606678603543,0.145845580199269,0.146197720723754,0.115529502825868,0.14174345886008,0.129747746412237,0.147628658087181,0.122588205017621
"Space Systems",0.0223775549995766,0.0140082569764571,0.0062533404962099,0.00229372228890617,0.00159687531081497,0.00520989949117836,0.00140962144277934,0.031759221172196,0.00672873774372842,0.0730907475974746,0.133993385300075,0.0745767852382395,0.111965449671936
"Air & Missile
Defense",0.0129210684557633,0.00936338399890725,0.00642344702319731,0.00353896734428471,0.00401519529919762,0.00279087269895036,0.00285962006245478,0.00453984588764026,0.00382669801786482,0.00523678478428984,0.00427830088693411,0.00675807593582151,0.00579628323718126
"Ordnance &
Missiles",0.0360105257417541,0.036440886285761,0.0267526562690785,0.0204564072779231,0.016718161852364,0.0186686193465877,0.019225783012402,0.0118903137284356,0.0116896031897364,0.0163683242548885,0.0158940760426239,0.0139853311037136,0.0149215191143836
"Electronics,
Comms & Sensors",0.32486683361179,0.309919155643617,0.283604385089852,0.282912264091878,0.300166287439434,0.308187609842223,0.312164170613043,0.305513612378675,0.29341064915074,0.303947007738158,0.325297012553845,0.347780361379495,0.35375818321541
"Facilities &
Construction",0.142746578841672,0.14991546938655,0.149224630192401,0.169464377369474,0.161764112076914,0.184403465296074,0.185563780812846,0.201689128381124,0.195858908701233,0.184155559158171,0.173853353289375,0.231805902070971,0.197091794628656
"Other
Products",0.74328292871829,0.743676939540559,0.802722321429369,0.780452205794882,0.740948201700749,0.664078179876595,0.534322562638615,0.573964774985276,0.593576059603203,0.558303297294665,0.624135246682161,0.824671036204898,0.8376835513112
"Other
Services",0.135039174250394,0.198644073862081,0.229879914099423,0.19177223126822,0.203686493114964,0.19718358925994,0.188825277629542,0.199219846142102,0.214776672924034,0.232371499387546,0.235184467206348,0.243303766884939,0.232958976132459
"Other Knowledge
Based",0.179883410079948,0.172603320082351,0.158667157399903,0.175094927491332,0.181059748939827,0.195389786901964,0.201028658397117,0.196039971709214,0.188810506090837,0.170669168548455,0.180003028798221,0.190954741994844,0.19977506952553
