"SubCustomer.sum","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Army",0.780330128169796,0.746148326528899,0.969852725308755,1.53202244216639,1.21665129699836,1.54430123630947,1.94777541882213,2.67266934426064,1.38771318743075,1.1118777192092,1.26509280310129,0.888280010278737,1.24135235193306,0.93204335901443,1.42591969107861,0.9449416197728,0.714855781203
"State",,,,,,,,,,,,0.000160154800456507,,0.00387881024906937,0.000226996379484511,0.00124508796295649,0.0013677055293
"Energy",,2.60724359772986e-05,0,-3.43175983741626e-05,,,,,,,,,,,,1.12850874962804e-05,
"Navy",0.0962303822691371,0.144221680799033,0.299275466013817,0.363302473997828,1.02874333771019,0.625956261180246,0.883179400774129,0.716857187453222,0.85793705782717,0.552329991840806,0.699908327197113,0.946923166832069,1.01142304015163,0.926125831846226,0.551467920610639,0.802195486979171,0.5100338330729
"ICE",,,,,,,,,,,,,,6.81869295252463e-05,0.000198724130097345,0.000401377564010497,0
"GSA",0,0,0,2.90689184162108e-05,1.92226134441237e-05,0,0,0,0,0,0,0,0,0,0,8.75607834750051e-08,-8.531e-08
"Air Force",0.364172764702697,0.270402342414394,0.733190419325289,0.631651491063922,0.888097185918537,1.04927170847672,1.16481242512648,0.730226611567489,0.594774657793606,0.552398489139575,1.20097924853161,1.1360995716861,1.26495257545957,1.61043820154349,1.79447673117958,0.816280586613259,1.0074514461585
"Coast Guard",,,,1.81393019977717e-06,,,,,,,,1.58902968892851e-06,,,,3.37130883481008e-05,1.95338906e-05
"NASA",0.00648989205893431,0.00178807894624631,0.000190241492868116,,,,1.41524426490549e-05,,,6.78393827910609e-06,0.000168356692259269,0.000189961360194118,0.0271308106699616,0.0419916446740685,0.0902885631874851,0.100422622427462,0.06298633
"HHS",,0.000277689693863414,,,,,0,,,,,,,,,,
"OPO",,,,,,,,,,,,,5.83720717244023e-05,1.60021088341189e-05,0,,
"CBP",,0.0604798627670032,0.0138649953148276,0.00166937712165411,,0.0165081772259354,0.0400425714508182,0.00296040920801807,0,-0.00172633691881814,4.61061371519739e-06,2.87575898787395e-05,0.000256149999905224,0.00113639363256737,-3.62749427080306e-05,0.00739350076897736,0.0037859251328
"VA",,,,,,,,,,,,,,,,,4.61372197e-05
"Other DHS",,,,,,,,,,,,9.07671776526247e-05,0,,,,1.2792e-05
"Agriculture",,0,,,,,,1.74046217444258e-05,8.74353677903696e-06,7.36215744684471e-05,1.00739190990415e-05,0.000103437340160222,0.000141164821719769,0.000121673168073977,0.000267691098958098,0.000729322125670741,0.0005994349141
"Commerce",,,,,0.000119062785524757,,1.50429334224785e-05,,6.46860977278765e-05,6.72226611293239e-05,0,,2.82741103615386e-05,0.000145135802233373,0.00118946613117167,-0.000304784091812344,0.0005049970615
"Interior",,,,,,1.80870381992387e-05,,,,,0.000674736200062573,0.000180268558298542,0.00022832335579852,0.000990602885204946,0.00074602759127665,0,0
"Justice",,,,,,,,0.000366420089864123,0,,,,8.82245999673569e-06,0.00010688275893407,0.000146444398816052,0.000832884814552968,0.0019504445034
"Labor",,,,,,,,,,,,,,,,,5.4523e-05
"SMITHSONIAN INSTITUTION",,,,,,,,,,,,,8.42125612138414e-05,,,,
"EPA",,,,,,,,,5.4204209130403e-05,-1.55750252391378e-05,,,,,,,
"Transportation",,,,,,,0.00117789784844402,4.58693800080271e-05,,0,,,0.00109825284466865,0.00115665682505714,4.02133236813537e-05,0.000163174405899443,0.0002081509031
"Other DoD",,,0.0030110865449453,0.00735702389825216,0.0194647780988999,0.0610893938295307,0.0901202469973104,0.000753552226520791,-0.00161070019141373,-0.0134245717489546,-0.00677280352983701,0.0225216019863073,0.018153996761804,0.160077880372024,0.291932519286365,0.0481393846518604,-0.0143735720709
