"SimpleArea","PlatformPortfolioUAV","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products","Aircraft",0.131761294043266,0.107482283879734,0.093369498192871,0.110928685675193,0.129328529761293,0.0871510388992696,0.104804335654774,0.0779011121856356,0.0954729963782966,0.0986699855157579,0.0407962987294189,0.12995781978847
"Products","Electronics,
Comms, & Sensors",0.397135101171039,0.396461243429908,0.419656854312559,0.425177555075852,0.424222355223105,0.417017956883088,0.45890007553543,0.445517208888876,0.41404476558686,0.41496504027951,0.455973617611626,0.461504894674542
"Products","Facilities &
Construction",0.527548503757267,0.561762692515221,0.532452683440894,0.593786342243917,0.612328270692787,0.603922888588628,0.602147170674564,0.587519422916286,0.565680464938377,0.527311266151924,0.435746165120342,0.490613777896826
"Products","Land Vehicles",0.374273566851072,0.347437369306547,0.414702797128273,0.456227932632276,0.463765720648819,0.391816740286114,0.426082332226243,0.428875678976468,0.365886384691558,0.452625463194996,0.431506283623754,0.494130817228511
"Products","Air & Missile
Defense",0.133621148097607,0.130804564318901,0.197878788156752,0.144371118832536,0.287984865814058,0.190712263432328,0.278815119901262,0.323530129846143,0.285912235317195,0.176335260906988,0.124060235502782,0.337486720384825
"Products","Ordnance &
Missiles",0.183765106920904,0.198566642246347,0.213593870779416,0.226960090319179,0.235163832819693,0.207396175880096,0.210523839099721,0.197198562915741,0.15739159830555,0.148810082555583,0.111825077203907,0.104735334001485
"Products","Other Products",0.7636271973588,0.744181971674057,0.766222726395384,0.811392354069261,0.845131194164346,0.860139410843296,0.834510853879773,0.827309278173771,0.822559931454279,0.816401149016187,0.647794398146777,0.458110049476225
"Products","Remotely Crewed",0.118771142719417,0.115155288250851,0.064993394151561,0.087302517602499,0.121050031775283,0.0484643540448908,0.0166360674495656,0.044777159476531,0.0387626867355034,0.0368640720512586,0.0815609154193858,0.0745097670374329
"Products","Ships &
Submarines",0.30960032978375,0.257131071477066,0.296633205566268,0.304585285620898,0.28832570356273,0.351545973154369,0.36188340798174,0.390027039827902,0.468871741189033,0.413447912379777,0.344142928498533,0.328192762411093
"Products","Space Systems",0.211517255243984,0.257659450975023,0.234591399976473,0.278172636187053,0.397161112260232,0.296491958877262,0.322320389032346,0.320348350996514,0.439717415938926,0.284862521406439,0.307714537704148,0.258585144597316
"R&D","Aircraft",0.449975561801748,0.401317911905914,0.443029417505126,0.578193155772883,0.54145169880414,0.494781929686781,0.400338433662647,0.403718049077257,0.212776663424656,0.243286269346241,0.255509918599495,0.320832854504975
"R&D","Electronics,
Comms, & Sensors",0.428045287220339,0.425303931269539,0.37464581472767,0.438534597308451,0.461449672820884,0.426669157873144,0.417448083648113,0.417949226722155,0.377496245550095,0.369822858798213,0.374581277677261,0.35378600841739
"R&D","Facilities &
Construction",0.651228161827188,0.663423743934781,0.637735241542495,0.618425745624139,0.632035360379455,0.709715066182487,0.650904234342527,0.593545786505452,0.574890927104388,0.398614244943266,0.47567451304425,0.463631066057703
