"SimpleArea","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products",54000,117226000,111982566,175496911,223881041,205851033,74224042,37311976,107061388,213044113,113324191,117991475,145625263,135062083,391203568,300068925.8438,759955513.8437,792649723.6006,1339537818.1609,1867894249.4565,1859941546.4007,2271519759.3758,2838780619.4952,3028458522.8924,1927111306.7269,1695015440.5651,2528358117.5414,2474947450.9419,2601805737.6074,2768407303.7799,3360982983.4892,1979095114.6293,1607861123.0312
"R&D",,261000,870000,151345,-2500000,,170373,,264138,9679799,7549532,16850988,8647588,35784561,19989179,1106418,28549190,29002856,42684162,140333951,473881578.5825,426538437.1641,585295434.125,517157090,553678937.3301,263182520.25,293940378.35,177208026.0625,211098307,59889811,14411944.75,34036609.875,17438987.2656
"Services",,2605000,2320000,3351503,3473551,104061169,19667996,32538698,6012917,15886937,11761674,8994833,2178110,582084,1162697,79406228,135740125,116766872,210005538.3125,60913750.6718,234991323.7307,36340460.4488,79739800.9102,23621705.8594,11208033.91,5204842.58,10929564.1325,49549083.2213,457661412.7508,623329933.6232,594025910.0246,639371096.6004,664203266.9112
