"PlatformPortfolioUAV","SimpleArea","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Land Vehicles","Unlabeled",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"Missile Defense","Products (All)",,,,1431051000,2392678106,934431536,1935355998,1378215063,1068422788,1108552673,1486739241,998534239,1054012983,431631559,1201102869,2630640683,2559661350,3564590595,3642275559,3621166404.9815,4431952449.5023,4160462379.7407,4971226522.1374,4946960481.4355,6325432244.9797,6673172924.4838,7177473408.211,4843676471.603,6001774318.3246,6586950913.1606,4887807618.3511,9791618994.3741,10400546619.5339,14875990117.5596,6853691022.7873,8292975143.6667
"Missile Defense","R&D",,258000,15339000,1192744000,2200972000,2651690468,2534437263,2367024900,1862549091,2073585787,2158733776,2237552835,2236533625,2398419411,2000302314.3999,1899671723,2248014765,2105412865,2503245422.4375,2760790716.4604,3299272581.8203,3952465700.8141,4559169265.9161,4696124681.3547,3635136149.5484,3395098773.1668,2518530682.5304,2513374302.3082,2009936083.4401,2006059860.4619,2295797758.1437,2334996488.4286,2725283273.1178,2423633158.7761,3309753972.1894,3338373326.9849
"Missile Defense","Services (Non-R&D)",,,1049000,411539000,612365177,332432588,521625450,544053694,555384528,533486436,360920823,364288268,372621316,164590918,136976959,191270005.8281,201347860.0938,322621988.586,346352267.7188,381270814.8868,576992732.9093,648872492.349,969273965.7261,899572276.3583,949762481.1171,1139149701.3456,1111933095.701,1159406963.4829,1367676049.8083,1392830884.4777,1449604757.8413,1300428190.0788,1703250884.2722,2068922642.1076,1934095409.8814,2185942059.0547
"Ordnance and Missiles","Products (All)",,1540000,247463000,8492138000,10698361090,9100787244,7697535225,5208236231,5187948249,5565596097,5285503675,5532423060,5728478511,5387457641.9,5878533614.24,7397679170.3984,8678366460.9405,10201294034.4571,11129363300.1909,11499301329.7339,12473650590.6765,15653343914.9606,13719113992.3125,13586202607.7752,12855154794.0245,12892701309.1697,10855286946.7354,10152307688.7663,10996702242.881,13477801990.1194,14822118119.9571,18071324654.9774,19355921954.0552,20080203245.7933,17729883704.2895,16913061246.5766
"Ordnance and Missiles","R&D",,,4369000,1698819000,2087827431,1906646620,1603221506,1855482320,1765986325,1612588105,1526540506,1573330954,1365460663,1585573307,1323703835.9395,2321052944.3984,1905820541,1543173075,1551651697,1432407965.4669,1605988747.2247,1290880640.97,1214867520.7065,912517141.9691,673208662.1225,926848624.537,722086429.5237,802635356.6963,654873361.6291,765565628.038,610323351.8379,589500364.8696,981900225.3318,728655349.7337,801208005.1906,683793477.5637
"Ordnance and Missiles","Services (Non-R&D)",,,16343000,1137531000,2044309254,2406097359,1867212026,1465590341,1586142972,1631839827,1214990285,1519499535,2060142757,1702222368.375,1910054949.2188,2645079469.5625,2970526921.1094,2347535447.7031,2159823404.9868,2094545175.0574,3827684978.1695,2250929943.5545,2978994575.9977,2185356173.3787,1897718593.8621,1860384244.2481,1463246106.8256,1623667373.2997,1599281125.8145,2232681494.6909,2612271129.7478,3000332179.6994,2582647787.4121,2933037784.7424,3286150214.4797,2793549674.7063
"Ordnance and Missiles","Unlabeled",,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,
"Other Products","Products (All)",,,5477000,10893531000,13665694115,9670448793,10550437083,8625398454,8564693193,9626815429,9689390520,8558011517,7670212279,8636400116.09,10224212277,13386540839.2415,15538810884.4263,18316466295.3947,31831853784.5399,34635652171.2251,34283632888.6748,39101725917.6713,35585850270.6735,29121536359.5554,30007007163.88,35357832226.4521,26464056854.4453,24267856901.2681,21069110791.9282,19406249663.8794,21576572063.2504,25383398093.2805,23212631381.3324,25508591988.8093,53500803484.4715,58510847251.7136
"Other Products","R&D",,,,,,,,,,30000,,1433647,568547,179512,237128,2191690,2095383,,,,,,,,,,,,,,,,,,,
"Other Products","Services (Non-R&D)",,,,,806000,386155,31500,,,,434502,,,40572,,2540673,1728714,,,,,,2956374,,,,,,,,,,,,,
"Other R&D and Knowledge Based","R&D",,149000,48725000,3603469764,3641540795,3776609144,3652345060,3616994443,4154689312,3941665333,3638682150,3662586828,3755840147,3967986241.1952,3824384695.7478,4826864687.1191,5321009327.8262,5925353912.5483,6781544501.4184,6511373909.7735,7204556474.1191,7413825823.8654,9661075150.0519,9658856543.7995,9811568731.4463,9485943929.264,7687998180.9834,8382304733.5794,7201287017.491,7457901449.3482,7694550876.599,8761942548.7389,9660108517.8736,9817209488.6169,7277996457.0153,5774311474.6454
"Other R&D and Knowledge Based","Services (Non-R&D)",,48000,26628000,4206850617,4317052434,5043306982,4953986019,4882055078,4767554780,5431326770,6129667641,7223152826,7622916816,8577337207.8685,8723422556.1544,11179605104.032,13591340990.442,15143215080.4001,18994842118.7575,22517843042.4002,23328000372.504,26600609702.3897,29075148219.8326,30500005325.5495,30115001838.9431,30762466802.9875,26361517584.0261,25200107312.1899,26051783370.7366,25985128940.0519,27020147992.3544,29804913815.8756,32827237191.0607,34313742599.4738,35849004399.3241,35816624787.019
"Other Services","Services (Non-R&D)",,1252000,385090000,4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,6506896271.1198,7420418624.8457,10545115932.4787,16105347740.6387,20109780788.0342,22212951338.3628,24238836826.1944,24486013668.4546,27431232889.3125,30653318997.2101,33027824591.2976,36792670341.8412,33644406261.6848,30648369333.3359,25636235793.7807,22950618738.7188,23774144276.8035,26131900955.1504,28447758977.8726,29462542133.6814,29450862832.5244,28724800306.1387,30791078471.0496
"Remotely Crewed","Products (All)",,,54000,117226000,111982566,175496911,223881041,205851033,74224042,37311976,107061388,213044113,113324191,117991475,145625263,135062083,391053568,317200284.8438,759204116.8437,745077534.5345,1574500423.1609,2079685542.896,1881563880.8104,2611127806.3758,3001794142.4483,3179746642.5555,2358693856.5869,1800288401.4351,2585295965.4114,2617632938.5731,2771166423.0697,2870815272.0827,3286058280.33,1901410550.6249,1553522505.1398,1829808940.7825
"Remotely Crewed","R&D",,,,261000,870000,151345,-2500000,,170373,,264138,9679799,7549532,16850988,8647588,35784561,19989179,1106418,28549190,29533856,72550852,140393951,474076578.5825,426538437.1641,641715999.375,617799375,575639336.5401,305197369.8,324478990.35,282714633.3437,282468316.6276,242408381,457951851.5625,586208631.4678,178120522.7031,17722920.3125
"Remotely Crewed","Services (Non-R&D)",,,,2605000,2320000,3351503,3473551,104061169,19667996,32538698,6012917,15886937,11761674,8994833,2178110,582084,1162697,79406228,135740125,118477099,261384516.3125,198616211.0468,481068858.4885,326644214.2066,420486903.455,533742468.8282,501391806.88,385876709.69,225653800.6451,432686668.3925,1004408460.4612,1210347365.2901,1329568316.8679,1374588200.0732,1173138981.6426,572651690.5801
"Ships & Submarines","Products (All)",,-191000,79731000,6546714000,6476365096,5042860266,6618143070,4406458273,6404497166,4969921341,5075056453,5006150547,5177192817,5618916525,6760293113,7001570744.9004,7557297490.9402,10006134216.3902,8812015764.4136,10954908027.9909,10779957104.9136,13082410892.0628,15825749717.9888,12806472617.7794,23500087784.7764,19697880253.9823,18936235987.4811,19485515501.4186,17513429163.4978,20462833668.0981,22571865032.3571,24972386735.1345,27624087271.0338,34506821976.0681,26998423739.1919,29945989173.6608
"Ships & Submarines","R&D",,88000,8547000,630760000,630105944,605115956,758304172,896429128,985979500,1189835075,1000491571,1419135033,1006079767,980073572,1860933409,1963260042,1769230766,1416338177,2343980775,2920241320.2199,2715584173.8303,2597366578.3203,2003137765.3023,1226796918.1535,675433325.8688,376848253.5339,322959136.3164,172374567.8775,176259561.378,292900937.2356,639545100.9202,717560830.1531,698709720.4208,410341603.8328,1642628113.1579,3207427932.7391
"Ships & Submarines","Services (Non-R&D)",,1255000,96606000,3503183493,2406299672,2952105804,2126323230,2086139245,2263880074,1809871932,2264973618,2943947653,2136859443,2756831666,3783067977,3730804387.0298,3346110751.1104,3419749313.7734,2882758994.717,2944487430.279,3756956968.3425,3673298598.6866,3672574254.323,3528920397.1117,4214050152.8881,3748789028.4016,3792083403.4634,4146257819.0434,3788520348.0328,3896900380.1205,3996505173.3831,5574803649.2403,4983004665.6824,5105053748.7748,4878952078.2999,4384047827.0275
"Ships & Submarines","Unlabeled",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"Space Systems","Products (All)",,,,870648000,604167000,383787864,347908293,249118389,262005028,321493244,392746576,439513666,313296174,266733768,414212178,909008016,826341309,1194108799,1174917874,1477929696,1612576369.4044,2930660649.3006,3870303117.0769,3187840055.2305,3297423372.5833,3953911174.6041,1678877823.2501,2099220070.6584,1008265757.749,1131256627.8225,409163889.8859,537632041.1166,1045878749.8417,638338748.2632,965171477.9357,1344583226.3012
"Space Systems","R&D",,222000,-32000,4056410000,3721492000,2610354569,2938217519,2669145271,2589724422,2062851780,2125107005,2516112364,2709950149,2763224580,3468571346,3211286405,4120374393.6601,4627549571.2227,4857058143.2656,5609461622.5828,6030569853.2297,5606657759.583,5417609504.9972,5218345792.6143,6376107379.7499,5369330071.4169,4007040492.56,2728960363.5569,2852570931.5347,2959441345.3847,3133023098.0575,3274703766.6438,3838761330.0564,4902261087.3577,6361083030.6657,7591485549.9496
"Space Systems","Services (Non-R&D)",,,,182260000,210382000,212913574,492270454,786364069,597583370,565793118,662212018,595646691,486993815,152793776,271532189,360328114,261457207,305019772.9375,351474232,795761770.9851,423511189.5996,887440046.4332,966319077.3913,683181559.5484,624870957.6693,626089130.4728,1885261353.5393,3021314620.0998,2102225830.2148,1985167741.075,2508391390.8309,2133188802.3922,2331805200.2378,1761005753.2958,1594818923.8206,2360156654.4449
"Unlabeled","Unlabeled",,,0,0,,,,,,,,,,29503352.0086,9825233.9425,84074351.1754,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316,980919.7685
