"Subcustomer","ColorOfMoney","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Procurement",198.36683,83.73668,72.80895,377.31198,468.17849,622.49487,935.40393,813.85347,1458.43083,1620.98691,2104.56021,1822.06619,1926.04874,1697.31449,1237.94435,505.02126,709.66102,998.37708,796.31193,837.32411,802.3438,803.915,497.03322,331.69832,353.52513,150.45194,29.27142
"Army","Procurement",0,1.16769,67.64977,79.0887,145.29658,163.70279,399.13987,464.03969,380.74816,1078.03793,635.41666,1496.6258,1353.73032,1080.41601,673.82901,801.33949,426.00249,591.19642,721.48279,638.63488,710.24923,273.497,54.97997,61.69876,73.72354,102.10561,138.19233
"Defense-Wide","Procurement",0,0,0,0,0,0,0,0,233.65618,220.20577,58.47283,39.8901,50.27776,27.53918,78.15337,26.3577,28.73368,44.99596,192.76748,114.98891,127.50815,27.193,39.76687,34.67448,38.2367,41.49582,39.76147
"Navy","Procurement",0,0,0,0,0,0,0,0,90.12755,228.27824,84.32537,341.19148,163.88529,220.97146,247.06255,180.96118,330.68783,1018.25596,857.71189,869.71445,889.8799,761.785,376.20847,335.68129,891.06592,857.61089,980.72602
"Air Force","RDT&E",272.62182,111.27816,206.94205,321.63888,560.89595,738.63989,606.96053,778.01381,372.1207,444.52805,453.29246,517.04726,538.50678,786.1798,507.93378,247.81568,437.51982,333.56362,488.11299,461.60155,346.04872,334.029,291.72366,190.64444,180.93047,68.41586,77.39888
"Army","RDT&E",74.76145,65.80968,51.29239,49.42061,94.62231,91.4394,70.40517,186.91524,212.92168,283.44195,186.61972,420.16235,330.79261,270.47801,169.24009,70.85244,90.1938,53.16943,29.47191,92.77133,79.91371,97.059,91.79783,56.24717,50.61726,49.79405,13.01651
"Defense-Wide","RDT&E",0,0,0,0,0,0,726.0994,0,12.37071,57.87023,65.62963,80.36115,56.35425,38.70217,21.87231,24.00941,24.13564,32.12293,45.97418,76.94735,71.22206,70.095,47.40242,42.99671,44.40614,45.79166,45.1385
"Navy","RDT&E",86.76315,112.36849,176.56447,105.36598,352.46774,246.14375,192.49872,150.46679,305.06378,409.06688,894.69034,999.99985,1134.97684,1148.9981,1083.15464,644.51276,1020.47391,972.77937,441.9402,669.53939,850.32502,1005.463,596.12048,564.93779,555.11987,440.66637,422.51597
