"SubCustomer.DoD","TopProjectLabel","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","Tactical UAV",,,,,,,,,,,,,,,15315,7199897,6705686,,1059515.3438,5115101.1875,7257358.4688,51231982.5547,50466057.01,31820042.45,12681305.86,4436952,0,68738,,,,0
"Air Force","MQ-1C Gray Eagle",,,,,,,,,,,,,,,,,,,,,,,,,,95483.8032,-8299.75,,,,,
"Air Force","RQ-4 Global Hawk",,,,,,,,,,,,,,,7143692,202818044,104409504,406138791,457551546.2851,588476341.5548,570615597.168,597911934.6563,271904410.1621,245633407.23,246246924.19,323015813.6531,380839967.5743,401262947.5938,478555048.5747,490214752.6252,361634678.9126,376947825.7422
"Air Force","MQ-9 Reaper",,,,,,,,,,,,,,,21498250,4057886,30691167.4339,205862411,135245563,116809003,311023286,304832269,154305542,419791281.73,90891726,497563052.915,442207156.9244,1046013234.1945,1000112721.5459,1586439385.6276,999470478.0336,923785242.9654
"Air Force","Other, multiple
or unspecified UAS",74479000,59292000,70262380,3707117,4166420,1924057,422782,8543366,16940128,34668146,30250181,23212885,19003712,109594232,54774485.8438,59849395.8437,66043729,224627460.0408,177296656.3001,91169881.2241,351143658.0351,303836245.9985,550585958.6445,577639136.95,545845371.1376,406571945.9064,545065625.3925,248204812.604,514877532.0312,314722071.0117,184594194.294,259816771.1951
"Army","Tactical UAV",,,,,,,,,,,,,,,76948904,170533180,406644564,398567345.0937,931861108.1993,570078588.6153,944373375.2631,1124021397.7675,1874473261.0299,669421986.2494,548323642.5775,308504471.4219,349306256.6912,-56061857.3438,30227322.3349,-14501739.8399,-2423702.8384,1081243
"Army","MQ-1C Gray Eagle",,,,,,,,,,,,,,,,,,,,,,,,,,,,402394843.885,492187362.25,1044930451.1017,745065203.7541,604616036.3984
"Army","RQ-4 Global Hawk",,,,,,,,,,,,,,,21630,-8995,875662,1333891,2283378,1453564,885374,,573027,-5469.64,,,2721161,,,,,
"Army","MQ-4C Triton",,,,,,,,,,,,,,,,,9953,,,,,,,,,,,,,,,
"Army","MQ-9 Reaper",,,,,,,,,,,,,,,,,,,,,,12328417,,20620000,,,,,,49660100,,
"Army","Other, multiple
or unspecified UAS",16545000,31486000,10502321,17589482,30887070,47764089,11584532,8264808,20433483,53174600,85355735,95795386,109676905,221200865,221253135,407733263,164835462,364800021.2559,359951395.1938,478713914.7242,421160387.8224,621667010.5227,516869086.1807,607748549.3375,474556783.11,889024586.5374,513698245.3507,955399577.6261,451279266.0556,337610936.9916,243812015.5888,137593253.0038
"Civilian","Other, multiple
or unspecified UAS",,,,,,,,,,,,,,150000,104457091,54335010,74398356.5,17728680,33939870.5605,10100615.5903,23456090,35019730.0469,2934138.2197,112035.87,16848298.78,25988617.49,54382284.2294,74150704.7643,126288812.916,201159483.7919,221706978.5587,165987192.2821
"Navy","Tactical UAV",,,,,,,,,,,,,,,,,1656650,2625617.3125,25860200.0586,10108731.6485,1485046.6793,191889.8164,40574720,16634890.35,9507168.84,-58.41,,,,,,
"Navy","MQ-1C Gray Eagle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,0
"Navy","RQ-4 Global Hawk",,,,,,,,,,,,,,,,3634922,10302832,,14797532,47052804,22034602.6875,11866913.5391,0,0,,0,39928,,92814,582586.9908,695994.8534,-248618.0313
"Navy","MQ-4C Triton",,,,,,,,,,,,,,,700313,5581847,5738962,516248,52355357.2188,377048278.3282,372958619.5781,466768237.5313,440802651,535071752,253766611.41,360852223.1484,591885345.625,590255348.6641,564907981.2442,261638581.9193,630340002.2119,350204467.754
"Navy","MQ-8 Fire Scout",,,,,,,,,,6167561,15886701,8447616,36881568,18714602,,7380121,14621783,38384689,57946203,52790686.5,35904434,69911794.125,115687927,30826848,1547748,5160205.3272,14875630.4903,53563950.336,69971033.6133,37619736.8125,77535188.2431,41720998.75
"Navy","MQ-9 Reaper",,,,,,,,,,,,,,,,20517218,61019725,108593649,105219498,114840216,0,,,,,,,,,,16457156.1563,
"Navy","MQ-25 Stingray",,,,,,,,,,,,,,,,,,,,,,,,,,,86960936,35752364,79050816,356893120,448743003.7812,100636620
"Navy","Other, multiple
or unspecified UAS",29068000,24394566,98235058,203557993,274858712,44374265,57843360,96530269,201237238,38625090,12344679,28995074,5866543,62695745,15357206,34196653,19532810.1006,140159476.7705,91265098.3433,291549496.1726,184252208.8114,374198608.057,268659676.1739,227445109.71,282358199.69,307988182.2823,387872335.5473,322823966.0044,337384898.0161,269004343.3482,93455014.6246,123507514.9507
"Other DoD","Tactical UAV",,,,,,,,,,,,,,,,,,,,3540896,0,-6568793.5,-13553.3398,-846103.36,-46226600.36,-32.22,0,-67765.9766,-4754.1899,-7313270.1172,-610445.1875,-552363.8608
"Other DoD","MQ-1C Gray Eagle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"Other DoD","RQ-4 Global Hawk",,,,,,,,,,,,,,,,,,,,,-480371.8936,-2155889,-818000,,-2280567.84,-5690684,-2631573,-5555815.0157,-8106187.5079,-6213044.5001,-4220245.758,-10291737.166
