"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products",0.230580388793123,0.210827206511216,0.317571074580341,0.393477570160408,0.3555161187082,0.124486076562064,0.0612883950823975,0.172258359127532,0.33994084801972,0.178677361054104,0.181382850112495,0.218060431457027,0.199145904315935,0.560296741909403,0.412725454517339,1.0190328842962,0.970743754706914,1.68484925839383,2.28767850970868,2.28284956437105,2.72247804627957,3.30254391923263,3.49569087466258,2.1952819541257,1.9022356277248,2.81916825551518,2.74248593556331,2.80693387004741,2.90059811833562,3.42662737272708,1.92038246335184,1.5363252341867
"R&D",0.000513379979484116,0.00163793058345134,0.000273866896052442,-0.00439382415325209,,0.000285743887702969,,0.000424989618696408,0.015445435381359,0.0119032877539228,0.0259042463080612,0.0129489673116855,0.0527635040316515,0.0286402497857886,0.00154428045169653,0.0385257348070402,0.0378087553109405,0.0541353246713634,0.171997291738479,0.581666605720636,0.514321133762042,0.689418232559944,0.597523301890567,0.630763798348382,0.295109747688527,0.327848936164698,0.196418028856831,0.230097154544864,0.0638228072507201,0.0150925051851442,0.0349346176003762,0.0174389872656
"Services",0.00512396492933381,0.00436781488920357,0.00606472446212592,0.00610486891254118,0.179719394029556,0.032986503966981,0.0534478414783183,0.00967459170237962,0.0253497679901432,0.0185445389316626,0.013827341728086,0.0032615193035625,0.000858269338018702,0.00166589795935026,0.110831065332774,0.183174656038385,0.152219839724471,0.266345114127615,0.0746576296792396,0.288440428634301,0.0438194197543578,0.0939253399274788,0.0272925189547269,0.0127684503860298,0.00583625302730302,0.0121903836203045,0.0549203863630776,0.498850939713797,0.664264347189835,0.622076984242967,0.656239997064871,0.6642032669112
