"PlatformPortfolioUAV","EntityText","EntityID","TotalSpend","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","TotalPos"
"Remotely Operated","GENERAL ATOMICS",649310,19571793072.2892,976145205.821439,1075587008.52728,2004932049.11421,1842008570.53209,1186304996.80034,1516278468.23854,1381182300.11594,2087775194.69506,1825320735.82771,2607380153.11372,1662340914.36872,1406537475.1342,1
"Remotely Operated","NORTHROP GRUMMAN",665531,13628183192.9091,1425472064.53598,1648322782.26365,1086571208.16856,986271661.05443,755448959.157113,943664309.309108,1331129492.36575,1278470372.82642,1321664708.91774,950262672.573659,1125719445.75611,775185515.9806,2
"Remotely Operated","BOEING",683750,4222342058.17659,307614812.316267,281451363.220286,193777017.390821,218888586.93909,210366900.252837,330127099.865941,356219539.465629,328065172.396749,499954148.775195,734393484.168561,583550300.632114,177933632.7531,3
"Remotely Operated","TEXTRON",673331,3597452246.21343,609376846.702336,642362701.733293,1042101818.07251,303285568.532348,214097957.424136,293114428.534364,241121296.748559,135509634.566349,55481874.6224329,6889233.55804249,50928825.2292581,3182060.4898,4
"Remotely Operated","RAYTHEON",668856,1480083439.00014,140089568.315429,128346574.841849,56451161.9891886,34849437.3732307,53120028.1672706,126267404.769476,156126258.631038,53214971.7175575,297079380.823463,219156041.501934,82309029.3424048,133073581.5273,5
"Remotely Operated","AEROVIRONMENT",682060,1176341062.92515,189566949.270167,291615306.273689,159171024.751008,103526919.391988,99546775.8593823,78004444.4734636,21188113.4137226,16635666.9075018,50074762.7079933,65040325.9200452,34132410.2304878,67838363.7257,6
"Remotely Operated","LOCKHEED MARTIN",659846,352540141.861416,,61220472.6834805,15553726.7499219,11212591.9470185,0,,48340410.6515719,36021537.846163,91880014.4088248,71751549.8934912,16569265.3108439,-9427.6299,7
"Remotely Operated","KRATOS DEFENSE & SECURITY",658618,349731229.053126,,148382.14776419,,51641526.5756793,11578692.4186369,31312699.0571615,26912891.3071095,69967012.0417412,26040907.7287884,27630322.5173173,29992123.0089276,74506672.25,8
"Remotely Operated","NAVMAR APPLIED SCIENCES",664333,312315122.852577,,38870628.9986525,46880031.496204,78119999.0123848,106216446.962247,15340021.4230946,16435822.1449597,1695074.69537282,6162164.7491062,2594933.4116108,-0.0410553433243489,,9
"Remotely Operated","Composite Engineering",1217027,221973739.241228,85709255.1079044,73741200.6479324,62523283.4853912,,,,,,,,,,10
"Remotely Operated","BATTLESPACE FLIGHT SERVICES",683364,196040835.017183,83353123.4671461,75413718.8919033,24448967.6428786,,,,,12825025.0152547,,,,,11
"Remotely Operated","TCOM",1217031,190888406.860981,15771.8973097361,104293983.566115,65318441.1300448,22264627.2110614,0,-923310.655742803,-81106.2878075042,,,,,,12
"Remotely Operated","L3 COMMUNICATIONS",658914,190711915.798186,-86829.8413818117,,,,,592120.750205915,,113611097.807964,19272694.3493203,22227925.137088,18248517.6349897,16846389.96,13
"Remotely Operated","ATK",683063,176635870.721373,40504541.4032791,45816508.8588625,36613150.6328198,23790380.3485321,29911289.47788,,,,,,,,14
"Remotely Operated","GENERAL ELECTRIC",649350,172187448.273771,,,,,,537342.309370734,,58091.865097506,,171592014.099302,,,15
"Remotely Operated","GOODRICH",650378,163582488.408643,,44754.2287516304,,,,,12990037.8350605,62570530.0168489,50635178.0061969,31082603.6951263,6738278.62665898,-478894,16
