"PlatformPortfolioUAV","EntityText","EntityID","TotalSpend","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","TotalPos"
"Remotely Operated","BAE SYSTEMS",683233,144634813.275961,34924228.0938638,21868958.6751902,4497394.86184954,5669650.30811922,555587.523540925,2474606.3186699,1380203.80247349,-305669.006503902,-233851.112845644,38868946.7165303,21699139.6966735,13235617.3984,17
"Remotely Operated","GENERAL DYNAMICS",649342,131576486.573761,,45782198.1485345,49092478.0715912,9291213.69530731,-452765.647308102,0,6074.05218630338,11208519.0458528,-1996775.66458625,,18645544.8721832,,18
"Remotely Operated","AURORA FLIGHT SCIENCES",1154505,125543300.379969,,5873098.79365898,33171289.061005,47793286.1943424,11738155.1335958,18672218.7374949,5235369.61554685,2591220.48404125,421537.371595225,47124.9886890864,,,19
"Remotely Operated","079095189",198652,121852586.628235,,,,,,,,,29884569.124677,16313531.7066574,47381779.796901,28272706,20
"Remotely Operated","WYLE LABORATORIES",677122,104498727.38247,,,,,,,11372344.8268732,17665469.7634638,44377321.8829733,19895343.9663973,11188246.9427623,,21
"Remotely Operated","WALSH GROUP",676242,85791169.8348135,,,46674693.8081681,19347424.7711251,,19769051.2555204,,,,,,,22
"Remotely Operated","SUMARIA SYSTEMS",672487,79278166.4667756,,,,,,,,,,36307038.7998494,8771696.61802617,34199431.0489,23
"Remotely Operated","ATLANTIC DIVING SUPPLY",683075,74950921.7084512,,,,,26102446.882551,275058.590457775,0,,47932658.8292424,,,640757.4062,24
"Remotely Operated","HONEYWELL",653876,72850748.0479477,27604839.1118281,18085609.7589751,-227332.153265543,-518058.473085174,45748.36801516,2271462.34756293,8802641.12945812,4187475.08163263,10656.7054036487,12763135.0588216,-78588.4107989483,-96840.4766,25
"Remotely Operated","844213988",548297,70529198.7515888,6080504.35472093,6955056.27563631,7274174.83137298,6974578.60598543,11090925.1370893,11162236.4339533,6297611.18234692,12059704.3119069,2634407.61857673,,,,26
"Remotely Operated","AECOM",1191210,70191062.4085644,,,,,,,,,,41440553.9335699,28750508.4749945,,27
"Remotely Operated","GRIFFON AEROSPACE",1217028,64594699.8428314,878915.408053385,699924.30793089,632859.834237651,574064.522933648,1468420.45502534,167689.843540794,99295.0470550228,1928569.81428143,16098539.4631442,1206439.08682449,22403149.2316046,18436832.8282,28
"Remotely Operated","800577590",510351,62955225.8983921,,,,,,,,19748875.0526929,32221761.5210068,5869226.22321603,4950453.85537627,164909.2461,29
"Remotely Operated","URS",675375,59249858.4485184,,,,,,,1085921.9317169,10092452.7862658,48071483.7305357,,,,30
"Remotely Operated","ALION SCIENCE & TECHNOLOGY",682320,55998659.3255266,,,,,,,,,6467227.94805819,9651718.79102148,22427303.5864469,17452409,31
"Remotely Operated","ROLLS ROYCE",669552,54588148.057626,,,-924320.000161756,55763942.1694799,0,0,-46074.1243212151,4059.70499849791,0,-182809.481469392,,-26650.2109,32
"Remotely Operated","KORTE COMPANY",1216953,52005147.7955311,,,,,,,,,,52005147.7955311,,,33
"Remotely Operated","TRW [NORTHROP GRUMMAN]",674622,48912709.5263597,,49175475.3931521,0,0,0,0,-262765.866792358,,,,,,34
"Remotely Operated","618430904",418314,44286726.1769402,,44040300.1540971,246426.022843125,,,,,,,,,,35
"Remotely Operated","GOLDBELT",650219,43792243.0211826,,,,,,,,,,,6230166.31118265,37562076.71,36
"Remotely Operated","CAPE FOX",1217025,43789221.0406772,,,,,,,,,11323245.028178,11909422.952618,10335859.2198811,10220693.84,37
"Remotely Operated","SCIENCE & ENGINEERING SERVICES",670385,43468055.0856454,,1394434.34361702,0,-15081.2281800839,12502693.9663661,,11267510.7208379,18339520.3132144,-1621.04474247603,,-19401.9854674,,38
"Remotely Operated","948992409",629356,42559727.6286947,13451522.7096426,8085470.99825031,,,,,,,,21022733.9208018,,,39
"Remotely Operated","ORBITAL SCIENCES",666329,42218330.6330821,38289806.7215239,958109.867559592,3005068.30652589,-120717.164914158,86062.9023868462,,,,,,,,40
"Remotely Operated","FLIR SYSTEMS",687236,39526691.0559958,,,,7233918.16118612,22376738.5578472,4919579.20784857,4865759.16270246,,130695.966411429,0,,,41
"Remotely Operated","Orbital ATK",1155131,37961970.3717517,,,,,,38238613.0952275,-72160.9578872517,-204480.870425342,-0.895163253906492,,,,42
"Remotely Operated","UNITED TECH",675069,37913826.282249,149029.959946447,5658622.51544152,-426236.303274591,,,,,-394200.543604146,0,15899975.3725856,16614235.2811542,412400,43
"Remotely Operated","SIERRA TECHNICAL SERVICES",1217030,37275211.6473992,,,,,,,,7839264.32834947,11375056.3313448,16761595.706405,0,1299295.2813,44
"Remotely Operated","IRON BOW TECHNOLOGIES",655976,37047549.9361788,,,,,,,,3229078.55455924,953700.986295136,9705735.68929471,22337808.3310297,821226.375,45
"Remotely Operated","077817450",206677,36274411.1400539,,,,,,,,,10656705.4036487,13063797.7227679,12553908.0136373,,46
"Remotely Operated","NEANY",1217029,36172025.2217611,0,4282029.84577828,-541708.567969799,,,,8655987.71280427,7744989.00213435,11226837.2987076,4803889.93030634,0,0,47
"Remotely Operated","038527586",133625,36103524.9866417,,,,,,,,36103524.9866417,,,,,48
"Remotely Operated","193460839",331971,35940484.4367394,,,,,,,,,17377662.8635514,6721485.59168498,9615362.78230305,2225973.1992,49
"Remotely Operated","SAUER HOLDINGS",670230,32613635.6277179,,32613635.6277179,,,,,,,,,,,50
"Remotely Operated","CAE",684104,30945209.1777259,,,,,,,,,26748336.9571815,-8110.7341643772,2714385.31410874,1490597.6406,51
"Remotely Operated","SRC MANAGEMENT",672078,30928062.5267351,,,,,3811508.06635098,749494.227247289,1286375.62949806,0,,0,25080684.6036387,,52
"Remotely Operated","JOHNS HOPKINS UNIVERSITY",657063,30571780.2164347,3399965.26661648,2093831.21539408,5528598.2441675,154337.003688557,2387659.45382015,5231031.95023302,10308154.2577776,1369959.68993611,98243.1348011851,,,,53
"Remotely Operated","MAG Aerospace",1217032,29493585.5371793,,,,,,,,9212659.28659132,,11924373.0934741,2982533.15711381,5374020,54
"Remotely Operated","070442132",203686,29165512.6794548,,,,,,29165512.6794548,,,,,,,55
"Remotely Operated","061993440",194634,28547916.7645231,,,28474833.0049831,,73083.7595400492,,,,,,,,56
"Remotely Operated","Mantech",660832,27869046.7348499,-255199.724925571,,10180033.525433,8804627.26102777,1562919.56030181,913927.102921912,5459748.87609335,1318288.28747923,-109653.863281631,,,-5644.2902,57
"Remotely Operated","015317902",125261,25995395.8203817,,,,,,,,25995395.8203817,,,,,58
"Remotely Operated","137893942",257501,24243165.7371311,,,,,,,,,6862083.10435626,6169042.30129684,6055865.69077801,5156174.6407,59
"Remotely Operated","CADDELL CONSTRUCTION",684095,23611536.5840156,,,,23611536.5840156,,,,,,,,,60
"Remotely Operated","078763300",164966,23490778.9425071,,,,23490778.9425071,,,,,,,,,61
"Remotely Operated","HENSEL PHELPS CONSTRUCTION",653066,22966652.2489614,,22966652.2489614,,,,,,,,,,,62
"Remotely Operated","007813587",115758,22514713.7706352,,,,,22514713.7706352,,,,,,,,63
"Remotely Operated","130017312",238652,21646996.1870885,,,,,,21646996.1870885,,,,,,,64
"Remotely Operated","068013796",164263,21517833.8720384,,,,,,,,21517833.8720384,,,,,65
"Remotely Operated","165051913",398955,20473395.0458736,20130363.4612754,343031.584598154,,,,,,,,,,,66
"Remotely Operated","LONGBOW [LOCKHEED MARTIN/NORTHROP GRUMMAN]",659983,19296188.1220532,,,,,,,,,19296188.1220532,,,,67
"Remotely Operated","603606117",487959,18441544.1479437,18441544.1479437,,,,,,,,,,,,68
"Remotely Operated","009260337",18686,18322683.9271859,,,,,,,6190429.03106632,6041534.27776463,6090720.6183549,,,,69
"Remotely Operated","780539479",448601,17605062.9773493,,14587495.4832035,4199689.89745681,160207.476939269,-95342.5338210636,,-1246987.34642919,,,,,,70
"Remotely Operated","107928806",269510,17274146.235223,,,17274146.235223,,,,,,,,,,71
"Remotely Operated","967912853",637270,15798566.7654875,,300029.428364266,36204.4590063358,1350014.97468804,7542983.97203531,909463.498381039,426955.362842358,2244554.26555351,1655820.02410291,-205542.232419479,1538083.01293324,0,72
"Remotely Operated","117548597",1199337,14680430.1484,,,,,,,,,,,,14680430.1484,73
"Remotely Operated","078199049",211205,14521615.8590206,,14521615.8590206,,,,,,,,,,,74
"Remotely Operated","792518164",526044,14088416.1325506,,,,,,,,,,,14088416.1325506,,75
"Remotely Operated","035670371",92560,13336588.9747671,11994357.8858952,1342231.08887183,,,,,,,,,,,76
"Remotely Operated","809210417",561725,13208778,,,,,,,,,,,,13208778,77
"Remotely Operated","004416855",128169,13091119.4635627,,,,13091119.4635627,,,,,,,,,78
"Remotely Operated","Gilbane",649806,12753084.4039773,,,,,,,12753084.4039773,,,,,,79
"Remotely Operated","046284019",120852,12618991.6547767,,,,12595105.1726204,23886.4821562761,,,,,,,,80
"Remotely Operated","969615132",1138989,12197580.4042457,,,,,,,,,,,6103484.40424566,6094096,81
"Remotely Operated","020256798",134221,11336051.1093887,,,,,,,,,,,2410083.10938867,8925968,82
"Remotely Operated","091296244",196192,11304515.0383476,,,,,,,,,,3222748.12092223,112696.917425338,7969070,83
"Remotely Operated","968090709",641240,11067729.3600333,,,,,,,,,1069026.33689648,8119127.64847371,1539575.37466308,340000,84
"Remotely Operated","884457813",579276,11066960.4281391,,,,,,,,,,2099680.05159152,8967280.37654754,,85
"Remotely Operated","004203337",118688,9789151.26788326,,,,,,,,,,10114689.7500556,-352389.301972301,26850.8198,86
"Remotely Operated","008898843",151889,8178217.55930289,8200863.24513651,-57.2811723698325,-343.31555606008,,,,,,,-22245.0891051905,,,87
"Remotely Operated","967645446",632196,8159561.13635072,,7245019.97569869,653200.76851431,245089.595283396,22426.2422449788,,-276.779483839748,-5898.66590681749,,0,,,88
"Remotely Operated","017949918",92437,7531079.98533612,,,,,,,,,,,3958343.48533612,3572736.5,89
"Remotely Operated","046265960",120371,6269932.80614442,,,,,95948.4348209173,,-536.035105441273,,274005.808778295,5900514.59765065,,,90
"Remotely Operated","202131454",408566,6057851.32099789,,,,,,,,,,6057851.32099789,,,91
"Remotely Operated","428869465",417328,4545338.99521476,,,,,,,,,,4526476.11772438,18862.8774903721,0,92
"Remotely Operated","080313197",1074000,4071776,,,,,,,,,,,,4071776,93
"Remotely Operated","007257348",103856,3985828.44951403,,3775962.39690216,,0,43097.631034288,166768.421577578,,,,,,,94
"Remotely Operated","001344142",32337,3480094.48163645,,3480094.48163645,,,,,,,,,,,95
"Remotely Operated","ROCKWELL COLLINS",669508,3406004.53344773,0,,,,,,0,,3406004.53344773,,,,96
"Remotely Operated","BATTELLE",683362,3320596.76636105,,,,,,,3320596.76636105,0,0,,,,97
"Remotely Operated","782828045",474085,3235307.00442182,,,,1576049.25053017,363195.112437324,965717.650247752,32168.3688072889,106706.639960519,174716.525348807,16753.4570899556,,0,98
"Remotely Operated","626642110",522230,3216008.93445667,3216008.93445667,,,,,,,,,,,,99
"Remotely Operated","HEWLETT PACKARD",653379,3016144.87615575,,,,,,,3016144.87615575,,,,,,100
"Remotely Operated","STERLING COMPUTERS",672340,2929630.61770742,,,,,,,,497855.378457794,,2410113.2392429,21662.0000067187,,101
"Remotely Operated","LEIDOS",659358,2853772.7544038,,,,,,,,,58961.4196573076,2794811.33474649,0,0,102
"Remotely Operated","861367373",613541,2772900.87359325,2683896.52290654,36402.1323889947,56378.8984098663,0,-3776.68011214453,,,,,,,,103
"Remotely Operated","083662916",278018,2738761.56636178,,,,,,,,,2738761.56636178,0,0,0,104
"Remotely Operated","CURTISS WRIGHT",685463,2516076.13295352,,,,,,,,,2054970.20108095,10472.2197086859,450633.712163884,0,105
"Remotely Operated","968506464",654267,2511581.43964667,,,,,278928.560576273,,,761482.719718251,573281.729871444,,398973.148180701,498915.2813,106
"Remotely Operated","SIERRA NEVADA",671157,2434564.4960324,,,,,,,,,,,827422.214732405,1607142.2813,107
"Remotely Operated","009256819",18611,1928678,,,,,,,,,,,,1928678,108
"Remotely Operated","182737262",363555,1879163.5352075,1879163.5352075,,,,,,,,,,,,109
"Remotely Operated","080943022",1172945,1810398.12457435,,,,,,,,,,,1226425.37457435,583972.75,110
"Remotely Operated","968402789",651937,1799353.46933424,,,,,,,,1799353.46933424,0,0,0,0,111
"Remotely Operated","603055885",477785,1793095.98580048,,,,,898934.39119742,894161.594603063,,,,,,,112
"Remotely Operated","WORLD WIDE TECHNOLOGY",677067,1764471.15688005,,,,,,,,,,,1764471.15688005,,113
"Remotely Operated","CANADIAN COMMERCIAL",684160,1671902.61512932,574436.146893751,1002051.83444551,165590.772628978,-70176.1388389156,,,,,,,,,114
"Remotely Operated","004279428",122204,1671627,,,,,,,,,,,,1671627,115
"Remotely Operated","SERCO GROUP PLC",670745,1650471.782,,,,,,,,,,,,1650471.782,116
"Remotely Operated","UNICOR",674864,1589251.10537927,,1590415.96925396,0,,-1164.86387468869,,,,,,,,117
"Remotely Operated","166654298",284019,1433980.78510628,,,,,,836518.96858737,1078178.62358304,-480716.807064135,,,,,118
"Remotely Operated","006024129",63133,1390867.86060911,,,,,,,,,,1390867.86060911,,,119
"Remotely Operated","TOYON RESEARCH",674353,1389650.80948583,,,,,,,,1389650.80948583,0,0,,0,120
"Remotely Operated","076820937",1193492,1349000,,,,,,,,,,,,1349000,121
"Remotely Operated","058024456",737172,1301019.05391053,,,,,,,,,,,1161825.25701053,139193.7969,122
"Remotely Operated","161183322",370869,1291084.90290974,,,,,,,,,1291084.90290974,,0,0,123
"Remotely Operated","298452707",371882,1151898.78293743,1151898.78293743,,,,,,,,,,,,124
"Remotely Operated","ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",682478,1151127.84174471,1151127.84174471,,,,,,,,,,,,125
"Remotely Operated","073800062",146994,1140471.05883083,,,,169174.620415243,16649.2422426723,7834.27898047691,,31605.6399883059,,48464.3855898273,227846.891614305,638896,126
"Remotely Operated","079824910",160353,1087472.23374599,,,,,,,,,,0,1059410.55404599,28061.6797,127
"Remotely Operated","080917416",1195158,1070769.1875,,,,,,,,,,,,1070769.1875,128
"Remotely Operated","141451976",312372,1067586.22390752,1067586.22390752,,,,,,,,,,,,129
"Remotely Operated","024744476",15995,999086.896738445,,,,,908963.115188225,34427.7746711818,36976.3468859636,18719.6599930737,,,,,130
"Remotely Operated","041361883",1192515,978987.448645685,,,,,,,,,,,798572.448645685,180415,131
"Remotely Operated","045534641",110172,919859.005947361,,,,,,,,,547569.231073521,190528.104625384,181761.670248456,0,132
"Remotely Operated","985419987",676375,869180.620752624,,,,,,,,,,,869180.620752624,,133
"Remotely Operated","FIBERTEK",1154717,823245.417132336,,,,,,,,,438304.898294961,181993.564651339,202946.954186035,,134
"Remotely Operated","792487584",525786,791389.905237863,,,,,312921.532409487,478468.372828376,0,,,,,,135
"Remotely Operated","556869238",407029,769268.315360646,,,,,,,,,,769268.315360646,0,,136
"Remotely Operated","078521131",130401,724677.603841062,,,,,,,,,,724677.603841062,0,,137
"Remotely Operated","170203199",328210,709957.115799889,,,,,167912.90061052,542044.21518937,0,,,,,,138
"Remotely Operated","086215402",300268,707531.193386571,,,46678.1600081687,0,315649.539008015,345203.494370388,,,,,,,139
"Remotely Operated","078308882",217025,689083.829745039,,,,,,,,689083.829745039,,,,,140
"Remotely Operated","065574683",135184,655844.256045102,,,662075.395915863,-6231.13987076114,,,,,,,,,141
"Remotely Operated","SAIC",669996,606214.988458671,,,,,,,,,,,606214.988458671,,142
"Remotely Operated","052089695",60938,604253.622328492,,,,,,,,,,604253.622328492,,,143
"Remotely Operated","079249789",215341,599965.9375,,,,,,,,,,,,599965.9375,144
"Remotely Operated","PROGENY SYSTEMS",668309,589133.602059331,,,,,,,,,558342.094566069,,30791.5074932617,0,145
"Remotely Operated","040370249",20193,583060.980200172,,,,,,11626.4983047397,240168.494518001,331265.987377432,,,,,146
"Remotely Operated","HARRIS",652530,582598.659126971,,,,582598.659126971,,,,,,,,,147
"Remotely Operated","079463286",247705,573949.690326285,,,,,,304102.529047129,0,269847.161279157,0,,,,148
"Remotely Operated","131010865",259569,567519.409182605,567519.409182605,0,,,,,,,,,,,149
"Remotely Operated","089476055",174454,556940.81255125,,,,,,250955.690576211,111948.772046832,194036.349928207,,,,,150
"Remotely Operated","CUBIC",685443,536168.490904182,,,,,,,,,,489248.490904182,,46920,151
"Remotely Operated","DELL",685736,517530.211058162,,207472.810460285,-6647.70955670335,,,,,,,,316705.110154581,,152
"Remotely Operated","211006279",417825,513057.575607757,513057.575607757,0,,,,,,,0,,,,153
"Remotely Operated","080961775",1173092,500257.935483924,,,,,,,,,,500257.935483924,,,154
"Remotely Operated","041681714",39411,488090,,,,,,,,,,,,488090,155
"Remotely Operated","802337436",540895,466040.874877435,1298649.34270534,-219644.005959249,,-240903.06455906,-298095.397890757,-101.084952164098,,-73864.91446667,,,,,156
"Remotely Operated","JACOBS ENGINEERING GROUP",656317,458996,,,,,,,,,,,,458996,157
"Remotely Operated","006468131",78795,456836.614002736,,,130254.989327715,,331656.157279157,0,,,,,-5074.53260413528,,158
"Remotely Operated","068428866",170306,445670.607835126,,445670.607835126,,,,,,,,,,,159
"Remotely Operated","118572317",289465,445361.340121209,,,,,,,,,,,445361.340121209,,160
"Remotely Operated","744105080",1187208,427896.404371385,,,,,,,,,91768.0872424402,,336128.317128945,,161
"Remotely Operated","486374916",1184423,423400,,,,,,,,,,,,423400,162
"Remotely Operated","396466430",1200800,398236.830246184,,,,,,,,,,,398236.830246184,,163
"Remotely Operated","INNOVATIVE LOGISTICS TECHNIQUES",655376,383117.19391014,383117.19391014,,,,,,,,,,,,164
"Remotely Operated","235672412",436151,353926.79255663,,,,,,,,,,,353926.79255663,,165
"Remotely Operated","TELEDYNE TECHNOLOGIES",673157,349658.622467682,349658.622467682,,,,,,,,,,,,166
"Remotely Operated","B & H PHOTO VIDEO",683206,345884.649441731,,,,,,,,,311562.225909537,1624.06324908213,30035.000183112,2663.3601,167
"Remotely Operated","078024325",209413,338379.5998748,,,,,,,,338379.5998748,,,,,168
"Remotely Operated","829833230",614343,332833.522310372,,,,,,,,,,178875.984844063,153957.537466308,0,169
"Remotely Operated","W.S. DARLEY & CO ",1217018,323212.035221585,,,,,,,,,,,14574.6368215847,308637.3984,170
"Remotely Operated","MEGGITT CORP USA",662054,322997.81950958,,,,,,322997.81950958,0,,,,,,171
"Remotely Operated","939956194",575339,301978.665185697,301978.665185697,,,,,,,,,,,,172
"Remotely Operated","216242784",422719,278354.686112709,,,,,,,166253.417196087,,,,205.276716621744,111895.9922,173
"Remotely Operated","055467856",105166,269262.289845957,,,,,,50929.3270674687,113622.219201231,104710.743577257,,,,,174
"Remotely Operated","160033205",359728,261501.040434312,,,,,,78378.8908404492,102143.545098147,55219.9237245686,10314.6459407671,,15444.0348303803,,175
"Remotely Operated","001367960",32810,255528.699905454,,,,,,,,255528.699905454,0,,,,176
"Remotely Operated","GARTNER",687513,252572.443430798,,,,,,,,,252572.443430798,,,0,177
"Remotely Operated","068014485",164274,241243.812504715,,,,,,,,,,206758.842544135,34484.9699605802,,178
"Remotely Operated","144720471",379154,233549.835569617,,,,233549.835569617,0,,,,,,,,179
"Remotely Operated","217304393",425067,226068.797754016,226068.797754016,,,,,,,,,,,,180
"Remotely Operated","094852316",232580,223807.045831189,,,,,,,,,,,223807.045831189,,181
"Remotely Operated","065875485",1193236,219663.872062633,,,,,,,,,,,219663.872062633,0,182
"Remotely Operated","793506820",536897,209282.686312157,,,,,,,,199868.160794049,,9414.52551810859,,,183
"Remotely Operated","NEW TECH SOLUTIONS",1216972,202961.644301069,,,,,,,,,,,202961.644301069,0,184
"Remotely Operated","043041962",58871,193493,,,,,,,,,,,,193493,185
"Remotely Operated","135054075",327785,183100,,,,,,,,,,,,183100,186
"Remotely Operated","797304839",1201998,180958.882994629,,,,,,,,,,,180958.882994629,,187
"Remotely Operated","CFM INTERNATIONAL",684551,178396.344928908,,,,,,,,,,178396.344928908,0,,188
"Remotely Operated","003077286",78649,178234.53006486,,,,,,,55626.2909598486,59428.2391050116,,,,63180,189
"Remotely Operated","078640374",146471,178145.501444354,,,,,,,,,,,178145.501444354,,190
"Remotely Operated","202669255",1182634,176975.906638394,,,,,,,,,176975.906638394,,,,191
"Remotely Operated","671105069",455494,169744.231931793,,,,169744.231931793,0,,,,,,,,192
"Remotely Operated","876954975",656627,164149.848510724,,,,,,75277.784303865,,20312.1499924845,68559.914214374,,,,193
"Remotely Operated","791792583",518490,164067.44047535,,164067.44047535,,,,,,,,,,,194
"Remotely Operated","063115497",213148,160250.0469,,,,,,,,,,,,160250.0469,195
"Remotely Operated","056452519",119602,159961.881427494,,,,,,,,,,,159961.881427494,,196
"Remotely Operated","080379083",1207127,157716.0079,,,,,,,,,,,,157716.0079,197
"Remotely Operated","079916283",1168027,156879.512832255,,,,,,,,,,156879.512832255,,,198
"Remotely Operated","122522451",256824,146847.001180326,,,,,,146847.001180326,,,,,,0,199
"Remotely Operated","170944248",335123,146230.086433205,146230.086433205,,,,,,,,,,,,200
"Remotely Operated","006958433",92901,144870.561135608,,,,,,,25661.584517178,10014.4728782946,,,109194.503740135,,201
"Remotely Operated","805645905",580511,143808.727529151,,,,,,,143808.727529151,0,,,,,202
"Remotely Operated","243938946",347541,137071.315342505,,,,137071.315342505,0,,,,,,,,203
"Remotely Operated","117938311",273559,131822.549112986,,,,,,,,,,,131822.549112986,,204
"Remotely Operated","849022962",570143,130285.320200225,,130799.109788153,,-513.789587927775,,,,,,,,,205
"Remotely Operated","690651989",482661,128200,,,,,,,,,,,,128200,206
"Remotely Operated","079455065",246586,124328.353262593,,,,,,,,,,98629.353262593,,25699,207
"Remotely Operated","791907152",520405,123496.999954306,,,,,,,,123496.999954306,,,,,208
"Remotely Operated","009069717",14259,119941.150086708,,,,,119941.150086708,,,,,,,,209
"Remotely Operated","044612087",95870,117580.618453921,,,,,,,,,0,117580.618453921,,,210
"Remotely Operated","TECH SYM",673028,112167.678413778,,112167.678413778,,,,,,,,,,,211
"Remotely Operated","961810629",637393,111298.982985144,,,,,,,,,,,111298.982985144,,212
"Remotely Operated","120211342",226945,108707.313005866,,,,,,108707.313005866,,,,,,,213
"Remotely Operated","119807761",223983,108518.968463938,,,,108518.968463938,,,,,,,,,214
"Remotely Operated","004518382",132192,108066.676611845,,,,,,,,,,,108066.676611845,,215
"Remotely Operated","791029551",505073,107310.499960295,,,,,,,,107310.499960295,,,,,216
"Remotely Operated","091468182",1177564,107085.915319605,,,,,,,,,,,51308.915319605,55777,217
"Remotely Operated","080363561",1169512,103966.102823892,,,,,,,,,,103966.102823892,0,,218
"Remotely Operated","079639341",1167380,103666.597340223,,,,,,,,,,103666.597340223,0,0,219
"Remotely Operated","166889407",285500,101559.145098851,,,,,,101559.145098851,,,,,,,220
"Remotely Operated","079844679",164482,99691.7065801141,,,,,,,,99691.7065801141,,,,,221
"Remotely Operated","926705633",617368,98879.8949634144,,,,,,,,98879.8949634144,,,,,222
"Remotely Operated","Cort Business Services",685292,97299.2099529931,,,,,,106498.683426218,-9199.47347322472,,,,,,223
"Remotely Operated","140987723",304833,88427.0891971222,,,9231.64600161554,,,,79195.4431955066,,,,,,224
"Remotely Operated","070848361",209043,88359.1006308406,,,,,,88359.1006308406,,,,,,,225
"Remotely Operated","040370249",20193,77923.361470767,,,,,,,,,,77923.361470767,,,226
"Remotely Operated","131577553",272086,76327.0320193205,,,,,,,33490.417300941,,,42836.6147183795,,,227
"Remotely Operated","969262505",668615,75590.9935144695,,,,,,,,,,75590.9935144695,,,228
"Remotely Operated","482023926",443338,74417.3400321572,,,,,,,74417.3400321572,,,,,,229
"Remotely Operated","080009452",1194263,72986.7812,,,,,,,,,,,,72986.7812,230
"Remotely Operated","154664205",308006,72200,,,,,,,,,,,,72200,231
"Remotely Operated","FEDERAL RESOURCES SUPPLY COMPANY",1216933,71542.6788439215,,,,,,,,,,71542.6788439215,,,232
"Remotely Operated","087403499",152528,71330.623982666,,,,,,,7708.08328646809,8753.62660576116,,,17424.9140904368,37444,233
"Remotely Operated","FATIGUE TECHNOLOGY",687038,71204.1042306382,,,,,,71204.1042306382,,,,,,,234
"Remotely Operated","141693064",316680,68261.3315326198,,,,,,,,,,68261.3315326198,,,235
"Remotely Operated","249227984",353496,66704.6149334649,,,,,66704.6149334649,,,,,,,,236
