"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",2475352470.2717,2347148476.4505,2948162467.7405,3492815845.6133,3696575083.2892,3626517816.7563,3689260507.9695,4284371996.6003,3998571813.1771,4356913864.2971,4428694079.7621,4691595205.3865,4523852297.3059,4350700103.595,5852600765.4664,6186142257.9641,6926545846.6656,4820721562.0322,3499755949.6835,3687672059.5005,3977555842.0731,3446099017.1823,4610789118.095,5176507594.6066,4792252429.8833,1108848128.68
"Large",18619090882.6772,21068324954.1914,22735305156.2397,32021673481.5201,24939047838.6701,26912603644.1794,30486538029.7536,28564659240.0443,29733810185.5494,39333022559.9637,34664514735.3759,30059214051.9175,30210052637.662,27713198783.206,26120634407.268,25365925260.158,26357396923.9525,28820160333.0048,34717517184.859,38136933888.9108,40376353237.2276,39714883768.889,42194885668.1023,47448631469.9646,46586229131.21,19296324807.02
"Medium",19772277402.7989,20999357163.2821,25467290581.0264,27250435920.2428,27005430724.3568,29676847010.8803,33349171072.7816,33646990027.0073,37659001029.5161,43202321830.5596,41394048152.1271,36046455422.7213,29185666734.5952,24639835738.3987,27548664948.9939,24639622539.9166,25517363473.919,28976764447.5772,30466556997.8779,33695045744.5906,40080607935.3106,33675669865.4212,41482961102.8804,42056223137.1874,42046082928.0833,14096285248.91
"Small",12592972263.2759,13702212039.7241,17989157331.7883,20435133791.0486,19225257691.4015,24039400637.1483,25214473715.9105,27112773056.2628,30089580961.1106,33605923701.2759,35842948066.5586,30557096944.7886,28913165616.083,24780079261.0068,28089287404.2254,26002438449.4048,27844340849.9948,28432530169.0341,33420400564.936,33577033803.7075,35205549471.4538,36459470551.0289,41126357085.1652,47218649516.7296,46748190902.3316,13692230692.37
"To Be Labeled",488252460.5616,534981611.9455,528480953.3973,810718675.3707,912008171.3873,951821970.8481,1200874508.2484,1216194384.0482,2031213500.0588,1782204273.4548,3013920883.7228,3489602859.5846,2926758865.2087,2264793482.9711,1773067798.0802,2214876180.123,2032139336.0504,2337721298.2327,2752080254.6241,2684802986.5306,3351747917.9243,3520497941.7325,3266240031.8456,5327335209.9214,6509925266.76,6145273379.64
"Unlabeled",6880044.8017,77035503.69,207036705.4107,130166903.3673,473144295.4656,1547147497.694,1654397104.3862,1586405700.4857,2217317465.1311,3720386501.2565,3337890639.5235,1739433067.1896,2495747381.1679,1460865499.4727,1363508081.4215,1074442512.8025,1206784512.3423,893443865.134,548690543.0411,915820707.7339,327404121.2443,510944809.3496,377345915.2114,586196871.0509,388200252.37,77863788.33
