"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",1073.64,2668996.32,2203105,272599402.93,350545284.8145,349665784.1219,460470584.8599,466876720.6466,680778335.4891,674154524.4679,764742279.289,730510434.226,541938734.5603,520981666.6676,496879604.1594,538665255.5322,486743262.69,605690081.184,643417564.9709,696852734.7492,684271095.855,952938455.4164,622522336.2126,683807767.3461,663212169.2,228529335.46
"Electronics, Comms, & Sensors",56811000,71542574.3125,436665488.1992,1606394966.0708,3596276003.2223,3065902291.5729,3676911080.8097,4340238940.4835,4383600034.4298,4348294421.4079,4469755877.047,3938507694.7515,4043177694.788,3709115923.1227,4185749597.4257,4540271818.3873,4748328573.2156,4921183058.2427,5366032886.4773,5489434703.5694,5565356484.249,5868114670.4648,6211314154.1131,6869134254.9299,7349196045.99,1887843686.14
"Facilities and Construction",62231000,101981474.94,120983985.54,701763291.5462,988159207.5696,3985621172.6721,5987767642.0518,2996774676.7695,3007465489.8897,3358761434.9065,2877249855.6619,3401754790.1327,3136234714.1535,3095241815.8085,3162864621.0767,3710999686.9659,3430999509.7694,3990582902.1967,4894021852.1313,4635340818.2562,4958289964.4446,5319772845.9525,6731452041.7711,8549073051.0862,7247457010.69,3120732135.97
"Land Vehicles",6130000,0,1681000,38602919.1206,311061265.8964,1548586059.2577,581586034.0939,195740980.8968,108429778.4666,78191470.4718,42887284.3207,93294181.9912,93821583.0083,61317187.6096,132365999.033,108529547.0322,160676811.02,131548657.4016,247770642.4309,172720568.9059,138372326.3169,169494233.0708,204598868.8174,168932088.8735,136459179.46,32431983.25
"Ordnance and Missiles",,,,21802358,19249701.6879,35039053.0994,46577689.8835,65133428.6448,100928606.0881,67860042.7094,47272548.1683,39267493.5442,35096231.78,40639777.3435,49728001.2404,53126907.6012,98041863.7402,66306054.7913,64159015.653,71312512.9781,88362502.4765,84344412.0251,87422808.6235,87783128.6989,92057924.16,14793443.91
"Other Products",3951000,521190.7,899000,36580670.3903,107845774.3991,200254486.7969,214616423.6576,199003185.6806,351396593.3239,287621556.7132,246524619.4129,216332083.1902,210364325.3926,197510619.5691,205096891.9862,216156651.1248,215350259.9,756968446.6654,454348535.1058,213041390.2846,1616260740.274,381108893.6235,312503743.4869,327553858.6191,332111673.72,250984350.98
"Other R&D and Knowledge Based",108458000,142025751.15,141065049.1155,1047220451.9669,2153385082.0456,3016501750.0407,4502825837.4579,3473516417.7322,4356791483.2237,4466097437.1618,3818185533.3665,3688317671.3491,2938667974.7969,2872563087.9567,2824989211.9865,2893824668.0617,2937855362.29,3311509830.4514,3927301066.7765,3870303419.4934,4319710144.8614,4646594167.8989,4660501187.379,5383035471.2837,5388948329.99,1763091012.55
"Other Services",1055000,988750,2015568.02,78125602.6394,134354919.2678,188937354.3944,731229908.3117,394500684.1885,638876735.8414,614866434.8333,602044182.8052,621421287.2828,675639241.6429,678646702.6876,563262972.4708,480190390.1361,547270460.885,1223289785.1658,1355828747.1977,956254497.9013,1134098829.0752,1312271192.2567,1571151314.7716,1235633375.0073,1497627648.94,911521073.48
"Ships & Submarines",2725.5,144260.39,113648277,142810411.0008,197207550.8626,313666213.402,185716902.8646,258107527.8384,339042597.1622,366594679.5524,703437587.4739,1527079340.7277,743692407.5297,1115220072.4136,1197768352.0609,896941560.4525,929919475.92,1291599537.6382,1269036919.1924,1540889819.6273,1153021871.9182,1072287628.0786,781073695.8602,770265311.064,917908169.14,343430414.29
"Space Systems",,,,,0,2651115.03,26061351.62,21466589.5734,10735580.5118,10045200.545,-488991.79,1518081.6602,-172517.4899,0,1214362.93,3165482.56,3603259.96,3590870.8498,1834033.6,-792669.44,1266065.71,-143051.92,-81514.08,,-18471.79,
"Unlabeled",1039398.4494,5089676.5699,197578217.66,166625779.469,10462496.0448,111318713.5959,81826417.9301,57460158.51,54066201.405,27936212.61,15669820.6349,1184460.9739,-140737.3527,-56068.87,-5050.97,-2472.44,-8609334.23,-269339.8699,0,-22889.17,0,0,80034,228547.46,-50,0
