fiscal_year,total_obligations
2008,402485387739.41
2009,378524347284.08
2010,374255800366.63
2011,381237436592.59
2012,370083317956.68
2013,314626556523.47
2014,290767595243.13
2015,280198229034.94
2016,304719202910.17
2017,328419811470.01
2018,365354287584.15
2019,391407290629.73
2020,431587221822.87
2021,394067886300.02
2022,15568887367.26
