"PlatformPortfolio","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aircraft",17166093,261123279,494384386,459364418,1033323768,1524385811,1236499359,1847722334.2188,2452341837.1373,2950119330.4519,3170185286.9155,3405202311.2138,3395066314.7941,6306742167.0031,6831352710.1331,6048208774.6288,6238739128.7233,5549742276.7813,5240941882.1364,4740955727.0288,4553576006.2277,5708816170.7507,5458485096.4144,3833154889.8816,4015734344.5369,3489543196.17
"Electronics, Comms, & Sensors",,3884335,9629741,134413201,34531914,16399741,59119623,159624742.5313,431130261.5338,368090961.6903,782951372.9383,1007598391.4929,814436485.8476,1080262858.8917,691358855.6129,642067450.6277,761277232.339,311722321.721,157268526.998,268562022.7316,114915925.4143,122114257.0272,6102672.0942,69470199.7888,123338542.1923,42916928.13
"Facilities and Construction",,,,,2352000,-558742,,2646393,44082368,34878551.633,154963706.9416,171095656.9609,125611621.6723,121019864.0627,111822787.1688,120680642.395,35762274.2,18037734.7109,10575318.5615,1099706.7169,541187.5525,6280719.4942,6269185.6056,2347206.5553,60229135.2294,73219610.1
"Land Vehicles",,,,,,,,15876584,19890712,76550988,75862983,165775869.8714,47949995.4044,72464569.5,71903616.67,112924119.4572,243238894.0252,143110058.2249,55793522.0738,57860445.0318,54074014.6447,291105236.2057,332847504.7032,351037157.6526,238631324.9683,-9235109.26
"Missile Defense",,,,,,,25389496,36717076,51426846.84,90419876.55,108760501.19,93182512.0828,56736418.8775,333357021.3401,57959440.51,50847644.86,38936002.6618,50701248.6411,59201684.9749,52509312.14,11785719.9349,10820761.5,8511094.67,13274217.3,13058420.0975,-1570057.69
"Ordnance and Missiles",,,5292234,6687010,3275466,25672,,,34009718.5327,85218804.6113,94613586.697,86091748.1723,80773189.3228,71708671.3535,78763968.19,108214566.32,80344506.2102,53280447.3558,61765146.2091,60353829.5908,109034051.6984,110104572.7997,106620607.2023,179101180.2335,111192609.9868,83990986.62
"Other Products",,,,,,,,,15200,483844.7852,476477.3887,7881.6602,4182368.7109,7535814.1303,8261231.8339,8629917.0256,3543358.4001,576332.88,45866.5117,84461,,,,704.34,6755.36,-500.22
"Other R&D and Knowledge Based",,,7542155,,28334825,558742,23610833,54034026,27729761.8995,36783772.5176,39527634.6827,47562673.5284,66474054.5302,125200628.7271,135228720.833,97671689.3419,143102401.3044,334136798.7953,34642584.03,9518039.1719,289931555.8568,50451282.5002,17957983.1859,15822154.0161,35348990.7436,68469724.42
"Other Services",,,,,,0,,,5737,72189774,108157463.82,265539501.5196,170074743.2442,128422628.75,309571577.5,212896456.86,101273628.1,305110025.454,84820075.0156,97408459.9369,-284267.6726,-5376173.781,2148553.7521,-4344765.9707,-1128901.8594,0
"Ships & Submarines",,,0,,,7617500,36085703,63525122.2466,45129513.7277,41657426.0282,19637190.6967,53676820.2533,62820418.7573,59629598.549,61207186.98,28928278.09,42617123.39,46249411.0302,27518869.6183,48848634.0785,32964349.0859,111048838.1603,89053849.1274,100771752.6846,-39867731.2501,1902489.33
"Space Systems",,,,,,17978756,1435601,2952224,33318258.8805,27007361.29,38895674.59,157243955.9365,143354713.3998,194327687.4473,313363479.4101,298113830.01,318535011.38,304843638.6239,188089958.3489,268142136.3195,337345578.16,365045684.76,197368697.37,72161567.94,96091929.07,29331200.39
