"CurrentDurationCategory","Vehicle.sum7","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<=2 Months","BOA or BPA",,,,,,,,,,,,,354104,20483817.0605,49080122.34,1186153.3775,478675.9399,630800,11836,29446,-728863.5625,,,,,
"<=2 Months","FSS or GWAC",,,,,,,,,,,,,,,,,3545.14,,,,,,,4786.2899,25276.1298,
"<=2 Months","Multi-Awd.",,,,,,,4044703,6624882,16665293.4586,54515307.4939,44500472.3299,39630495.8018,42574324.1595,40002911.5644,13464923.46,38524.1,,0,,,,,,,,
"<=2 Months","Pur. Order",,,,,,,,36809,5737,47640,27663.54,6781.2598,2500,,,,0,71309,101257.3515,84461,230398.95,70814.75,15332,,,
"<=2 Months","Single-Awd.",,7137500,3159094,1863626,1006545,38985042,46709965,30289351.7366,59569328.4903,263347474.4927,180750591.8484,212949803.6132,126806301.1658,10980653.0217,224221575.79,152510793.66,306788692.2553,110300980.945,77256643.1499,91173849.587,-211119.7812,152865413.3775,83003116.2695,210657601.2627,68512686.9492,-1949182
">1-2 Years","BOA or BPA",,,,,,,,,,,,4936103,39408469,512243226,428199875.2025,667025980.6263,562796675.0932,673263215.2486,-10312185.6688,-27684169.3185,-100465.9293,-18154635.5773,-4789718.7697,-344535.1707,-2055.29,
">1-2 Years","Definitive",,,,,18268250,82759924,52906130,167103929,193662806.84,172944560.58,69817672.72,240647538.2109,320006432.9375,88110699.7032,343874055.98,39775274.7,12789069.81,87532133.58,110505117.4137,365413615.48,176338379.98,112288142.4,0,,,
">1-2 Years","FSS or GWAC",,,,,,,,,,,99950,0,191542.5937,,,,,,101551.1875,,,,,,,
">1-2 Years","Multi-Awd.",,,,,,,2329333,15482718.9063,112914397.0687,162611458.5123,120683864.1356,203377288.9803,131875070.6766,68039833.2699,118749665.2609,65706291.7821,18127894.82,78111775.5935,28924127.1082,21443918.4317,-1696882.5816,446121.9551,,-38490.5586,,7667675.92
">1-2 Years","Pur. Order",,,,,,,,,,,-4500,,,,,,,,,,,,,,,
">1-2 Years","Single-Awd.",,4102368,171182604,243977891,360498256,218587639,209055098,609576098.4475,261425790.2041,549135896.8067,394998508.8325,898767927.6866,377761470.5356,755197994.1219,1934594446.9801,1029089291.4194,676859338.2303,475201908.2797,1186564148.6931,806733939.4722,580418690.9202,697140709.0478,495148542.0777,402841204.7795,495092824.8025,358896341.5
">2-4 Years","BOA or BPA",,,,,,,,,,,,9707084,40043110,388391300,568221127,470176296.0313,604471420.1116,323240817.9409,82417237.1448,15227606.0522,-12076091.0503,33592300.9151,-7858476.6059,-1336490.9248,-234960.4913,-248155.64
">2-4 Years","Definitive",,,,,354361939,471276207,120241785,198216169,642906786.72,575725394.99,354363287.73,238969985.4136,304914981.5947,728702170.8458,865027415.4294,720116549.72,470209096.26,155414978.675,323317108.1743,612229413.41,404380769.92,561768020.01,1072795091.91,913435473.31,174422057.37,-80371.48
">2-4 Years","Multi-Awd.",,,,,,,13646489,31959157,185138298.3414,67012776.9151,195721949.7258,150800634.1991,202385231.2737,108316533.8365,57599784.1352,32933155.3204,13058962.6291,2476789.9813,71601111.2813,76963400.9185,27273963.3503,20812004.0774,3274871.9973,464694.5,,
">2-4 Years","Pur. Order",,,,,,,,,,,-1250,,,,,,,,,,,,,,,
">2-4 Years","Single-Awd.",,14908138,116973792,113255984,85035224,363035084,337929666,143069657,227898660.7099,259142652.3247,536930073.6366,392941196.9099,486572719.2076,781381146.4732,545542409.4525,1171121926.5223,1296750695.3513,1007635677.9763,402381553.4192,246632041.0001,428199272.3364,535465962.1621,655085178.728,92685054.5507,-134233993.3379,46772800.39
">2-7 Months","BOA or BPA",,,,,,,,,,,,421783,463986,52899229,19038178.0801,16532065,36978577.23,28888846,,-16706.3105,,-198229.5498,4154.48,,,
">2-7 Months","Definitive",,,,,,20210525,63938710,1784000,,,592627,-7032935,1555437,45697428,319200,9641609.1719,,,,809375.78,,,,,,
">2-7 Months","FSS or GWAC",,,,,,,,,,,,79950,,,,,,,,,,,,,1423.44,
">2-7 Months","Multi-Awd.",,,,,,,31899847,82229967,62512621.4422,48819080.3674,105650132.9911,60695787.9025,44129942.4062,36966626.3879,62249855.0706,30096449.7195,6165661.66,10681195.25,10459371.2695,19802.0898,,-519.54,,,,
">2-7 Months","Pur. Order",,,,,,,,,,126412.44,0,26340.7095,,-214,,,,,,,7000,412361,,145260,,
">2-7 Months","Single-Awd.",,63825804,41064261,37286539,72950310,144451185,169384664,219988783,341680589.95,448722435.0393,549829212.1999,749110360.2093,447656305.71,587181729.9048,305004789.33,476304393.1975,1195883433.7298,1080407806.7474,956985032.2667,1121875397.4504,615759449.0201,520781702.3868,416702875.9421,250229486.003,365383780.9968,132542582.78
">4 years","BOA or BPA",,,,,,,,,,,,160702,35063105,24135539,1040791,38284436,124811145,61508337.4844,24472452,2225046.9687,-18765868.3399,132813.6309,903043.164,-2601366.0889,-406952.7364,0
">4 years","Definitive",,,,,,24175774,11397423,82761506,241469259.72,404883407.43,785019930.61,984640787.1247,1082651615.1523,997620202.4332,906055771.1,1029267270.78,1480122259.1893,1219823827.8335,577212673.7903,428416979.4,692440598.95,1267655739.25,380555564.37,536333322.1,1394646725.91,1486215455.2
">4 years","Multi-Awd.",,,,,,,,,0,5783.6802,-1979362.6406,5645048.809,70737594.1875,53885834.0171,42618883.6105,37670887.415,9004836.2094,10738813.3858,-1304190.1548,-1006550.8536,-6725977.4101,2280426.6122,14951071.4883,2248690.8344,2660984.9368,2829701.19
">4 years","Single-Awd.",1127793,14247391,,37621272,26636835,41979534,178288584,245688293,161210312.5703,189160342.1465,206361890.8429,26996902.5218,55703689.8671,219069215.6376,252464985.6713,275647177.3626,51042190.576,301859374.1361,886325206.351,388580893.1202,-39435533.0566,-75068214.819,142261857.4587,-88263362.3176,27957691.7994,890080.599999998
">7-12 Months","BOA or BPA",,,,,,,,,,,,824845,14184087.7188,47687905.48,369887706.4775,93683681.71,101675357.726,17219033.6875,1773652.6027,-45686.6709,2380732.0688,-6630266.8125,-217340.88,-218007.4688,,
">7-12 Months","Definitive",,,7542155,,72765555,35625709,,,0,108166314.91,90047085.29,211658432.25,124963955.2188,442225470,39207084.6301,132341561.09,100301110.9,40303096.8525,447226522.9004,127638.14,148105476.25,0,,,,
">7-12 Months","FSS or GWAC",,,,,,,969700,-9823,,7751000,0,-465559.7188,-195015.5156,,,,,,,,,,,,,
">7-12 Months","Multi-Awd.",,,,,,27133796,29308932,87239259.5,29501249.5175,30042710.4849,133275441.9912,182964997.0548,86617098.3953,133444718.1882,114871509.7439,25139437.775,24686852.3444,10935499.1991,19935595.0827,1103776,4e+05,41376.2418,-4449.9199,,6975021,125000
">7-12 Months","Pur. Order",,,,,,,,,,99999,22022.5,,,8088,,,,,,,,354400,,,,
">7-12 Months","Single-Awd.",,159430519,176926610,147749765,110295059,98187061,109867970,260271924.4063,602519083.5185,441140043.9438,827324613.5772,844515041.7541,931052266.276,2357999451.8089,1404371909.4872,1214894163.1354,914364070.5284,1421264076.4218,724707613.115,1454863535.6931,2507690190.8683,2964354907.8989,2973534530.415,2316552943.321,2251754085.5691,1744906539.53
,"BOA or BPA",,,,,,,,,,,,0,0,0,0,0,0,0,,0,,0,0,,0,
,"FSS or GWAC",,,,,,,,,,,0,,,,,,,,,,,,,,,
,"Multi-Awd.",,,,,,0,221616,785820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
,"Single-Awd.",0,1355894,0,18709552,0,0,0,0,0,0,0,0,0,0,5087509.61,0,0,0,0,141750.9063,0,0,0,0,80822.0273,0
,,16038300,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
