"UnmodifiedUltimateDurationCategory","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<=2 Months",,,3159094,2480610,918769,9999677,274883,1972265.7366,61187092.8161,176715321.0043,105854694.4627,247187125.9087,171247233.1626,285651936.3887,376394681.5914,177268286.37,390729273.1348,113415769.1123,56734837.312,83336636.3152,-1958535.8212,275110078.0174,73330082.8495,193145430.5526,248761.1063,-1949182
">1-2 Years",,2171974,16947755,123586147,223756655,175671967,212250040,438889304.5938,626294532.4465,1116354102.6385,981016982.2635,1260429774.846,1011911862.1746,1696642734.2641,1761454168.7745,1362844806.0492,1959052793.5598,1622701554.6389,1135816133.8027,522738921.3392,532387892.3671,395930644.8497,404050554.5689,448083489.6743,591705519.9717,848892485.85
">2-4 Years",,10931317,97966558,54190694,1271901,4371086,15938764,52475173,397745416.5129,515668156.5671,566196169.0828,684168109.9987,778725310.3625,2465032544.7881,2290270236.3376,2126476711.1052,1786719249.058,1455616181.0629,862173235.9114,653031564.8452,785610806.1459,951831454.9341,1454417984.4312,940687310.7413,835133315.3114,1170404841.65
">2-7 Months",,,97081713,120403082,26592653,10128538,41457729,133550021,321527287.6486,437689772.095,1034423721.1748,1021938360.7813,549417228.2117,727601446.1668,475792707.9506,512348580.1472,1062212251.9202,1169878294.7717,915910958.6502,553188766.7226,623572483.2357,645176241.8537,434825673.3975,269303977.8691,454347490.3119,140826022.55
">4 years",1127793,27855907,1236000,,88078,216789118,161058048,261422358,715395227.2337,831117886.5432,882427842.4851,801990606.0648,871159027.5841,1580535781.5836,1596242851.2297,1377780943.8498,1411789707.7564,1440615817.1195,1407901787.7276,736578950.948,168211131.933,367577693.1309,403001417.4029,188673174.7821,384062837.7399,166159245.27
">7-12 Months",,147179069,248375683,237932687,354207948,338096900,190090607,75939361.9063,574257735.3675,550056527.8413,947245099.3971,1450088485.7817,1599215329.6484,1754888948.7999,2173305245.068,2173552584.0848,1357746744.1248,1308292072.3057,1545525995.8041,3032296480.3265,3396060343.0421,4134785236.6312,3455739531.4751,2592902880.8024,2387137494.6341,1454235054.67
,16038300,76869347,52081713,61871409,494981969,811350194,761070544,1218850017.76,442672923.5262,155798924.8681,76867369.9945,-12825140.6891,-14195666.5828,-9681882.2364,-2666316.11,-1088541.99,39119541.18,6990605.2074,-3399514.7298,24171453.25,0,0,0,0,0,0
