"PricingInflation","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All Other",,12791791,8553054,7797055,15794310,33313722,55903261,95272634.52,442774200.4391,451154710.5496,665068159.7857,402388783.1215,301668839.8863,199487191.2491,50962117.398,10000962.01,16249393.6995,90150537.4621,53326124.2531,69667700.7643,-2678845.0716,760987.7011,-2039235.8421,-4255719.3007,-1038512.0781,0
"Cost-Based",,87282421,176715190,281757687,463914705,462594482,609696739,584993233,523758220.9604,731620718.3224,912362359.0351,946262812.8392,1055745788.4762,2158068126.6579,1840587115.1903,1496368528.8598,1665189917.1017,1390610813.0353,1253699486.9327,1695915544.4844,2078715079.766,2049214744.1497,2140946460.5735,766114497.3822,499641836.533,305320603.11
"FFP",17166093,138749422,309351294,305943319,263978096,525826665,633704135,1335521921.4767,2133576693.152,2515678070.8606,2784150079.1353,3605306537.0314,3530861996.1987,6019625754.0158,6543337673.1534,5866483842.3392,5865461199.4721,5316894908.2389,3890223776.8928,2557475516.9662,2260000443.3293,3174870522.6051,2690476245.1706,2740529870.5377,2914235264.4898,2315910522.37
"FP-Econ. Price Adj.",,,,,,,0,27820699,0,34936373.28,-4012831.54,31582493,63066933.2656,76597870.4727,131925162.81,93208645.54,113473256.87,88550250.5469,125147860.002,42293240.5631,5661632.2,-12027384.77,-9877514.38,,110515020.46,
"FP-Incentive",,26183980,22228978,4966568,358130862,544672611,82836480,139490014,38971101,42800000,239339025,467436696.7,16136766.7343,46892567.3593,103981506.2901,263121390.8672,346995793.5907,231303784.9352,598266186.3976,1239990770.9687,1162185810.6789,1557592479.7311,1405859288.6031,1130407615.8026,1129281809.6706,1157337342.51
,,,,,,,,0,0,7210818.5449,-2874912.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
