"PricingUCA.sum","PricingUCA","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,1100000,96482170,153439678,284736280,293212419,379000657,379408524,278313824.9604,320211870.2755,415229576.2167,403951794.0447,566221770.5338,976655952.3287,717358350.9077,747300954.0398,1012704488.0017,451536672.5322,352001433.3381,450991068.701,689911875.7586,370581519.8149,126807672.7249,117637982.1243,144946655.0215,120506161.31
"Cost or Effort-Based","T&M/LH/FPLOE",,12791791,5018663,1170252,12518844,25696222,23698262,83444738,69058203.8062,139800952.0045,312048647.5705,380728647.6418,301625476.7055,196393785.7245,50517080.818,10440217.29,5701218.6995,90153537.4621,53326124.2531,72977704.7643,-2678845.0716,760987.7011,-2039235.8421,-4255719.3007,-1038512.0781,0
"Crosscutting","Combination or Other",,,,,,,,0,274461164.9688,90339626.4913,150231354.2152,1697431.7422,164685.0401,-69611.6317,-3994,-432562.28,,,,,,,,,,
"Crosscutting","UCA",,,,,353933157,432322781,42014424,45808626,76226471.5,142229114,277473381.77,335060214.6484,405202362.2031,380648315.9424,371329338.0726,65317173.0875,1159939415.75,974567095.2375,1461947733.8056,1667800049.8191,472971721.3776,746426063.5626,813843813.9025,1014250931.8281,786274272,1525127997.66
"Crosscutting",,,,,,,,,0,0,7210818.5449,-2874912.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fixed-Price","FFP",17166093,138749422,309351294,305943319,263978096,525826665,633704135,1335521921.4767,2136153633.652,2429882795.8606,2512336887.3653,3560620567.133,3126232680.6831,5885845165.0734,6264814080.9634,5911303501.2117,4925080186.7121,4435671473.5514,2807623322.2435,1950538756.4368,1862086540.1301,2783834991.5425,2499686442.0884,2411445947.7096,2778277527.4898,1912235207.09
"Fixed-Price","FP-Econ. Price Adj.",,,,,,,0,27820699,0,34936373.28,-4012831.54,31582493,63066933.2656,74847870.4727,130597430.81,83520659.64,113473256.87,88550250.5469,125147860.002,10316139.2831,5680005.17,-12027384.77,-9877514.38,,110515020.46,
"Fixed-Price","Other FP",,,3534391,6626803,3275466,7617500,32204999,11827896.52,66419625.6641,221014132.0538,202788158,19962703.7375,-121321.8593,-42579.8437,449030.58,-6693,10548175,-3000,0,-3310004,,,,,,
"Incentive","CB-Incentive",,86182421,80233020,128318009,179178425,169382063,230696082,205584709,237334326,354975009.0469,491472592.8184,504020329.7945,488565448.9424,939500044.3292,1031750750.4,654943244.76,432927026.11,845730479.9531,642926670.4383,555872925.7737,1326477012.859,1675850280.8348,2016083207.0283,648476515.2579,354085824.5115,183819559.42
"Incentive","FP-Incentive",,26183980,22228978,4966568,4197705,112349830,40822056,93681388,1112965,42800000,239339025,215353140.95,16522289.0468,46892567.3593,103981506.2901,256796874.8672,346995793.5907,231303784.9352,477690290.3976,900156132.9687,1149435810.6789,1204984890.7311,780860858.6031,445240606.8026,479574631.6706,36879542.51
