GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,EMP
0100000US,,United States,,72,Accommodation and food services,,99,Total,2012,662489,708138598,196103341,12007689
0100000US,,United States,,72,Accommodation and food services,,99,Total,2007,634361,613795732,170826847,11600751
0100000US,,United States,,721,Accommodation,,99,Total,2012,63833,195858388,50120659,1950081
0100000US,,United States,,721,Accommodation,,99,Total,2007,62740,180391205,46393287,1970661
0100000US,,United States,,7211,Traveler accommodation,,99,Total,2012,54289,189672313,48683242,1897599
0100000US,,United States,,7211,Traveler accommodation,,99,Total,2007,53103,175183663,45138911,1919638
0100000US,,United States,,72111,Hotels (except casino hotels) and motels,,99,Total,2012,49543,134515151,34870559,1459494
0100000US,,United States,,72111,Hotels (except casino hotels) and motels,,99,Total,2007,48108,122033327,31592733,1462464
0100000US,,United States,,721110,Hotels (except casino hotels) and motels,,99,Total,2012,49543,134515151,34870559,1459494
0100000US,,United States,,721110,Hotels (except casino hotels) and motels,,99,Total,2007,48108,122033327,31592733,1462464
0100000US,,United States,,72112,Casino hotels,,99,Total,2012,358,53410351,13378596,414420
0100000US,,United States,,72112,Casino hotels,,99,Total,2007,307,51558576,13162057,433606
0100000US,,United States,,721120,Casino hotels,,99,Total,2012,358,53410351,13378596,414420
0100000US,,United States,,721120,Casino hotels,,99,Total,2007,307,51558576,13162057,433606
0100000US,,United States,,72119,Other traveler accommodation,,99,Total,2012,4388,1746811,434087,23685
0100000US,,United States,,72119,Other traveler accommodation,,99,Total,2007,4688,1591760,384121,23568
0100000US,,United States,,721191,Bed-and-breakfast inns,,99,Total,2012,3004,1044042,264022,15740
0100000US,,United States,,721191,Bed-and-breakfast inns,,99,Total,2007,3380,1044070,256755,17357
0100000US,,United States,,721199,All other traveler accommodation,,99,Total,2012,1384,702769,170065,7945
0100000US,,United States,,721199,All other traveler accommodation,,99,Total,2007,1308,547690,127366,6211
0100000US,,United States,,7212,RV (recreational vehicle) parks and recreational camps,,99,Total,2012,7414,4838704,1219751,40561
0100000US,,United States,,7212,RV (recreational vehicle) parks and recreational camps,,99,Total,2007,7420,4396300,1090655,39939
0100000US,,United States,,72121,RV (recreational vehicle) parks and recreational camps,,99,Total,2012,7414,4838704,1219751,40561
0100000US,,United States,,72121,RV (recreational vehicle) parks and recreational camps,,99,Total,2007,7420,4396300,1090655,39939
0100000US,,United States,,721211,RV (recreational vehicle) parks and campgrounds,,99,Total,2012,4422,2367002,495195,19747
0100000US,,United States,,721211,RV (recreational vehicle) parks and campgrounds,,99,Total,2007,4355,2201039,458946,20079
0100000US,,United States,,721214,Recreational and vacation camps (except campgrounds),,99,Total,2012,2992,2471702,724556,20814
0100000US,,United States,,721214,Recreational and vacation camps (except campgrounds),,99,Total,2007,3065,2195261,631709,19860
0100000US,,United States,,7213,Rooming and boarding houses,,99,Total,2012,2130,1347371,217666,11921
0100000US,,United States,,7213,Rooming and boarding houses,,99,Total,2007,2217,811242,163721,11084
0100000US,,United States,,72131,Rooming and boarding houses,,99,Total,2012,2130,1347371,217666,11921
0100000US,,United States,,72131,Rooming and boarding houses,,99,Total,2007,2217,811242,163721,11084
0100000US,,United States,,721310,Rooming and boarding houses,,99,Total,2012,2130,1347371,217666,11921
0100000US,,United States,,721310,Rooming and boarding houses,,99,Total,2007,2217,811242,163721,11084
0100000US,,United States,,722,Food services and drinking places,,99,Total,2012,598656,512280210,145982682,10057608
0100000US,,United States,,722,Food services and drinking places,,99,Total,2007,571621,433404527,124433560,9630090
0100000US,,United States,,7221,Full-service restaurants,,99,Total,2012,231927,224320799,74086843,4772294
0100000US,,United States,,7221,Full-service restaurants,,99,Total,2007,220089,192258833,63259045,4603747
0100000US,,United States,,72211,Full-service restaurants,,99,Total,2012,231927,224320799,74086843,4772294
0100000US,,United States,,72211,Full-service restaurants,,99,Total,2007,220089,192258833,63259045,4603747
0100000US,,United States,,722110,Full-service restaurants,,99,Total,2012,231927,224320799,74086843,4772294
0100000US,,United States,,722110,Full-service restaurants,,99,Total,2007,220089,192258833,63259045,4603747
0100000US,,United States,,7222,Limited-service eating places,,99,Total,2012,285981,223021294,54462797,4268977
0100000US,,United States,,7222,Limited-service eating places,,99,Total,2007,269155,182948752,46100068,4082091
0100000US,,United States,,72221,Limited-service eating places,,99,Total,2012,285981,223021294,54462797,4268977
0100000US,,United States,,72221,Limited-service eating places,,99,Total,2007,269155,182948752,46100068,4082091
0100000US,,United States,,722211,Limited-service restaurants,,99,Total,2012,224766,185366032,45377104,3588611
0100000US,,United States,,722211,Limited-service restaurants,,99,Total,2007,211313,151352488,37970430,3384517
0100000US,,United States,,722212,"Cafeterias, grill buffets, and buffets",,99,Total,2012,6373,6720567,1685878,127496
0100000US,,United States,,722212,"Cafeterias, grill buffets, and buffets",,99,Total,2007,7351,7342130,1976083,165520
0100000US,,United States,,722213,Snack and nonalcoholic beverage bars,,99,Total,2012,54842,30934695,7399815,552870
0100000US,,United States,,722213,Snack and nonalcoholic beverage bars,,99,Total,2007,50491,24254134,6153555,532054
0100000US,,United States,,7222131,Ice cream and soft serve shops,,99,Total,2012,11066,3717047,875736,93006
0100000US,,United States,,7222131,Ice cream and soft serve shops,,99,Total,2007,11571,3177838,781094,90436
0100000US,,United States,,7222132,Frozen yogurt shops,,99,Total,2012,3615,998686,228778,22459
0100000US,,United States,,7222132,Frozen yogurt shops,,99,Total,2007,820,194910,46855,5379
0100000US,,United States,,7222133,Doughnut shops,,99,Total,2012,8736,4865055,1153964,83972
0100000US,,United States,,7222133,Doughnut shops,,99,Total,2007,7168,4184774,1052334,80163
0100000US,,United States,,7222134,Bagel shops,,99,Total,2012,2349,1407746,342111,22900
0100000US,,United States,,7222134,Bagel shops,,99,Total,2007,3072,1357414,344315,25323
0100000US,,United States,,7222135,Coffee shops,,99,Total,2012,19454,13229728,3118828,209393
0100000US,,United States,,7222135,Coffee shops,,99,Total,2007,19045,10169521,2611166,211284
0100000US,,United States,,7222136,Cookie shops,,99,Total,2012,591,214570,52159,4580
0100000US,,United States,,7222136,Cookie shops,,99,Total,2007,951,254811,62812,6123
0100000US,,United States,,7222137,Other snack and nonalcoholic beverage bars,,99,Total,2012,9031,6501863,1628239,116560
0100000US,,United States,,7222137,Other snack and nonalcoholic beverage bars,,99,Total,2007,7864,4914866,1254979,113346
0100000US,,United States,,7223,Special food services,,99,Total,2012,38974,45212208,12734406,659825
0100000US,,United States,,7223,Special food services,,99,Total,2007,35453,39878874,10890948,588058
0100000US,,United States,,72231,Food service contractors,,99,Total,2012,25857,37009096,10334974,518939
0100000US,,United States,,72231,Food service contractors,,99,Total,2007,23250,31956641,8570050,454789
0100000US,,United States,,722310,Food service contractors,,99,Total,2012,25857,37009096,10334974,518939
0100000US,,United States,,722310,Food service contractors,,99,Total,2007,23250,31956641,8570050,454789
0100000US,,United States,,72232,Caterers,,99,Total,2012,10265,7542609,2266755,131894
0100000US,,United States,,72232,Caterers,,99,Total,2007,10273,7352170,2207244,126563
0100000US,,United States,,722320,Caterers,,99,Total,2012,10265,7542609,2266755,131894
0100000US,,United States,,722320,Caterers,,99,Total,2007,10273,7352170,2207244,126563
0100000US,,United States,,72233,Mobile food services,,99,Total,2012,2852,660503,132677,8992
0100000US,,United States,,72233,Mobile food services,,99,Total,2007,1930,570063,113654,6706
0100000US,,United States,,722330,Mobile food services,,99,Total,2012,2852,660503,132677,8992
0100000US,,United States,,722330,Mobile food services,,99,Total,2007,1930,570063,113654,6706
0100000US,,United States,,7224,Drinking places (alcoholic beverages),,99,Total,2012,41774,19725909,4698636,356512
0100000US,,United States,,7224,Drinking places (alcoholic beverages),,99,Total,2007,46924,18318068,4183499,356194
0100000US,,United States,,72241,Drinking places (alcoholic beverages),,99,Total,2012,41774,19725909,4698636,356512
0100000US,,United States,,72241,Drinking places (alcoholic beverages),,99,Total,2007,46924,18318068,4183499,356194
0100000US,,United States,,722410,Drinking places (alcoholic beverages),,99,Total,2012,41774,19725909,4698636,356512
0100000US,,United States,,722410,Drinking places (alcoholic beverages),,99,Total,2007,46924,18318068,4183499,356194
