PlaceIsForeign,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Performed Abroad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440857402,1360956212,3406388709,3398637292,3701170945,4879412557,8068163174,5724512836,8220905165,12622958606,9516068152,9119975197,10023006659,11570919330,4954219772,3549576479,2521245121,2433561659,2971420453,2755931613,2319353355,2831601279
Performed in the U.S.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3770358422,4556802813,4246723185,4448552380,5156525398,7722032899,8631272716,9835475558,9310674589,9911389403,5183935804,7265003220,14872966380,4417799039,8789097270,6223648588,3844982374,5618201183,7082379842,5127604288,3907665829,4065175427
Unlabeled,9040644811,10496580972,6130435212,7505219028,7423538310,5618694682,6108352285,6454676881,4716091382,3947705389,0,0,0,0,0,0,11480.91408,0,0,0,43929393.17,0,9811505.339,57224131.67,0,0,0,0,0,0,NA,10038.84704
