"ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aircraft","1510","AIRCRAFT, FIXED WING",,,,,,,,,,,,,,,,271206,,,,,,,,,,,,,,,,,,,
"Aircraft","1520","AIRCRAFT, ROTARY WING",,,,,,,,,,,,,,,,,11264124,,,545356,0,0,-895758.5625,720320,,,,,,,,,,,
"Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS",,,,,,,,,,,,,,,,12218,,,,242160,,6245,0,189349,-1000,-32865202,1365470,773100,,-294548.3125,,0,-260700,,
"Aircraft","1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",,,,,,,,,,,,,,,,,,,,,,,,,,,73056.8506,77780.5,,,,,,,
"Aircraft","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS",,,,,,,,,,,,,,,,,,,,,,,,,,,24521.0391,,,,,,,,
"Aircraft","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING",,,,,,,,,,,,,,,,688073,936901,0,,175230,,255842,,,,,,,,,,,,,
"Aircraft","1660","AIRCRAFT AIR CONDITION HEATING EQ",,,,,,,,,,,,,,,,,17978,,,,,,,,,,,,,,,,,,
"Aircraft","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ",,,,,,,,,,,,,,,,,,,,,,,26961,2451,4895.52,,,,25450,,19950,,0,,
"Aircraft","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",,,,,,,,,,,,,,,6193840,1281566,-130192,,7751810,924313.2891,703277.2969,697999.3281,,203.63,25480,,27140,-7833.8701,,,,,,,
"Aircraft","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",,,,,,,,,,,,,,,,,,,,,,,24000,,,,18275,0,,,,,,,
"Aircraft","4920","AIRCRAFT MAINT & REP SHOP EQ",,,,,,,,,,,,,,,,3979,6360,,82586,155132.0781,19920,,,,,,0,11520,,,,87722,,,
"Aircraft","6610","FLIGHT INSTRUMENTS",,,,,,,,,,,,,,,,,,,,,,,10908,,,,,,,,,,,,
"Clothing & Subsistence","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP",,,,,,,,,,,,,,,,72353,,,,,,,,,,,,,,,,,,,
"Clothing & Subsistence","8305","TEXTILE FABRICS",,,,,,,,,,,,,,,,,,,,,,,,36100,0,,,,,,,,,,
"Clothing & Subsistence","8340","TENTS AND TARPAULINS",,,,,,,,,,,,,,,,279987,,,15163.3203,,,,,,174897.03,0,,,,,,,,,
"Clothing & Subsistence","8415","CLOTHING, SPECIAL PURPOSE",,,,,,,,,,,,,,,,,,,85767,462,70608.25,94691.8828,,,,,,,,,,,,,
"Clothing & Subsistence","8465","INDIVIDUAL EQUIPMENT",,,,,,,,,,,,,,,45137,54430,,,,,,,,,,,,,,,,,,,
"Clothing & Subsistence","8475","SPEC FLIGHT CLOTHING & ACCESSORIES",,,,,,,,,,,,,,,,,,148000.2969,3250.1001,,,,,,,,,,,,,,,,
"Construction","Y129","CONSTRUCT/OTHER AIRFIELD STRUCTURES",,,,,,,,,,,,,,,3500000,,,,,,,,,,,,,,,,,,,,
"Construction","Y1BF","CONSTRUCTION OF MISSILE SYSTEM FACILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,488929.4688,,,,,,,,
"Construction","Y1BG","CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES",,,,,,,,,,,,,,,,,,,,,,,,,1973701.32,,,,,,,,,,
"ERS","J010","MAINT-REP OF WEAPONS",,,,,,,,,,,,,,,188071,28296,50673,9386808.0313,17512574.0096,19024883.7969,-59443.25,0,,5994.2,-1598818.73,114811.8602,116887.831,105192.0309,136809.1595,73136.2694,151348.6391,98557.4106,116832.1597,85824.56,44924.2
"ERS","J014","MAINT-REP OF GUIDED MISSILES",,,,,,,,,,,,,,,125608,1323310,716697,16758806,13399246,714629,1407371.9629,-25689.6504,1532819.3711,35247458.8141,64822647.4304,15765204.4923,33680350.2625,182050030.2423,67487863.0278,28387126.0654,65763177.5345,89860601.2383,280927990.0375,380374742.9595,47588483.2501
"ERS","J015","MAINT-REP OF AIRCRAFT",,,,,,,,,,,,,,,393204937,5518160,,,,,,,,,,,,,,,,,,,
