"PlatformPortfolio","Project.Name","ProjectID","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aircraft","F-16",24,,,,,,,,,,,,,,,,,,1441347.5625,2210564.5987,14330402.7572,2314494.5039,2775773.5364,4057698.5938,2960823.06,13248377.67,-16657.1895,-103292.2734,0,0,-18314.8799,-108144.9609,0,0,,
"Aircraft","H-1 UPGRADE",2,,,,,,,,,,,,,,,123804,28176,788730,3284906,0,,,,,,,,,,,,,,1205528,0,
"Aircraft",,4,,,,,,,,27343,,,,,,,,,,-825.58,,,,,147238.9063,80869.1,0,,,,,,,,,,
"Aircraft",,5,,,,,,,,,,,,,,,,,,-50636.1016,,,,,,,,,,,,,,,,,
"Aircraft",,23,,,,,,,,,,,,,,,,,,1227779.1251,1777923.8945,1860435.5647,606613.8282,2261735.3732,2562685.1291,2913288.98,1001847.39,0,0,,,,,0,,397092,0
"Aircraft",,25,,,,,,,,,,,,,,,,,2718,,,,,,1281130.375,,,,,,,,,,,,
"Aircraft",,32,,,,,,,,,,,,,,,,,,,,,,386938.8125,,,,,,,,,,,,,
"Aircraft",,52,,,,,,,,,,,,,,,,,,,,,,45985.6016,499886,153167,,,,,,,,,,,
"Aircraft",,54,,,,,,,,,,,,,,,,,,23613,,,,,,,,,,,,,,,,,
"Aircraft",,64,,,,,,,,,,,,,,,,,,1531795.5372,351981.2813,755044.9844,2724505.3468,4916661.5301,4861983.4689,1995698.45,1314232.36,32812,-13385,0,0,0,,,,,
"Aircraft",,70,,,,,,,,,,,,,,,,,,,,859780.7969,1593832,0,0,2404873.45,0,,-18450,,,,,,,,
"Aircraft",,77,,,,,,,,,,,,,,,,,,,,,,,203488.5,909912,0,,,,,,,,,,
"Aircraft",,87,,,,,,,,,,,,,,,,27000,,,,,,,,,,,,,,,,,,,
"Aircraft",,89,,,,,,,,,,-1147433,,,,,,,,,,,,,,,,,,,,,,,,,
