"VendorSize_Intl","PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"International","Electronics, Comms, & Sensors",,,,,,,,,,,42923646,43479380,61008425.75,136123347.3125,133258322.357,131115634.0357,287869184.7202,339946133.6113,507376831.3644,426761354.0387,798593660.2405,478211000.2338,620137218.0165,651294542.0972,711861673.1804,379529672.1163,700312405.1737,545544245.8319,500771553.3538,629907607.1765,504559726.7012,565066342.8084,557669285.3193,266521125.1048
"International","Facilities and Construction",,,,,,,,,,,385644939,521841828.6309,574975556.2097,585895706.3912,856903120.1261,1330446714.3771,3053709787.0309,3145752249.5286,3108821468.0219,4712531501.1126,4104321785.5102,4745405742.9,4193366516.0434,3182920523.5018,3366953362.1606,3167983378.9203,3351112929.5102,3156437904.0715,4115133158.5673,3613476446.4309,4066693456.6117,3146446480.1645,4268543769.7567,1826581043.8684
"International","Land Vehicles",,,,,,,,,,,446969496.9815,27649956,45617564.8799,59049654.0775,208443663.9301,510992680.5177,488928698.4455,1345671706.81,1502507257.9917,1322074883.0793,3778118871.1013,1862259369.4619,548905053.0977,300811430.8841,320633521.6315,604863447.8136,300658978.4117,270533622.1179,379049197.1706,378157429.7715,366927823.2724,219956400.1839,191833460.8633,135481888.7887
"International","Missile Defense",,,,,,,,,,,,-9202,1523007,2047445,2021781,4357944,2192614,3082908.3438,7226194.1328,11288441.5118,32529155.5244,60317012.5298,34917834.4491,24579443.74,23950628.3913,12517975.4184,8210991.4623,7359521,6814038.1118,6141943.0501,6174768.39,6210444.8,4495018.33,6029003.58
"International","Ordnance and Missiles",,,,,,,,,,,31990944,34637236,75828665,171784218.25,214030222,409376801.5,419210051.3623,662849568.4342,1516457306.6619,668338129.6439,667906329.6882,609699739.3275,486121423.9995,221872927.8506,220462068.166,186820064.6681,237767799.569,831561911.1191,417147047.1871,781294813.2959,488402791.8121,648305777.6844,620763272.7255,967479210.0826
"International","Other Products",,,,,,,,,,,175392571,205400883,747544311.42,656196069.0104,800664023.8271,706301282.356,4390308431.7153,5989132157.2117,8356358987.8314,11220820836.3264,10840636355.2783,9683041177.2569,10491531972.1416,10694430103.9844,5790846847.5737,4022446696.1343,3087104927.0445,3044518828.1777,3794411607.1596,3427130807.5255,2656284678.2325,3312937082.0578,5752487022.5262,2445195390.2378
"International","Other R&D and Knowledge Based",,,,,,,,,,,8611909,13869304,28981467,24228563.7109,36039156.4884,38991474.2084,136929299.9302,243927972.3747,424370349.9294,385744525.7777,918304653.2661,487820407.1149,383949430.0704,576934460.0207,580462710.0788,1113111268.7636,582210051.9854,462514337.3953,674655384.9082,701981646.1967,947821359.2461,1365756853.9306,1008880092.5682,108423749.7727
"International","Other Services",,,,,,,,,,,51228610,38190369,68365436.54,48503300.6518,101722879.2886,134520093.025,328144060.5484,338270743.4663,251487965.116,348977363.0455,603513807.0561,678084655.9037,890485059.0207,771790235.0712,475615712.7027,431182029.0658,515096294.9798,591703262.7134,637983157.722,604890910.8965,585372241.049,513095610.3283,607664546.2142,364954219.2826
"International","Ships & Submarines",,,,,,,,,,,5855310,31431915,29038441,26821352,29615288,67210155.4102,126075881.9743,232843613.5575,239859420.9857,264128505.3687,227652396.9385,222684769.3116,199923459.366,240542892.265,286601321.893,274000138.894,399520531.9239,392899698.2157,426100338.8118,361894913.0849,348105494.7739,387131505.3458,561150404.7357,227313024.2244
"International","Space Systems",,,,,,,,,,,,1515590,39236,1651440,8127779.9375,19130472,18825506,12150355.625,19135555.221,18869160.006,13354835.9308,8683360.3936,7058941.0006,520617.56,763066.18,1784725.4397,78373.3286,1534608.6641,617003.0746,-20293.8907,162291.7998,92360,2670,
"International","Unlabeled",,,,,,,,,,,,,349679.14,33619,60757.2601,37436.01,15621223,0,4409.6606,-62365.6992,,-1990.14,,,,,-19096.2207,,,,,0,85138.2031,
"U.S. Big Five","Aircraft",,,,,,,,,,,20708136613,21749286163.5937,23955838850.7736,31136682973.9492,28591194901.0938,26038064725.0648,32630822178.2924,37369719381.4986,38065582018.0428,38460344406.3791,35339428138.4149,40587861253.3539,47631863808.3565,46489537810.5294,33266462967.0636,36230394447.2142,51766447313.3937,61695465416.3165,53559116905.6856,55229872644.1072,74665921939.6482,50982856102.7206,53023910784.1432,39359657142.1261
"U.S. Big Five","Electronics, Comms, & Sensors",,,,,,,,,,,6364048039.1941,7049018934.5508,8587907593.2789,9570344310.7237,10950513995.4908,12135879435.4225,12030542736.6852,14926994633.0697,15188855515.6306,14036292736.339,15202956036.1927,14039992251.7489,13128198847.9203,10770528444.8129,10446871582.4954,9945918645.4534,10327232349.7321,11188202393.8502,11215027943.2306,12474174123.9027,10772369169.4557,9501162098.0654,10643046702.8576,5961053482.1542
"U.S. Big Five","Facilities and Construction",,,,,,,,,,,505635765.9317,499860818.3202,521370863.3984,622374053,624785481.1836,552675751.2788,602806701.1043,533562958.7624,577245734.1241,789494735.7121,678930850.0994,746256208.7545,645152459.294,737346343.6213,454249684.8688,258690555.2175,284532303.9269,602200253.9378,252993171.0516,181092969.7664,192770743.6697,351412964.6002,519457901.2704,696651993.7707
"U.S. Big Five","Land Vehicles",,,,,,,,,,,832076457,653059259,1214715224.125,1098174849,1429538069,3150530021.4453,5456622524.0601,6412356899.5107,7396674098.7913,6614381356.8072,3986054130.1198,3017240332.3084,2449853735.0698,1894142958.7913,1560953351.3998,937823122.5026,1077042739.3236,1836807209.4528,3086338572.0496,2556370300.7373,2397700651.2265,3116919828.6937,4399340252.6107,2359315263.9656
"U.S. Big Five","Missile Defense",,,,,,,,,,,1956089394,2333167521,3686493905,3859708035.5938,4701775050.5,4989676208.4375,5349510640.2774,6454278531.9266,6842656824.9687,8782040594.9943,9044332642.7514,9518788736.0017,9753797077.6346,9435215707.1776,6915351196.4803,7753678427.5827,8246446764.1197,6744481998.578,11226960692.4651,12636733508.8779,17092189454.2241,9822494446.2365,11464418960.5359,5108059191.9642
"U.S. Big Five","Ordnance and Missiles",,,,,,,,,,,5060678585.375,5182079821.2188,7371734241.3125,9179561273.25,8825405979.0391,8424032549.3565,9291487498.0963,10276215208.992,10582195370.5902,10226530302.0921,9695393566.777,8438715706.0063,9061533576.0124,8136710894.7127,7739139819.2753,8453281201.8061,10987792561.7798,11140398476.7257,14025249768.825,16348595473.763,16934081604.0216,15562709923.3603,13539125204.2004,10475328166.689
"U.S. Big Five","Other Products",,,,,,,,,,,141621032,167387698,194842946,237913096.0938,240286291.4687,330786166,403823851.5,469070773.8006,481311675.9571,527980198.4707,394852447.404,500680821.6924,506587269.78,393529293.3121,394955509.0226,269137544.4537,396781244.4643,383358509.6646,415888691.0083,400790260.6542,323739652.5601,635357400.0505,395512954.1288,217709099.8281
"U.S. Big Five","Other R&D and Knowledge Based",,,,,,,,,,,1545845785,1313197241.2202,2247296797.9375,2711495021.7642,3039460354.6194,3704268828.7345,4767069481.3777,4137591903.7726,4493405512.5205,4232625107.3809,4374297362.1493,4258608232.9704,3734973903.1688,3167673712.4309,2712007524.9458,2958271913.3008,3375988955.2711,3242481242.8515,3736092363.5399,4892243017.4685,4370035143.1041,8592251544.1878,9608494732.5119,8082244063.0493
"U.S. Big Five","Other Services",,,,,,,,,,,478259701,518019742,665142010,520121469,573157072.625,650027778.0508,1228271230.2832,910720033.5386,1717667316.6651,1868088282.6032,1817507449.963,2232586704.0904,2170201652.036,2065306324.4219,1671669136.7268,1747254906.1796,1902654331.7804,2079974238.9616,2127662568.702,2082688518.6835,1732764099.2398,1432366876.1672,1425218725.8614,967366958.7047
"U.S. Big Five","Ships & Submarines",,,,,,,,,,,2654621013,3383373287,8574875257.9004,7387264141,9136827757.2097,9535642047.9512,11143524952.3016,11353618164.3694,12302451081.3192,13549153731.4019,9188258067.7167,17382520706.1511,8264697943.4731,7657893854.2278,10412011158.8298,8328207496.052,10006921876.9279,9354845636.3058,9934677402.5097,11015614043.5066,18128771132.4132,11311983956.455,13062989849.4312,8826172530.7096
"U.S. Big Five","Space Systems",,,,,,,,,,,2294656921,3067004103,3080217074,3722440399,4582526359,4338875404,5552470886.4062,5765192683.4092,6805663090.5953,7719367961.9118,6250938585.6872,7858612196.308,7713136526.4998,5514389374.085,6217597329.0561,4196740318.6808,4241775902.5974,4001705226.9339,3197903301.738,5343946260.8373,5490507202.8169,2581926761.1079,3413000193.4499,2152920714.0524
"U.S. Big Five","Unlabeled",,,,,,,,,,,8679377.7246,1596870.1641,16806065.1786,3968703.75,25000,-112251,2420559,0,0,601880.3516,-111,-6525,,,,,,,,,,,,
"U.S. Large","Aircraft",,,,,,,,,,,8725083767.53,8997438338.6875,9304278094.6592,12692122117.875,13190428511.2876,14276409627.7237,14234256973.6441,16467606470.0247,21010087912.5537,19423636463.2636,19321449416.165,20091504768.7395,20017344145.6855,16715558922.1839,16527632424.0464,16415055141.315,14503326490.8132,13265612080.9795,17188776124.6733,20404101292.1428,17736522399.8997,10129152772.4047,9584665699.396,5216043095.7617
"U.S. Large","Electronics, Comms, & Sensors",,,,,,,,,,,6427630846.6311,7020839431.7491,7935816617.2327,10613233165.4204,13308939783.5177,15733548454.9449,16979073161.0176,19069437821.5118,21303034886.6762,20338355188.8378,19579561992.1219,18394052769.5474,16545144008.3796,13521419504.8411,12422790711.649,11418144002.5172,12837089722.2137,13940742035.5237,16151203361.5228,16695660660.2926,17576690928.8932,13849406243.1877,14846044806.3913,6610344291.6951
"U.S. Large","Facilities and Construction",,,,,,,,,,,2422635499.9492,3006887574.7898,3380293698.7097,7436997891.4386,7868320081.9722,7054212037.5701,7563902600.2061,7810201147.8577,11914851991.7315,13090085480.4262,12325349391.7326,9594672601.161,9813604822.0251,8158934320.9243,7028288000.6789,6046223186.1413,5708510401.4045,5136889397.5198,6786890023.2674,9781291504.2918,10362826980.0588,8218370529.1747,8492917084.0346,4362772216.7742
"U.S. Large","Land Vehicles",,,,,,,,,,,554867033,880398020,1073412084.8008,1593454420,2779844968.009,3906932469.259,4443234927.0887,12383117602.9529,20551807398.515,13388077573.9632,12836823314.1194,9765687629.7505,5462778356.0205,3245622342.6387,2110733464.2974,3352622431.5078,3515252044.0867,3063260117.4431,6284443459.4057,6234452634.0525,5914715800.8021,3978642367.9538,3722422928.9784,2631335079.6336
"U.S. Large","Missile Defense",,,,,,,,,,,542180671,475368778,474854089.625,474248296.5,509169915.8438,658697179,606685920.5938,849038487.1386,630781331.9479,551301821.6089,441252374.1418,330036012.7146,362583711.1353,391645732.0554,442879374.7552,675532822.0493,678267402.8444,697770536.0834,972267599.7899,754993809.4825,782798380.7414,815172703.9814,591918045.894,346460056.5721
"U.S. Large","Ordnance and Missiles",,,,,,,,,,,2233052272,1999066113,2331114202,1554205767.6602,2028158957,2257517820,1887814488.8658,2434418083.3049,2711462583.8445,2431422750.877,2378538689.7983,2654052149.48,2480501034.7267,2211112425.8525,2075168928.5088,2008064040.2428,2249211603.2445,2699298966.0146,3162506611.8578,1787931787.6417,2136280185.1087,1654238173.3118,1425241331.8324,805829385.8931
"U.S. Large","Other Products",,,,,,,,,,,2734208605,3485524369,3773193648,4722243879.4502,5582351894.5547,8611418565.4333,9891437310.805,10815514882.8044,11093967474.3252,10207081692.7696,7616521566.2356,8795310577.2962,14232670022.6949,6300577734.0337,10456172453.43,9176020350.2741,8665988892.8492,10277074068.1478,11335694385.2274,9777908306.1003,12205179123.4217,38802189371.9689,38925101393.3854,6213309476.391
"U.S. Large","Other R&D and Knowledge Based",,,,,,,,,,,3846901319.1094,3639329340.4136,4740989386.1149,6401984923.6926,6400072627.1345,8340539513.6381,10078053561.1145,10683052487.4133,11613578944.2124,12124457337.3492,13147649163.2449,13862490241.6288,13909593645.5504,12126716845.3663,11301155334.1619,10592040845.4664,9889254709.8952,9633390384.0162,10417863951.435,10253568904.6504,10751852863.604,11787066904.2639,12460612009.8748,6485406903.0216
"U.S. Large","Other Services",,,,,,,,,,,2855378997,3300779762,4673354450.4099,8971117525.7393,12680641701.7305,14212314499.2286,15252891691.7128,15193550950.1167,16994233492.0664,18895382197.1475,20122642800.8222,22375934078.0088,18740393484.8333,18019601950.6382,16386599424.5646,14283547474.1962,14300206117.7907,15340318642.6078,16993854944.2308,17366700720.8457,17290693906.115,16971641389.5579,18378064007.1629,12313353085.7209
"U.S. Large","Ships & Submarines",,,,,,,,,,,4117400511,1321094877,1428530669,2453155391.9302,3098714973.0581,1878714113.048,2870318731.4195,2859905084.7867,3984513839.4769,3809897714.0058,3915506658.1161,5285645086.2206,10490241303.7782,10633917316.9633,8584571240.8695,8176613279.3471,9032920000.1041,11992313909.8424,12413870777.7312,12379026581.6904,13482974725.0467,12107795584.2506,10980221940.312,8035390922.1538
"U.S. Large","Space Systems",,,,,,,,,,,306484457,376562849,602820009,675778545,658949059.0234,972367594,1240426462.87,1068793296.9555,1087240548.1286,1132529516.4942,1088580682.0117,852729182.245,651452259.8988,684440670.05,347500388.8225,346332661.0838,354100352.6726,436462866.8103,890217932.0021,741853889.1073,837425343.8669,615155855.3139,822791273.7971,179936802.7508
"U.S. Large","Unlabeled",,,,,,,,,,,6136328.9043,2232874.3198,30398282.7746,14831150.5701,455672.5765,729275.9702,68680987.9502,16813982.2487,-75409.8452,0,-34818.901,-69425.5112,-5399.9401,-91092.8906,,20000,1400384.93,-245,,,,,111730.1484,
"U.S. Medium","Aircraft",,,,,,,,,,,3125874842,2881974189.6191,2731350993.54,2351340055.8101,2810497045.9566,3149512261.4587,3071102600.6428,2933829135.8726,3533384310.5292,3821522830.6013,4619829411.0307,5287002124.5295,6186662084.6849,5282742329.0886,4168074019.9287,4948473559.5528,4719776135.4661,6394923547.7044,7140284028.5904,8538592400.4963,8203374194.343,7270218794.2973,7661501230.7615,4072490054.4875
