"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",30269723707,32157600023,30131334568,30994675157,31747329388,28791249139,32843210690,40588214258,43937403839.07,46190558382.95,42902822545.2254,45999287155.107,60247822850.3926,70112736192.1281,72882060922.0618,73955014283.8944,88500085708.344,99084982833.7199,105265957803.974,107244284851.151,96938424465.219,109499511282.913,105501222746.845,96955941007.9724,82025600565.3735,82089875081.0807,102994073616.281,112661505397.439,113544712921.794,123140404481.26,153214115691.913,114337337075.929,122291621772.319,159383540777.301,134710190158.563,67951310687.15
"Large",36157786022.53,37919642273,35183568873,33862459700,31124696371,28535952215,30841429737.51,32533681605.2,32907288762,35262591219.44,36630880961.0772,36174344404.4852,42644456244.7106,60452383204.6803,71580048570.9798,82629148228.8379,91944086646.0064,105949792642.787,131082070764.202,126934690711.787,124084073187.351,118243682505.723,117891881925.373,99225006799.4933,91770678086.3875,85468631451.4242,84431942809.6808,89626201634.1767,105239432348.126,109114930564.33,111406114017.228,122076635889.625,125591624942.826,110572687206.489,111225085961.132,47783288025.44
"Medium",28467218347.47,41409976793,35195993413,34605129784,32468384862.16,35533246599,30703395968,34909657425.01,36051664017.52,41270125722.55,29497078243.8081,36873420785.3551,37073004486.9085,41284685735.4279,45513754449.2744,53503098354.8502,56713388335.3275,60139691663.3527,68513875865.1708,75743969697.2777,72302342732.6472,72338863019.7044,68079869011.8627,57051371169.0537,50634068021.0454,48118143099.4729,48836679102.7166,53624617123.0292,62993713802.8877,69740907460.8395,73941059980.4007,68364289374.1557,75914787745.1857,84690064047.3462,87888342006.3202,37602266891.15
"Small",13485462635,19440091588,17673966930,17748533767,18137814350,19136151732,19504806938,19913563370,20878185339.82,24839183122.87,20598432173.8267,21626567641.6172,25988438830.3704,32504323195.2737,34599455883.6881,43337560983.8088,45539243560.9074,49801972865.3986,54964480699.5917,59266736026.4081,58261568368.4337,56279087350.1425,56171070185.9605,47307538148.099,53345216151.5068,52300786895.6773,56259170900.8053,59068252206.6186,70045903549.0922,72866750418.6241,75612530217.0254,73934766199.0153,81561531032.5474,89924830653.2128,93959411575.6616,35325181245.44
"To Be Labeled",1322452541.09,371197000,1079176000,246300000,1431875000,1350292000,883767000,5375721317,3728634742,6525719231.19,1648294952,2105466157.3022,2278582716.29,6460188402.7252,3290089712.1352,4936706052.8995,5112776819.7692,6063366198.3831,8410071368.2436,6170913060.6115,6219162664.8413,7522663813.4024,6296907125.4786,5287988962.7761,4593054606.618,5048724678.0041,4740317197.4377,5551003759.1005,5960761251.8707,6992886037.9403,7577262788.9532,7495273392.4913,8759824864.329,12083612679.0148,17211310764.32,9907161222.05
"Unlabeled",12662598369,5828135167,5988646785,5599993734,4027517167,5041294309,5929700977,6502076400,5808751666,2512842732.4,900460863.45,1214452428.36,1578216006.83,718770569.55,1909714294.5294,7302949854.723,7325966319.0209,7098637616.5708,9749076043.1377,6185568092.7079,4889927778.7871,4726693213.2602,3848934547.2859,2372831402.247,1027627745.6367,1197929268.5726,1089673790.0925,1342835088.1211,1577079635.1005,1752497476.9827,783662325.6013,765673409.6353,233054085.842,466921293.3603,295261446.47,64219460.06
