"ProductServiceOrRnDarea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Construction",3331207190,5549442291,4772705585,4482312756,6595940173,5494626635,5828017560,6878223679,6419832118,7221753007,6095074886,6912881098,8345287306.77,9238328475.72,9828013822.2684,12169691597.3226,13882263095.7037,14895688531.0093,23424311166.0164,28911269916.4723,24906956087.1881,18589829067.4502,17668152860.5813,11904358790.2194,12008093263.0004,10717176681.3287,10203781227.8613,10159587426.1984,13552604506.6839,20438558971.7664,24789177375.6769,16792852272.4402,17983338648.5347,21550543417.6776,22062482144.4592,4596819927.86
"ERS",8167717114,9353909603,8916374181,6917960089,7959296924,8381692294,7708420066,8888627188,10275031204.07,9276304823.67,8565669548.1416,9766355868.8787,10688518966.2147,13009874114.8364,13338003781.9988,16188302447.6398,16398946936.7397,17495344460.4499,20271358438.2643,21811556096.3871,21099161309.1415,24528189828.8873,26801664382.8114,22081642274.7698,23498349243.6331,22279796926.7048,23229548354.8856,26717429681.4303,29285077703.9051,30413085313.9837,29945448288.8498,29630455512.154,31136613465.707,35569907980.9148,38442390094.385,17698798979.71
"FRS",6399306670.56,10555558626,10936435572,9829447431,10238844531.16,11129521914,11344602030,11547846452,12193699958.02,13867804432.14,10980550566.7748,12192081954.0484,12834072131.3352,18366465951.4248,17671456666.5332,18062973190.1585,21559761870.6258,20597510715.3934,21370892492.5298,24327910009.2553,23373002454.8174,23657223604.3709,21483378876.8109,20182827284.9888,22160181189.4,19453820801.1872,20168467381.252,19845707624.0319,23729402071.5626,21582833475.8559,24740468146.3201,22648537120.047,26969969292.292,30202558818.0919,29958802029.4703,12637486047.82
"ICT",2934506799,4138120627,4870948677,4541467646,4858384061,5103213272,5532478799,5585814010,6354367977.32,7980484983.02,7344644987.721,7667927385.9988,8443963059.0555,10503897200.0333,12956980109.5628,13433965753.8728,14353029096.078,15144179586.3566,15610655675.7717,16519194006.9036,16884752138.3138,18135395489.0302,17116086675.2842,15476513222.8502,14520149644.2076,13719191273.344,15264263707.922,15596497818.4359,17854548905.2141,18961743694.4379,21742633670.9153,19242466883.9108,20059721383.2689,22127675676.42,22362722297.07,9894573310.04
"MED",917574000,597379920,735943108,693692610,829642436,1729646044,1749844962,2679855296,3024626376,3569808820,2206554815.8008,3356057031.74,5353433919.4338,7128888733.1125,6472680627.2256,8011259819.4992,9434026800.0939,10716277959.3362,10881237526.6501,13674759071.1373,12935543810.686,13924730082.4499,13708786102.1811,13404758896.9253,14223689553.9414,12724665494.8993,13385428277.04,13686147139.1188,13968949206.2225,14201025120.2915,14689670551.8509,15333053072.2932,16422831488.4473,16577465685.7306,16608619186.5789,8658868804.94
"PAMS",9475343969.53,11665293600,11540284914,12208775848,12783038547,12956728309,13544943568,15074511884.06,16765472699,20254967861.43,17283761826.6942,17256873377.476,21268079104.6462,28735840684.2106,34364076270.662,38670589618.9349,43821675739.272,48519588145.6668,55266531879.7613,58877332940.4951,59731665510.8894,57638145263.3021,54369632219.8583,48730772318.4777,41861881521.2683,41475175315.1698,43193873119.6856,46119243889.5618,50151325692.8759,54376105354.0078,56839942500.6648,56688230190.7427,57000744778.7543,61213213417.1208,66132384347.2286,27975163398.49
