"SubCustomer.sum","SubCustomer.JPO","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",42111675000,43815582000,39545885055,39957971414,44026483825,37789260369,39393811712.51,43071214393,41278050273,45233341240.67,37958921676.9792,40633046619.5646,47413884724.7769,55557135024.1209,55056695772.8358,55580069095.4808,63139443613.8063,69877137081.497,63650832496.9105,67807653951.5146,64907616713.9658,65476225773.1615,71494774011.2722,55167411502.4674,55803091054.8974,52855821371.6412,65049036181.0832,61393940204.3139,71867887528.2911,75814574410.8732,77957034534.0625,79169868543.378,78784472831.3931,92746612140.7301,99846951842.2436,43729601308.87
"Army","Army",23216088134.53,35268260000,31428914998,30957822464,20798814908,29761242814,32029210551,37067947798.21,37638355362,43607320822.52,36832500828.7767,40556105509.793,46178863972.4357,64206590729.1569,76070511906.1153,95626896372.1701,101677927943.18,118362647694.287,153115860208.619,147184981504.119,141175890062.453,125525303443.94,109148363176.855,87698991048.9785,75373911966.1301,72930300832.3044,74197001335.624,78622025172.4383,91452191509.7659,95041873714.4263,100479498333.367,109800145453.743,112542723059.68,111974432319.734,104140748165.532,37572844796.39
"Navy","F-35 JPO",,,,,,,,101268812,651152375,695421838,178031456,268635741,6554622,239927692,196180520.0938,297828365,634208177,1065862779.7227,2725377093.3307,3681464083.0004,1874856013.4357,4877655064.5174,4691798600.1318,12181359822.95,3796342018.2,11232863388.03,10403767371.5552,24164351660.1826,15993414874.2596,17024265421.013,35959135988.6485,9846932188.5915,20737931625.7908,36167249992.413,12083973125.57,13781647277.79
"Navy","Navy",44416973487.56,42246069844,41220475613,38245449962,41252757153.16,39421018145,36936668644,45447414678,48153173352.09,49423055067.05,40297993522.9593,41940611224.7212,47787997916.3768,56619600366.3633,60624157330.322,65286569811.4977,74295888295.115,84706463044.1078,93702135950.3244,92071694336.7975,86215459904.5379,99202069231.8364,89920968641.6829,82197957231.9314,80332120166.2806,73506441024.9478,82806903387.9797,85448502641.0506,92309015366.9482,104803443564.937,114380922794.299,101938176059.912,103255304471.694,115659529630.54,122027612322.873,54505668220.22
"Other DoD","DLA",9209787000,11713307000,6907467039,7931460004,6692479944,6644824451,7292808729,8059156410,7839796546,9009714445,9580614163.6178,11426471526.7901,14591296027.8973,17678992692.3501,19619731983.3795,27914804283.873,32598809893.9407,30639765053.0485,35718777232.1161,38025569516.8387,35241646622.5091,36127582505.7365,43150233026.2928,34083497069.31,32346458659.2243,30903602561.5569,30228928099.4841,35610833121.5627,45449953575.4856,44237628421.1817,42123907348.3116,39109538688.5545,48302959663.6637,50530369524.0174,53082768297.25,23568245018.5
"Other DoD","MDA",74831000,68100000,1661000,,343747860,251594273,310476090,431242526,747389215,945575248.63,1373879916,1673010916,2485964875.825,2671495076.0938,3382922964.5797,3841746261.1375,3492627141.4845,4929029621.6667,5760262873.5729,5673422751.5254,5356951769.0357,5382146529.484,6877002431.1045,7706159819.8678,6050847486.8864,4690777698.051,6589241607.8602,5412284919.1863,8293301633.6555,8819106629.0813,12327823652.2867,8817318506.7073,9841222285.8038,7078755082.6783,8459332539.52,4077615844.03
"Other DoD","Other DoD",3335887000,4015324000,6148282864,5964388298,5823333448,4520245942,4743335584,5644509758,7004011243.32,7686591749.53,5956028175.0544,7495657034.3578,11345958996.1904,14559345718.7002,14824923355.3426,17116563570.2447,19296642324.7179,18557674992.8479,23312286688.247,27105643872.7755,27923149890.8522,32019518639.3583,32506857047.9409,29165350441.0852,29697489809.6262,28106546989.0464,29077285437.4923,31199266828.0627,33995668832.1166,37867618809.4804,39306450663.1837,38288018121.4004,40861266319.2816,42925923203.4104,45197196127.54,21221704527.05
