"VendorSize_Intl","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Unlabeled",120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,5236358155.9916,5491432009.7286,6587487263.1819,6976292471.2142,9469780522.9719,15314661031.4702,13690206159.2622,8188109934.3742,10574055160.1785,6764981953.2342,5104291491.3231,4330718826.8533,3082990599.5089,1609033568.5028,680453391.7032,566899218.0891,766600193.2492,547517746.2317,240712405.9436,380518692.1141,789032280.102,769670794.6879,285283811.2825,235044504.6941
"International",,,,,,,,,,,1329220610.9815,1064745085.42,1807184389.3146,1921193307.4043,2648920884.8399,3794008336.1995,9741097914.2115,12868195666.4892,16499453100.5148,20075739480.5829,22679836748.4971,19753164985.6706,18705132716.5269,18039454964.6385,12582856811.9378,10809719855.91,9825055376.308,9874481423.791,11566748983.7809,11431443200.7392,10618049742.5667,10617066974.1711,14696330210.8885,6690070397.66
"U.S. Big Five",,,,,,,,,,,42550348684.2254,45917051459.0678,60117240828.9049,70050048326.1247,72695496311.2301,73850346664.7419,88459373239.3844,98609321172.6504,104453708239.205,106806901294.444,95972949166.2754,108581856624.386,105059996799.245,96262274718.1229,81791269260.1643,81079398578.4434,102613616343.317,112269920603.578,112777911380.805,123162121122.305,152100850792.38,113891441901.645,121494516261.001,84206478607.0139
"U.S. Large",,,,,,,,,,,34771960308.124,34505522327.9598,39749055232.3268,57603373075.2766,68106048145.708,77903401149.8159,85116776817.2881,99651450297.1159,122895484993.633,115392227736.743,112773841229.609,112002045671.281,112706301394.788,92009456672.6568,87683491745.7842,82490216234.141,81735528122.8488,86483132759.9886,102597589171.143,106177490090.298,109077960637.558,118928831895.369,120230112251.207,53200181316.3679
"U.S. Medium",,,,,,,,,,,27694622520.5188,35321226116.5173,35479100087.3137,42482595240.0615,42241259511.0147,51515737177.5681,52686944659.3421,59156529141.1112,68785814990.9706,73316171682.0021,67896388549.7625,67582752969.7274,61772665022.7063,51521870959.8257,47080827373.4356,46743111826.9035,46913522999.3205,52279423408.0778,61590797753.2091,69492927376.2443,74295272089.9873,68774128716.5469,76336782621.0928,38965329412.2745
"U.S. Small",,,,,,,,,,,20595976226.5461,21693661545.1428,26070453425.0865,32499585092.2557,34600451673.0244,43285206666.0946,45470779321.3648,49679874369.1679,54779583262.9025,59199358639.9791,57976561655.5411,56315376883.2436,56309344122.8112,47138961458.9347,53465462041.4739,52495096053.1374,56507462593.3487,59161370863.6707,70182061058.5694,73210905668.2453,75720333560.9938,74082748315.2369,81277666893.7311,32703442132.7152
