"VendorSize_Intl","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Unlabeled",120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,5236358155.9916,5491432009.7286,6587487263.1819,6976252025.2142,9469780522.9719,15314661031.4702,13690206159.2622,8188105980.3742,10574055160.1785,6764981953.2342,5104291491.3231,4330718826.8533,3082990599.5089,1609033568.5028,680453391.7032,566899218.0891,766600193.2492,547517746.2317,240712405.9436,380518692.1141,789032280.102,769670794.6879,285283811.2825
"International",,,,,,,,,,,1329220610.9815,1064745085.42,1807184389.3146,1921237707.4043,2648920884.8399,3794008336.1995,9741097914.2115,12868195666.4892,16499453100.5148,20075739480.5829,22679836748.4971,19753164985.6706,18705132716.5269,18039454964.6385,12582856811.9378,10809719855.91,9825055376.308,9874481423.791,11566748983.7809,11431443200.7392,10618049742.5667,10617066974.1711,14696330210.8885
"U.S. Big Five",,,,,,,,,,,42550348684.2254,45917051459.0678,60117240828.9049,70050048326.1247,72695496311.2301,73850346664.7419,88459373239.3844,98609321172.6504,104453708239.205,106806901294.444,95972949166.2754,108581856624.386,105059996799.245,96262274718.1229,81791269260.1643,81079398578.4434,102613616343.317,112269920603.578,112777911380.805,123162121122.305,152100850792.38,113891441901.645,121494516261.001
"U.S. Large",,,,,,,,,,,34771960308.124,34499347347.9598,39744713776.3268,57598567077.2766,68100776152.708,77896425108.4409,85111387340.0474,99640957514.4713,122884174209.745,115381423109.989,112773832479.609,112002013651.281,112706297744.788,92009454850.9068,87683498577.0742,82422991509.9613,81715171365.3615,86456298004.8011,102584634452.491,106175928827.299,109828224961.389,119506647789.959,118514615471.383
"U.S. Medium",,,,,,,,,,,27694622520.5188,35327401096.5173,35483441543.3137,42487292079.0615,42246412798.0147,51522332764.9431,52692313601.5828,59167024876.7558,68797039550.8589,73326964253.2066,67896397299.7625,67582784989.7274,61772668672.7063,51521872781.5757,47080820542.1456,46810336551.0832,46933879756.8078,52306258163.2653,61603752471.8617,69494488639.2437,73536487550.2147,68116710801.7378,77446282467.9561
"U.S. Small",,,,,,,,,,,20595976226.5461,21693661545.1428,26070453425.0865,32499690297.2557,34600570379.0244,43285587120.0946,45470799856.3648,49679875370.1679,54779669486.9025,59199370695.5289,57976561655.5411,56315376883.2436,56309344122.8112,47138961458.9347,53465462041.4739,52495096053.1374,56507462593.3487,59161370863.6707,70182061058.5694,73210905668.2453,75728853776.9357,74162350335.456,81883663826.6921
