"CurrentDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"<=2 Months",0,,,164185000,210895000,69597193,156407000,636850984,1119302478.32,1725647225.81,7199989521.7662,8083225596.0774,11400204717.8635,13090941608.8033,16182075045.8016,25624998925.5937,30576431575.3209,29810877259.8817,30297080393.1278,26550684378.1596,24855966518.8897,24046666842.7357,22114665250.3871,18271970372.9344,27462077512.1005,24272002600.0411,23854795160.0548,26149474900.8966,30224426911.676,26621360342.0809,27577598781.2027,27897099553.1023,35954044750.3857,33757771099.1587,33671212971.5334,16178401804.48
">1-2 Years",22503134.53,,,59998000,655697000,33537021,335719421,3747527822.06,5961848641,7257417049.69,26039318460.3802,30256492207.0398,28152772963.5159,37529993932.3235,40110828654.4112,49393680242.2996,-19046219470.1178,67301273853.3778,76284454748.2364,82682588835.9478,77910800035.6567,68711180025.245,71059908399.2305,52705241443.2986,47211884536.7798,46048730153.3367,47331426781.1028,55696944935.8831,64800969103.3609,68189974032.9594,67605256301.7467,71378566765.7044,64257372288.6447,66713013496.0843,67068340494.9882,36671823979.44
">2-4 Years",,,,218145000,176159000,570710019,1125453622,5434804414,6277992390,7733270019,26686196018.1309,26246826856.9212,37048475973.294,38153972996.2496,41344399442.7723,45743755296.8286,52363645279.4621,60795372112.5491,72376029365.8281,73919640734.0295,76599976924.1887,78950984884.1148,80961952905.5494,82343641569.7113,65711697777.0319,55743550012.1888,57234617529.9237,61904535179.7505,83088945803.5587,92568528798.466,81073543677.5829,73924183408.8507,78032240391.1986,90136249100.7442,89604462363.6286,37177830550.52
">2-7 Months",1e+07,,,92277000,211822000,225837000,65604000,1378195404,2264011613,3909321780.4,13530775538.1944,12170861158.9856,15788577159.0552,20319280942.2247,23268063032.8623,27534722687.4128,27430973137.5252,28311134649.9561,36340269701.893,31338815484.9228,32932686795.6345,35674679703.1707,28598521035.5712,21713468085.288,20733159021.2152,22258546282.128,21506266809.8465,21019862624.3839,26168509714.7716,23390519574.5849,25269290310.9881,28315814447.8228,32216012068.8601,22910720426.9134,21207958032.6702,11137278728.88
">4 years",31015082.56,0,50019,1007459000,446652413.16,849078869,475944256.51,7078383507.15,5298475191.02,6352998769.18,31996812684.2482,42804971649.7333,51051688097.9381,66969362973.4504,71336815190.2071,74430235300.8316,91195801053.59,97375174456.0695,106482820549.149,106127972571.485,92233262671.1907,106659710692.468,100681819771.859,90253562371.6212,80930571624.1683,86662321251.4083,107340342057.395,113681850621.735,103905268413.434,121829606162.935,170174972868.909,126817457851.663,141867134483.419,183831543721.275,168494658993.028,106328038481.08
">7-12 Months",,,,27759000,28491000,23247024,65238913,5354835309,5274228089,7220670405.32,24455363343.8328,22415136644.4694,24756515269.7765,32281765960.3856,34919623119.0642,39161174291.8675,110014531179.482,44529679192.2567,56198730959.9979,60929085430.969,58163811636.2274,54565027771.1839,54372759575.8804,42894090616.008,41349519432.5318,39240868412.4889,41087259327.5857,43421904784.0182,51180593255.3132,51011025164.9752,50754974314.6242,58541102782.2895,61885420694.6043,59514085344.102,63974479790.7808,32559419039.13
,122301723405,137126642844,125252636550,121487269142,117207900725,116616178868,118481944098,116192316935,117116069964.07,122401695162,2269514172.8347,2016024459,1612286954.0589,3187768886.3481,2613319347.55,3775911014.18,2600384634.1128,14932296.1208,6146826.088,-2624995.5701,-1005384.5081,2251266.2281,258604.3288,18703030.78,-2664727.2596,-1928237.36,-2850248.8944,-157838.1816,-7109693.2433,-2637636.0253,79108766.0674,99750531.4188,140219765.9364,258273468.4472,1268489265.8375,79324086.94
