"fiscal_quarter","YTD","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Full Year",,,,,,,,,,,39579855166.9866,45197866304.4511,41871677716.2884,60628984338.3487,72073593931.5468,82191621107.4698,65216824578.6249,99476690536.4387,89664361004.2574,105185308345.763,76858121124.0519,84511629723.7078,72747870858.8408,88281955325.3434,58657736535.8974,66374936763.4199,64229067462.5307,67355889099.584,73920890931.1788,104278371953.715,102045500387.258,83031379889.5993,90700478946.8148,
"1","YTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93831048286.0025
"2","Full Year",,,,,,,,,,,30488476147.6766,35658212730.4042,53468991828.7781,50104119626.4988,59735734957.7629,66408009003.4662,90944163227.9711,71581282476.5149,95858643198.7963,88567212923.907,95679375813.8877,76340782697.8077,97430470454.8148,47161410128.4538,64876581768.1075,70705778641.2237,83338070960.6052,74934848863.2331,79173891045.1843,91188443138.8244,118353483306.377,113030614881.231,92687913219.3192,
"2","YTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122169498084.723
"3","Full Year",,,,,,,,,,,30051830582.0445,29546235134.1811,32514804393.3053,44326222096.9026,47287210537.3255,52144127399.204,54837278210.8716,62947498042.1502,70265937354.0771,73003340331.2803,78254055376.3789,86397758416.6916,79402020830.3761,69439846613.0581,72089283751.6422,55195683356.3111,61208777099.8533,72583791772.3834,90344980624.0986,80012527011.3385,97065505447.7111,79881976456.2302,107079847175.86,
"4","Full Year",,,,,,,,,,,32058324609.6797,33591324374.7999,41955047287.7566,56473761450.5869,50665417622.1538,64919603515.7502,84166912093.3855,94148009525.805,122199158190.274,114799519186.035,111612316526.689,121315745122.955,108056068511.555,101697840275.826,87660758568.8519,81908043005.6697,89585870105.4029,105741317070.138,115516058152.99,108376064046.068,105137009962.241,111119917370.597,123852452707.21,
,"Full Year",120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,,,,,,,,,,,,,,,,,,,,,,,,
