"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Big Five",29993312707,31945138023,29753069568,30346592157,31747329388,28791249139,32842967690,34627617203,37288669184,39481622310,42900745026.2254,45976185336.1147,60156576466.4668,70094875081.1242,72879695389.0973,73955064530.1327,88529372143.8244,99099604893.9582,105264552633.32,107244143391.108,96938455561.3224,109466888590.19,105328351728.117,96470039134.8329,82023892386.7645,81896241039.7281,102881694245.343,112391466999.317,113267573443.81,123632452590.874,152890921780.422,114061638431.527,121882875773.232
"Large",35960786888,37864157273,35093190779,33829226700,31124696371,28535738215,30194250369,29073824093,28131511337,29678232189,36653830891.0772,35992223325.5322,42377121764.2916,60440967433.7873,71761355401.7276,82793153353.8166,91995502277.8181,105918270934.376,131036926743.743,126925333770.325,124154358794.358,119014640676.879,119093050612.581,99540488596.186,91792887356.8815,86046793421.8358,84461589505.644,89261134675.1613,105502640872.829,109008823230.989,112238221897.097,122348607210.398,123743636083.468
"Medium",28304563806,41243339793,34954992394,33954732784,32186662449,35189234715,30275743132,30248655247,30401001630,32560231774,31100530145.8081,38973137838.1461,39617299343.1713,47773666789.1194,48574312899.2097,58276034203.5866,61775625904.0027,66235453695.1965,76970653815.2451,81936026305.0939,78499611370.0274,79508573913.602,73851317541.3049,61864993249.9604,55327460932.2459,53187932780.1124,53735627590.5175,59187119758.7551,69705552048.6152,77578826983.7341,80893253941.6404,75677618783.9143,86466970319.5012
"Small",13434309635,19368531588,17618999024,17645725767,18075942350,19041220687,19347310930,17934266701,17287313973,19013255479,20622919579.8267,21718823666.6832,26081056934.6363,32504802388.2557,34636879053.6753,43336159094.4322,45538711471.0466,49801517490.8353,54966239215.4389,59264309229.9334,58000101028.2196,56336618492.7451,56329327535.1296,47162095570.4335,53480597525.2223,52513238319.9196,56545292999.5397,59257743329.9273,70247348618.0209,73264343703.1215,75799768183.9146,74219775572.5692,81965224787.248
"Unlabeled",12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5788506977,4097788635,3857386043,1451694736,900460863.45,1333268377.3601,1578466717.5624,718775820.0504,1909714305.0791,7302949843.9221,7325966314.1613,7098633566.5433,9749727339.6583,6185568090.5255,4811342087.0799,4239194287.7461,3034383238.4543,1543435791.2686,659522423.3848,540236205.0285,737581287.3478,518382042.1777,232705770.1764,370959641.2267,779333300.5137,756248599.2491,261985085.754
