"SubCustomer.platform","AnyCommercialText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Not Classified
as Commercial",,,,,,,,,,,34167200909,35587628766.4063,39412403815.4638,45679579618.3915,43320062634.4206,45895959300.7192,54527316564.4606,60156713784.5562,54574561250.4694,58294718272.6897,55950303069.4301,56996007969.6549,64296835173.7534,48953014204.9776,49792530323.1,47191130088.308,58311052464.4936,54103642836.0226,63624076205.6799,67141095969.2698,67405699173.2677,67116324750.9315,66379326407.2577,40187729431.6441
"Air Force","Non-development
or Commercial Similar",,,,,,,,,,,0,0,96463622,152546003,395301215.2901,133173392.125,27481406,28084285.108,46336957.4173,37948239.1178,46986030.5986,227243886.9732,235708812.7472,82389110.695,24938242.39,18097153.0054,10529618.8776,914700.1268,443717.6308,35946.4902,3186519.3403,25084377.6344,36594834.3674,14241114.2032
"Air Force","Any Commercial
Classification",,,,,,,,,,,3791701534.9792,5045417785.2033,7894253341.671,9725009435.5961,11341331902.0535,9550824010.7333,8584645581.4081,9692339035.8169,9029759557.8139,9477552241.6944,8908396644.4646,8248211041.3128,6960800411.8039,6027087360.5185,5990987135.5482,5751628771.2103,6766531351.8695,6899287061.079,7717907944.8427,8705096176.1071,10608308048.443,11912300781.1055,12554007902.3319,5502274079.5627
"Air Force",,41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,,,10763955,,,,,,,0,,,,,,,,,,204072.7031,1270102.8433,,,-96821.0594
"Army","Not Classified
as Commercial",,,,,,,,,,,33175477467.8834,36081259056.3828,39070820548.8458,53046233336.6,59347808010.4542,81315558346.7188,82547865895.3851,91210700553.7705,118287941877.891,122073841529.072,117601584919.855,104810893921.307,91960941622.0607,73684607240.5115,62842732660.935,59572352637.3929,61522357113.7479,65140682695.4036,77424173353.319,79599111795.4628,82328507818.4276,65154068929.5851,69127093751.285,36338810782.525
"Army","Non-development
or Commercial Similar",,,,,,,,,,,1319748,-326562,66788370,97672809.4297,322399610,560522486.2422,358187275.2813,625933881.9439,736925148.0199,541068780.7401,142683653.7002,212299272.0439,267919169.5998,227886363.3714,74259354.6449,44031086.6887,54646283.963,20866051.5345,105175015.7143,101682448.5087,-2040216.336,145468.9089,-3434867.515,111559.6484
"Army","Any Commercial
Classification",,,,,,,,,,,3655689612.8933,4474549087.1572,7041221497.1631,11062641628.3075,16387229510.5834,13751348879.8751,18772123050.2201,26526079622.0265,34092641936.6956,24571239516.5591,23433819538.7999,20487733706.6731,16749418999.6892,13212081084.9988,12526218879.7042,13104355730.1829,12790542600.7946,13445691331.1892,14018411528.9035,15399297769.0027,18329721384.5324,44714622908.1008,43521228437.283,8092362846.2445
"Army",,22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,,723958.7002,33600,43078.5103,0,,,,,-100,-16520.32,-1.11,,0,,35878.5,32130,,12882973.8295,42904827.7756,34933135.8281,20626172.4725,12038080.1278,5006799.7713
"DLA","Not Classified
as Commercial",,,,,,,,,,,3999495821.298,4428776959.7583,4866490814.8973,6327648200.7879,5952507045.3741,22207613098.8423,23032741387.6714,10926781479.3525,8627182181.5642,11195573440.8588,13163928252.7475,13183717740.6792,13608508094.8106,11442316638.4126,12077899210.498,13745310050.7402,16438127059.0322,18274016167.9503,22529039230.1496,22516016982.0153,19578759758.1911,16150180122.4113,17708270941.6084,8426278036.1984
"DLA","Non-development
or Commercial Similar",,,,,,,,,,,24935010,,56160,8006128,2269047,13605860.5,24234661,49730045.8701,45876418.627,21471821.8642,22838707.3105,52176061.0384,23133492.8503,125045017.83,15332494.56,26228299.3504,10327549.8218,8514832.6742,24969463.4404,-2042510.3701,12602145.2578,64812798.2242,12679586.3808,14845557.2737
"DLA","Any Commercial
Classification",,,,,,,,,,,5556183332.3198,6997694567.0318,9724749053,11343338363.5215,13664863852.0576,5693585325.6302,9541925887.4064,19663301336.2326,27046226112.811,26808524254.284,21761416153.9426,22920784582.2209,29558367641.924,22202238959.1893,20189843309.6169,17089318581.3999,13793171591.8253,17054435924.3491,22920273703.1981,21679390981.645,22359380671.8633,22915154424.4702,30431643816.8822,13055021155.2415
"DLA",,9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,,,,,,,,,,,,,,,,,,,21494,-737745.8633,9778191.0314,16067326.1762,16114643.4848,14316636.9267
"MDA","Not Classified
as Commercial",,,,,,,,,,,1372578894,1669843229,2458962103.8281,2619690652.3438,3320365254.0001,3768655020.1563,3413408829.4842,4812450399.3368,5665058032.445,5493856728.4924,5236754362.5944,5317961275.1458,6850619285.6596,7685922383.4316,6035561981.5689,4672877628.9347,6563960743.3524,5378976320.931,8243243649.3469,8735712716.3095,12246726495.7826,8738606041.7127,9764718323.827,4738689485.6343
"MDA","Non-development
or Commercial Similar",,,,,,,,,,,,,,,,,,,,51312235.1602,5e+05,,,,,,,,,,-1007.98,,,
"MDA","Any Commercial
Classification",,,,,,,,,,,1301022,3167673,27002767,51804452.75,62557695.5859,73091282,79218294,116579183.3834,95204838.6241,128253786.8852,119697404.4413,64185257.2336,26383148.1636,17086448.5319,15285505.31,15622163.493,25120862.6686,34287538.6268,50057987.0879,77026977.9735,80492323.0204,78259983.5549,76349000.0678,38715531.7122
"MDA",,,,,,343747860,251594273,300305090,388928264,552081489,925862742,,,,,,,,,,,,,,,,,,,,,,,,
"Navy","Not Classified
as Commercial",,,,,,,,,,,38162302273.2196,39620067732.1989,42689066814.3982,50341249249.0217,53265710575.7012,59567618502.9935,67813535461.0086,76313070921.1921,87669448435.9021,86709785719.1468,80241955843.6093,95943891257.5294,87946941474.5244,87736562134.6864,78119497069.6506,78439781863.5465,86578215001.1936,102877890421.018,100960315442.081,113891288597.192,141818806336.78,103164356238.909,115244436989.557,70497004179.8024
"Navy","Non-development
or Commercial Similar",,,,,,,,,,,,,49690772,533648384,287858345.25,237196293.75,96580265.4045,3982736.2851,11657089.6929,2409556.5539,41044379.4955,398019612.9663,44811839.4983,38029066.2519,39009352.5426,26633111.401,30193047.4454,13561319.8376,26729499.4712,27810959.0586,12530350.0626,13623111.6488,92693.9786,57012.8599
"Navy","Any Commercial
Classification",,,,,,,,,,,2314272705.7397,2589179236.6423,5032730828.3476,5973518635.5406,7266692375.5804,5777381223.7425,7048738162.6409,9470259353.4209,8746010991.4647,9040548735.0578,7814589965.1818,7706556669.6649,6620213799.5622,6223635414.1589,5969658968.8887,6417311433.197,6365383890.7008,6571762902.5951,7218043480.4063,8075766128.9158,8468851904.6269,8456417510.5305,8625403929.7656,4228802912.5105
"Navy",,43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36315651254,37912327660,37471174500,0,0,23064198.34,11111831.9102,76558,614416.0625,14326.1598,4000,484171.875,1555865.8,-7935905.9399,417165.57,317883.2002,158791,0,1435443.875,764297.23,2911392,41700493.7109,1869421.0104,2119632.5313,21130031,342491,52177.29
"Other DoD","Not Classified
as Commercial",,,,,,,,,,,5124083333.953,6275910926.2965,8264605979.1758,10703281158.7207,10222388770.3923,12874735809.0662,14002834462.4562,13485834393.6308,17731941615.158,20674062579.5771,20111499290.916,22832174332.7942,22613294626.3291,20528300800.805,21149436649.4666,19956469040.6976,20593568342.9157,21553036860.4674,23182484244.0706,25715299410.7155,26455672703.8415,25814830680.1692,27029957212.1186,16890250194.2145
"Other DoD","Non-development
or Commercial Similar",,,,,,,,,,,5400,4324,17944654,17306067,103595757,9801914,10447743.5,17004808,21920973.9482,11004235.2612,134115500.0419,175932802.7689,149958888.5765,111012147.0852,124308597.2451,3462144.6209,-617116.0118,-663050.9494,-5363995.298,-108740.5397,5306681.2383,3935722,5507470.25,501475.04
"Other DoD","Any Commercial
Classification",,,,,,,,,,,831939441.1014,1219741804.0587,3063408330.9977,3838758478.9055,4498938890.0456,4232075862.7331,5283878857.3659,5054630760.9825,5558922156.9846,6420416591.4132,7679878762.3184,8987709406.696,9722256290.8338,8283679176.2258,8297418935.8593,8108360660.08,8507878794.4719,9236031500.4822,10859554990.3557,12148096656.0525,12840396650.6132,12682708293.4869,13778320405.1454,7955572223.4817
"Other DoD",,3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,,0,,0,,,,,,236756.7578,-171212.1797,,,,-558047.03,,,,1680331.5118,587310.5104,490300.3806,632924.625,,
