"PlatformPortfolio","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aircraft",1.2e+07,-2456382,,,4095000,15151991,139945505.39,456065507.39,26882453.65,69975938.93,24244803.27,42165650.19
"Electronics, Comms, & Sensors",2358098,1136000,1118000,2131800,81573195.4,269947923.24,735818973.8,851863707.27,1018802944.81,1090495121.9,2254721615.33,263394122.6
"Facilities and Construction",,,,,,38076,3250215.47,5885710.43,15220614.89,54211804.26,59459175.78,-1486728.82
"Land Vehicles",,,,242871013,172456428,310034438.71,95938894.91,157498288.3,173475467.55,113872998,57687985.23,90544.79
"Missile Defense",,,,,,,,79948980,164193402,239101539,429224933.8,50819960
"Ordnance and Missiles",285893757.01,446685336.9,501648660.82,579220498.39,946511490.71,2166459171.64,2807329764.13,2587690747,2167354026.94,1636760006.64,1547941201.64,153494175.31
"Other Products",,,,,57335,25981140.04,134059084.94,131780525.2,465404468.74,314663002.43,576789050.78,27941324.29
"Other R&D and Knowledge Based",40307917.72,78194129.7,192116656.86,608933018.91,910794872.76,1102650839.84,2411777510.58,11316837286.63,9513377624.67,7241890545.6,10902539385.05,2362204414.74
"Other Services",,,,,,,,4655556.85,657827090.72,20404883.87,-359173171.52,1579654
"Ships & Submarines",,,,,,,,16050000,17718734.32,23467888.65,45173911.59,563100.51
"Space Systems",,,,,,63645648.71,883296139.57,726864400.05,446489364.75,175793784.14,141894506.3,225621152.05
