"Shiny.VendorSize","PricingUCA.1year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","<=1 Year (All Types)",,,,75016000,,,243000,981884887,859669479,1501248842.27,5004904243.7476,5217651975.52,7153162522.1914,8481046838.8479,8562167083.4186,8930804078.4726,10085470168.7474,10141533368.3703,12957319054.1075,12143947472.7056,13421496623.0041,11634777478.2087,12528690178.2203,10689322385.8726,9198561384.0992,10434744956.1201,10120610717.7804,10933928352.3536,13724122411.4609,12076172542.2431,11258227084.5655,12506402277.8856,11313417508.7971,13234480139.466,10950188068.8333,6397687229.39
"Big Five","Cost or Effort-Based",5010000,3147000,20831000,558758000,,,0,749562324,862854983.07,1212024090.01,11698364186.2648,11793034624.707,15707375686.5033,22563888193.9508,23128879609.2355,25559013392.8062,28051565178.5253,28368269689.0581,24163947488.5498,27616016044.012,27103390284.0658,26196865389.5318,21663937612.218,18363807697.5626,18212412095.3984,17177481281.7349,16326323181.5642,17146399115.9173,15700246367.4558,17875782704.6477,16436489746.9067,17472651966.1766,18611751154.2579,17898426135.805,19839027663.74,11164447559.66
"Big Five","Crosscutting",30139890707,31957788023,29952187568,30346592157,31747329388,28791249139,32842967690,35127856155,37907550697,39991848369,9603546756.213,8943693503.88,7816608337.6016,8231139801.63,10464673143.8,8580903019.5118,13294975825.9194,20896125322.6013,24775186137.0006,24529071495.1561,10716108183.5176,6158937587.882,19858662109.148,13302676575.9591,5420076947.4307,6066076339.3479,17541179256.7068,30764221430.2452,21901653888.9266,19415987589.4984,40248947883.5021,13734902205.614,21426924318.603,24035148748.6933,29061619532.24,20783059683.97
"Big Five","Fixed-Price",92489000,173224000,155996000,,,0,0,1630750401,2559253289,3133587859.67,14250579870,16582248022,22323803286.0963,23558772153.6994,21572707542.6077,23090297102.4838,27601672659.7419,31351039286.1432,31460930932.6967,30722294479.9998,29439819192.0706,31435241142.9768,26763086904.7278,24403465793.2884,20430471933.3696,20426559432.755,31059050988.9261,28342926114.8825,26496222402.504,33636007380.5521,43095902502.6799,30756331404.664,27905820250.4262,43045713771.5642,30449137028.83,14785126555.48
"Big Five","Incentive",32334000,23441000,2320000,14309000,,0,,2098160491,1748075391,351849222,2345427489,3462659029,7246873018,7277889204,9153633543,7793996690.62,9466401875.41,8328015167.547,11908574191.6197,12232955359.2777,16257610182.5609,34073689684.3141,24686845942.5313,30196668555.2897,28764078205.0756,27985013071.1228,27946909471.3032,25474030384.0407,35722467851.4467,40136454264.3187,42174548474.2583,39867049221.5884,43033708540.2344,61169771981.7727,44410217864.92,30624398872.84
"Large","<=1 Year (All Types)",,,,33000,,,148000,856898816,1596181413,2487742598.44,12994964723.5349,11548775371.6384,14013979430.1847,20575238393.0045,23767260228.0262,28706650175.4999,30280301666.9465,33729193818.8622,43758746227.633,41028368961.7515,36894424427.2247,39215484224.5656,34794339958.5728,25592214903.6882,30487870147.3541,27500781619.4657,26698234443.0543,28358251502.6453,33047134402.5243,29171352644.2223,31969620290.8502,42839318110.512,54302486549.623,34216221500.9744,34733348511.0378,16382852363.94
"Large","Cost or Effort-Based",22503134.53,,4929000,,,,640631000,522219190,917418860,624819022,7973503212.6506,7635928414.3868,9394092327.8865,13502827890.5467,19361512311.7601,18939867058.7813,21882938797.0796,23292707256.17,25406287403.4799,22736657660.1772,28949358002.546,30656980968.6013,29936189160.6966,30195358888.8965,27260470143.0699,25492019978.3793,24894878788.0679,27624920018.6573,24943042785.7132,27963776831.5278,27676051585.6774,28456727730.9599,30545890613.7597,33814943844.3137,36931219979.17,18872679059.04
"Large","Crosscutting",35960694888,37863506273,35092959873,33829226700,31124696371,28535738215,30194875969,29205850201,28258395785,29765598786,3447377845.5118,1703207009.92,2292190753.12,2796147800.3941,2335939783.5,3249594228.221,3855337238.2775,5679921786.3069,9439765274.1474,8136186761.823,5100990434.3917,2630935551.7001,3387138939.369,1455662229.3513,1867945017.9386,881676665.7677,4367933113.2926,2642806247.8423,11211030368.8634,7568857075.8475,8563889727.8666,2274657721.721,920184121.9966,3260383689.0697,3770442269.84,912635563.94
"Large","Fixed-Price",174588000,56136000,85680000,28500000,,214000,5774768.51,1422714089.2,1174732323,1558360901,10440822127.3799,14348051236.54,15797600918.5194,21700068503.735,24082469914.0935,26285141830.8957,29393122182.9757,35695237453.5079,45204530790.331,46532376783.1841,43585573645.268,36738110742.1257,39576832288.5309,33081471963.8451,23809679931.7285,23009477889.1235,20113163567.2749,22255985496.273,27805970350.5714,29517720426.4466,30554689966.5355,40666337243.0434,32121876529.7977,28340311737.3147,28586937473.0541,15070482741.32
"Large","Incentive",,,,4700000,,,,525999309,960560381,826069912,1774213052,938382372,1146592815,1878100617,2032866333.6,5447894935.44,6532386760.7271,7552732327.9396,7272741068.6108,8501100544.8515,9553726677.9209,9002171018.7304,10197381578.2039,8900298813.7122,8344712846.2964,8584675298.688,8357732897.9911,8744238368.7588,8232254440.4541,14893223586.2857,12641862446.298,7839595083.3891,7701187127.6494,10940826434.8169,7203137728.03,4835467485.09
