"PricingUCA","SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Other CB","Products",6513769396.4375,10507941617.2188,9562627225.8099,10469525461.7911,12574857758.6896,12092697238.2144,13161841268.8854,13025327973.5558,12814310050.6883,13030410936.9839,13162173315.3269,15147915845.8773,14241262576.4331,12374053794.0901,17732244990.0306,17620623146.4159,17717433126.7292,17731747008.9495,13621076395.4179,15287533107.834,17266800012.7943,13652729992.482,15615392767.384,14592254986.3846,19405206830.44
"Other CB","Services",13445590250.9415,12440402261.4594,15279365182.4309,20020401441.5495,26673243664.8758,26722523150.3171,28885863928.37,27956889834.1425,30658200415.0513,32825971456.4472,37160372378.3152,41962152356.8694,41256850669.6969,42005278625.0978,38402270325.2427,38371424338.8482,36391492310.1355,40104403901.2089,40379511099.7579,45000913799.9764,46522354572.0242,48309836399.1912,49871932852.5629,53828484657.8607,56323031924.68
"Other CB","R&D",13962246259.4228,14132766441.89,16243156136.9595,21393580271.4472,22089153491.1938,24433102486.5368,26359953829.8537,26904247171.2341,24723137907.3606,27260481152.6702,28414687100.8316,25863797432.9345,23855274969.6027,20460671676.0896,19235613585.8004,17959874094.3966,18328418278.6334,19316790194.2826,20457476702.6525,21192568044.4971,17415101378.3903,20631058122.9189,22191526722.8691,24827940456.605,24664848443.75
"Other CB","Unlabeled",1968247,1506412,9236544,16133355,1436950,431106.3301,9419920.8799,0,-151143.5506,14525.3795,-2907.3301,,,,,,0,,,,0,0,0,,
"Other FP","Products",352966475,514207712.5388,857430743,1034643226.5,1443552010.8003,1491349694.1175,916423634.7701,297769498.1608,1578450706.6445,496314225.6912,258950493.0971,93954126.9499,115109320.3202,81781673.3492,-4290213.0797,16076982.7546,35114868.3173,84366022.6525,101289370.6215,461962986.5428,568753755.414,436149212.4472,597856323.9826,257400182.7926,193634467.93
"Other FP","Services",505285791,987370106,855343916.64,1025034872.08,905327746.4784,933511559.6997,1420253860.0505,1388648271.3747,1102017141.8163,1286402816.9136,1566271722.8831,1845169280.5351,1098077208.0287,564942288.0733,472432023.6379,524654798.6309,521869859.0182,405776957.6433,339148366.6661,319275007.9768,548821417.1319,780665180.1344,445730813.1759,974125590.9298,1481255258.64
"Other FP","R&D",114567013,69133210,41000036,66495900,73236672,69474578,22870590.47,2018374.5999,23876808.48,26948901.4851,4508360.1641,-542060.0805,7615438.1465,8014355.4081,4171063.9592,992856.74,-1367545.5278,235578.0234,-174210.4531,3267785.2188,2756722.7188,860598.16,1429259.0626,146533.875,0
"Other FP","Unlabeled",,13342,,,2885.2,,,,,,,,,,,,,,,,,,,,
"T&M/LH/FPLOE","Products",273063414.0913,338869135.445,401271075.5234,528160391.4866,501124242.9962,734037253.6085,1151213186.2592,596742549.391,1448064862.0567,1831940149.3225,1380298144.5025,1652422933.7811,1206160883.8138,202946600.7618,131117876.3989,132225287.0514,52641257.5254,45186829.0609,43640859.2425,72713332.4346,143950264.5566,89995815.1169,47953911.8422,58001035.387,94445248.73
"T&M/LH/FPLOE","Services",4433281199.8362,3998748863.4497,5028738324.017,6771427164.2903,8516140756.8523,9681509322.567,11878843873.117,13863543683.7914,15031394484.0218,13927375576.7554,13792419510.2462,9175377736.6993,6673533527.0807,4448859173.6125,2735883970.0408,2293526391.6088,2648778790.0299,2969577256.5284,4459181588.6797,4088693954.8812,4072806067.8927,3554164967.2405,3540357610.5549,4560092598.0283,5066602101.44
"T&M/LH/FPLOE","R&D",443776642,524058654.2202,674969145,816246585,848101570.6485,1082253362.515,1077588231.5541,1047679906.7068,872288993.9557,611915792.7532,897573025.7385,565185035.9232,464030328.0633,289565998.0434,122746549.716,168413241.0912,177050163.2717,143099050.7293,100720578.1571,113454857.3755,138748806.2529,143644774.7957,180474721.9057,289593704.7404,365976535.93
"T&M/LH/FPLOE","Unlabeled",21752651.142,3205250.8653,36446887.0404,52492571.5798,2676800.9804,863359,67611392,-37033.47,-192700.6617,0,-24487.7109,-3.86,-2829.1001,-47572.2695,,,-1.07,,,,,,,,
"UCA","Products",7220600055,6995059721.875,4926270011,7074597623.06,8240114522.4791,8133250151.2931,7963229601.907,11780409865.316,9287360499.5488,10104381050.9099,15956286917.2972,10909778609.9692,18365823144.5623,12611092695.6147,5812544783.2509,6812910741.9093,19426554836.6308,32526563218.708,28401528022.4931,20738984039.052,43369023931.5147,18384465291.6416,21816035918.4226,26293291314.9084,32166704257.65
"UCA","Services",319357578,371648584,383748825,380135737,367744504.46,834613208.02,865912980.2396,1633573667.5536,2309086710.3731,2861005691.3012,4849346993.1112,2890880608.7584,4186112782.0506,2915092891.5959,1945153365.4589,1359617866.6512,5752189639.5996,3987559892.7583,9489825552.2587,8846196590.2956,7728295413.2777,4019270971.087,4529556299.0972,4578415237.0464,5093841233.98
"UCA","R&D",1637082905,3093480068,4131374141,2780700956,3358634346.25,3795255933,7311300978.7344,6986056307.1595,5781606248.8208,3657366490.1985,2586915050.3674,1050405283.776,785995202.7297,841664882.0297,491128418.5318,264735984.2675,518398916.3989,1002226415.8141,744331764.4491,2133554089.9205,1557776011.3631,1151313899.4307,1056184840.171,1970746290.2814,1801815746.5
"UCA","Unlabeled",0,7800,523464.72,21271.0625,,,0,,0,,-177796.4375,,,,,,,,,,,,,,
,"Products",6792047749.7345,2680130884.1511,4331516199.5872,5301948846.9241,5716919948.7381,4322021268.475,2993458394.1029,621060339.8827,3372605070.1632,1385280592.2809,883977611.3758,1413194173.0446,3302044710.9436,269216831.4072,371682156.5232,114116269.6944,395591475.9449,229316848.9024,0,0,0,0,0,0,0
,"Services",4974749803.282,3724985149.2299,4177495092.3101,3781821652.4914,3553114165.7582,3087794537.123,1715657556.8452,189424052.2424,1555299113.6282,482812060.4976,257784707.7643,200934891.1872,448112873.3177,406808234.4922,433554753.4963,503697527.9746,320548116.3669,898754145.0967,0,50903.5586,0,0,0,-39324.9492,0
,"R&D",497048628.7802,11054780.2795,744083.2604,906359,164524,776490.2888,2668020.5899,9299557.5,1204968474.8479,1442823305.11,17605920.0424,565405,1354425.9917,5329057.9569,16700299.9636,93522814.5526,11220608.9921,15722508.4837,0,0,0,0,0,0,0
,"Unlabeled",5474040.5279,2233679.1084,-4323.80469999999,150653.9198,-2500,18222.0302,627730.75,0,-8105.15,298015.6198,-1421.5,-179.34,,,,30000,1738.23,1357852,20204.7109,0,10000,10000,,10000,
,,,,,,,,,,,,,,,,,,,,,,,,,,10000
