"SimpleArea","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Products",67336104.64,13270461,-1320382,1977295.89,244624801,219930669.1,479062468.04,579939887.13,946973502.77,1409196643.42,1074298265.93,1193326161.83
"R&D",405648534.72,326666879.73,524299944.6,692906021.79,1187333627.82,1853556666.47,3314278615.88,6490324286.93,14847864768.36,11789222367.01,8908711005.82,5423573221.81
"Services",1020957,622432,579522,0,1197901.48,42000986.3,160193150.26,348151914.73,540302437.99,1459620002.11,997211964.93,186607536.12
