"IsFMS","ProductOrService","PricingUCA.sum","PricingUCA","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0","Products","FFP","FFP",,,,,,,,,,,28356319.3501,33609717779.0897,42894143364.1945,55478185298.303,57257849297.3812,69691196860.4727,81498072695.0986,101179962198.23,117018017477.125,97567756503.5644,20708539535.7547,77962998245.5839,71638795711.2274,60234731943.1992,60835525459.889,62570084862.614,64826611769.1386,67531274965.3411,81255633622.8781,83753804089.4673,81488290102.6161,103533347711.863,107280747144.024,46834473275.161
"0","Products","Less Common","Other FP",,,,,,,,,,,0,6851237033.5408,8150172585,9051108397.1396,10883753620.3522,20670136408.4211,18541947560.021,16003338060.1265,22944354265.2588,23871388381.4265,3318467509.6373,15846551833.505,23002247023.6136,15328115663.8257,9181881784.1817,7083701771.5912,5851804747.8194,7318266124.527,8299963369.8068,7562796102.3127,6830821018.5543,7687749587.6613,13125826136.7905,6870616604.9849
"0","Products","Less Common","T&M/LH/FPLOE",,,,,,,,,,,114928,330121897.46,400626070.5234,516192275.4866,494747313,721140280.636,1139864447.4143,593438991.0371,1438370366.2646,1828094659.2774,259739763.8947,1509630948.3275,1189923847.3213,175880585.7618,115465042.9995,123450038.0202,53060482.3041,45225469.9061,42571505.4794,73835740.8136,143934580.1876,85446802.0661,42709295.4284,33322360.119
"0","Products","Incentive","Incentive",,,,,,,,,,,0,2792034077,4957971338,5735995677,7185328970.75,6506043500.2407,8840130228.3929,6215997405.2027,11589665959.6589,11964433491.7536,1674120955.1485,21593651789.8591,29132113417.6115,35065945936.4376,27375027666.6157,24672679578.1327,20727164558.9941,24303266365.2216,32371317689.605,37791423926.7426,37242714065.1132,38145971879.9481,36011549809.9525,22889006663.9402
"0","Products","Other CB","Other CB",,,,,,,,,,,34666675,10470345896.2188,9520561157.8965,10398428901.7911,12543332325.7896,11836134818.6719,12874400305.3446,12784628923.3865,12728005497.3952,12829283025.6013,2082375950.7193,12563561793.0043,13829822233.5456,11658968110.1424,17162764346.9609,16655288799.8554,16402112892.3602,16283740752.9766,15409418114.1536,16296866494.1184,17507895605.121,14022886887.525,15893590831.1225,11249233152.6671
"0","Products","UCA","UCA",,,,,,,,,,,,6727577794.875,4918373723,6912142852.0601,8198540011.4941,8014229196.0127,7468467702.3747,11317861685.8522,8717951919.9868,9713256167.085,1654015319.0619,6274596770.7805,11621434905.4674,9186361586.3631,3393497699.4785,827048977.9545,13670864732.9851,23615489368.5598,18798764894.4401,17210469840.0809,33462045833.0204,13220764945.1637,7532831964.6264,8551488474.7586
"0","Products","Unclear","Combination/Other",,,,,,,,,,,,120105,25491254,25189000.5801,41228253,125039132.99,465274113.1933,5928072345.6476,9244985482.6736,9705256380.6861,-224067176.9926,-190324.1403,-5028543.4772,-3257683.66,-2637993,-256.69,0,0,0,0,62886.3819,0,,
"0","Products","Unclear",,,,,,,,,,,,3041866643.8345,2673685021.6871,4320306186.592,5286614876.2739,5696435776.7381,4251006523.865,2691221756.143,621084891.7976,3372641591.2053,1384295494.3977,862802300.3703,1260831747.8679,1269176670.5398,122943100.8823,231661692.1436,120585353.0343,49139333.299,262857412.5522,0,0,0,0,0,0
"0","Services & R&D","FFP","FFP",,,,,,,,,,,14261331.1299,32947155285.5758,39471448775.5246,52313330878.2661,50937466674.9214,56890291470.8002,62096356017.4503,62587437873.7991,74200104293.1414,86956313875.0488,20582488066.9137,79717441720.3044,86773368660.6215,72183534464.8853,75080747596.4116,69278528357.2923,69934100574.6288,73441432090.2546,84394123098.3721,90714153763.4815,108261809303.535,93890304507.3851,102179467217.208,56915388454.962
"0","Services & R&D","Less Common","Other FP",,,,,,,,,,,1240251,3070810798,2145291470.6406,2492890893.0938,2903855185.3336,3874073092.7619,3288283075.5131,3013210530.5871,2446299544.9185,2188966183.2535,1242032639.6662,4502137331.2016,4815981157.5672,3164965270.4744,2739953828.0501,2204922453.5151,1862366772.79,1896941085.7461,2275559659.0868,2912900912.29,3085837916.8205,3543536369.3085,4679774301.231,2936193717.626
"0","Services & R&D","Less Common","T&M/LH/FPLOE",,,,,,,,,,,115451510.1345,4501918670.2988,5650751628.1358,7520757824.2706,9316953600.5011,10711449565.7824,12891795037.7997,14730542987.4511,15843235231.1752,14447260509.4218,5022341401.5716,8630959972.9838,6943926704.6405,4529760762.8686,2780355287.8819,2280470863.3102,2673603600.1214,2970742083.363,4400551252.2224,3974413760.4407,3945069938.4093,3450529897.565,3513225191.6371,2757620345.0987
"0","Services & R&D","Incentive","Incentive",,,,,,,,,,,417468,4166106526,5065429722,5402731681.0469,5912737125.3457,10560034891.4765,11553943577.7544,12486229189.7118,11169516360.1876,11369096408.2275,3624043107.3752,9471733798.6097,12954840099.4638,10430906528.1003,9893229369.5017,9181816678.1773,10482037535.2684,9625416467.7064,8888447945.3781,11219550927.7807,11435818600.9277,13953310300.6507,12150575424.4719,12306288668.1866
"0","Services & R&D","Other CB","Other CB",,,,,,,,,,,42386083.54,26467556952.5621,31310181767.6028,41274765862.7511,48540686912.0382,50857402414.7469,57823623996.9012,57028781693.6173,57779004499.4617,59845467919.2265,20433176706.6327,59057383175.3002,63413642485.3473,60548868668.322,56248435908.8187,53832416594.6863,52259162082.6007,57309191512.7827,58226430941.0872,64311064850.8974,61162925740.0137,66229500713.6947,69021301183.2975,45222234459.7534
"0","Services & R&D","UCA","UCA",,,,,,,,,,,0,3371215783,4454370870,3108551422,3713070262.707,4369546987.9156,5432051054.6367,5862662921.3107,5374770794.1671,6227750923.0068,1250297963.6276,2568089386.1308,2840371879.0662,3442039781.8956,2015254017.0307,536250807.039,5538832008.0604,4016258498.3956,9780096886.7968,9660720071.4228,7932349503.8477,4516007819.9556,4161373304.3488,2871775654.0888
"0","Services & R&D","Unclear","Combination/Other",,,,,,,,,,,,206146491.0996,40015696.7305,177347900.7774,453912245.2081,916007862.9942,3337172649.5424,12682623306.5743,17788941449.5492,24013941856.424,155474762.4942,214487680.6815,3466965.6674,-30134460.2491,-25623324.2813,159357.2099,,,,0,,,,
"0","Services & R&D","Unclear",,,,,,,,,,,,2568323938.4034,3725767451.0665,4162984968.5699,3768674682.5221,3540830587.9182,3079458154.4918,1715985743.4367,198755344.1879,2757436866.5921,1926203503.045,148234239.2812,202057478.0842,445944670.5911,423932374.0276,444377956.6492,605459300.1786,340551662.9803,958927782.0903,0,50903.5586,0,0,0,0
"0","Unlabeled","FFP","FFP",,,,,,,,,,,152012.7486,2708618.2691,37279355.6404,6714939.7319,2964059.6022,2483962.762,20853329.1778,18042618.5187,748090.0618,673627.1341,-27554.0701,-105169.6313,-3648.7,-52150.8511,,,3579792.2708,-245,,465885,0,376316,,
"0","Unlabeled","Less Common","Other FP",,,,,,,,,,,,13342,,,2885.2,,35030,,,,,,,,,,,,,,,,,
"0","Unlabeled","Less Common","T&M/LH/FPLOE",,,,,,,,,,,2378899.6964,1991250.8653,36653051.3216,51402546.1266,2676800.9804,863359,67611390,-37033.4688,-192700.6617,0,-24487.7109,-3.86,-2829.1001,-47572.2695,,,-1.07,,,,,,,
"0","Unlabeled","Other CB","Other CB",,,,,,,,,,,,1506412,9236544,6656444,1436950,431106.3301,9419920.8799,0,-151143.5508,14525.3794,,,,,,,0,,,,0,0,0,
"0","Unlabeled","UCA","UCA",,,,,,,,,,,,0,523464.7188,21271.0625,,,0,,0,,,,,,,,,,,,,,,
"0","Unlabeled","Unclear","Combination/Other",,,,,,,,,,,,12475,461178,37618,,5986,11200894,42000,-28097.4801,,,,,,,,,,,,,,,
"0","Unlabeled","Unclear",,,,,,,,,,,,5329006.2975,2171639.4081,-26023.8045,145653.9198,-2500,18222.0302,627730.75,0,-8105.15,298015.6198,-1421.5,-179.34,,,,30000,1738.23,1345852,20204.7109,0,314555.625,10000,,10000
"1","Products","FFP","FFP",,,,,,,,,,,24150836,1377260379,1430938287,1168676887,1428836963.1529,1046530308.98,1598156024.3634,2798015381.5292,2234899355.1708,4066873989.2122,1664364130.286,9656390956.0133,10126191279.3097,10987015411.2982,6939037497.034,9312801172.404,12678010834.4546,12008041037.5666,9815417534.2732,15933045150.5134,22232700036.2767,12059736784.2534,8414666718.4875,10229646662.0966
"1","Products","Less Common","Other FP",,,,,,,,,,,,2440843,24604578,26133875,26285912,22693750,26024177,3967260.0079,8966674.4844,54598319.3777,984565.2583,518887937.7097,494351043.517,429048315.5199,403755320.0399,221121469.3606,203407593.8552,268922097.0759,340481590.4484,42086040.413,36698116.8439,68846980.2522,760288802.7004,43203435.0899
"1","Products","Less Common","T&M/LH/FPLOE",,,,,,,,,,,,8747238,645005,11968116,6376930,12896973,11348739,3303558.9992,9694499.3567,3845494.9766,2562887,15186970.7869,16237036.4925,26316604.81,15652833.3994,12410947.2322,-405061.2379,-112640.6934,-3745296.2402,-1680888.229,-298753.631,4323174.0508,3123781.29,77040
"1","Products","Incentive","Incentive",,,,,,,,,,,,32051720,21623555,10360088,,672587,7655429,4065188,11208734,21337931.4219,16926781.7032,66555296.6173,49051949.7812,209546431.5726,596650777,4114525211.8323,6625015261.2774,1901731342.3962,6320171298.931,9711790440.4185,8565517083.0887,-456966018.9954,5543393109.0483,20672265422.1417
"1","Products","Other CB","Other CB",,,,,,,,,,,,20385760,41918660.2734,70984906,31569966,256562466,287435815.3438,240160995.5756,91542316.7273,201127834.2526,123180086,524969680.959,410385436.8775,654300046.9277,569480643.0697,952191990.0291,1484180702.7037,1463603915.1633,909063057.6126,1135223520.0762,931581477.7291,829859708.579,802198167.4847,481703437.7914
"1","Products","UCA","UCA",,,,,,,,,,,25159328,112384147,139667843,162566494,41529935,119000926,494761907,462281069.1875,564156257.5,391124854.5571,1542075139.0713,2514257648.3742,6744270064.5949,3414413614.1216,2418906888.7724,2933651251.623,5651840942.9459,8908445322.3168,9594330877.6859,3748546513.4892,9973560814.7521,5029099946.6496,14288026586.8581,5324005751.097
"1","Products","Unclear","Combination/Other",,,,,,,,,,,,,,,,,,340432175.9,19112611,57209999.6563,,285402,-5023.5298,200733.37,0,,,0,,,,,,
"1","Products","Unclear",,,,,,,,,,,,129644120,6424404,11210007,13375694,20484200,71009366,302236636.5,-24560,648.460899999998,1627102.2422,0,152596707,2032982538.4302,146462449.2149,140080588.3096,197933652.6499,424480892.3232,-293039107.625,0,0,0,0,0,0
"1","Services & R&D","FFP","FFP",,,,,,,,,,,,246239175.7891,196347148.625,223352197,289179075.375,425849226.7992,432880159.6504,263655040.618,213641170.914,227858177.8195,480437647.2971,1068688073.9361,3776861823.2391,2150240381.9559,2699007681.24,3588767464.1558,3712735153.8989,2898131976.0479,3647137465.7185,2907153465.6551,2736815772.3624,2738585042.9916,3418607074.0515,2450830635.9337
"1","Services & R&D","Less Common","Other FP",,,,,,,,,,,,1265337,2214474,1609039,256189,1564190,0,364855.7285,0,0,-98076.2266,24826904.4751,6274326.336,1302407.66,3616549.74,5433430.3,17454493.4063,111731907,11736433,13156486.0001,20275027.6407,25952,-16365081.01,0
"1","Services & R&D","Less Common","T&M/LH/FPLOE",,,,,,,,,,,975491,20926248,50187188,66714367,47288727,52313118.3165,64637066.8711,180680598.8846,60448247.5522,92030859.3737,64782516.3269,224022878.3631,193991337.0835,141740924.2373,78302515.5149,181935868.0448,127605241.215,140995270.7458,160896257.3572,226588732.9845,236152374.4057,231650570.1168,209223865.0173,169068834.2719
"1","Services & R&D","Incentive","Incentive",,,,,,,,,,,,16167422,16840213,29533518,7417281,9600984,2007369,-5346050.375,8215074.4502,12763107.6699,385964812.9205,113898111.5312,84032879.4744,68932357.75,83547917.5425,364673016.3058,288997127.9224,607565511.9032,828200430.2316,1447942594.0411,1285581327.4124,1084225753.7989,996813528.9934,191101318.6966
"1","Services & R&D","Other CB","Other CB",,,,,,,,,,,54654401,127891927,254565323,174169401,219260363,552468936.1524,166589438.2998,553450501.2354,291811803.578,478214416.559,949247621.337,1324235619.0986,1680076409.492,1570487074.6254,1410795263.0644,2252139481.2781,1779875253.1803,1955166942.7216,2586755582.8441,1809737408.0241,2689578929.3154,2464055153.1682,2895169219.5762,2668500883.9184
"1","Services & R&D","UCA","UCA",,,,,,,,,,,5e+05,72335404,18418916,17331731,3217047,6076461,767259,25080296.0508,20732146,47715523.4687,60405078.47,218804142.635,2131736105.7141,315917694.38,421024116.96,49792224.543,692699179.5213,1051576146.677,602709337.6503,1399299418.1521,1393447247.2185,730701812.005,1412107010.5671,752947506.0039
"1","Services & R&D","Unclear","Combination/Other",,,,,,,,,,,,,,0,,,,30726071.2012,22781182.5547,55621832.5499,378923.3321,-37967.8831,-1388389.5982,-3865763.2398,-69687.09,,,,,,,,467462,
"1","Services & R&D","Unclear",,,,,,,,,,,,33662453,10287570,15237407,13716634,12448102,9112873,2339834,-31735.2031,2830721.1035,-568125.3382,0,-33363.1299,21360427.3584,5530748.3215,34655380.5707,17924125.2798,893730.1445,12711497.6192,0,0,0,0,0,0
"1","Unlabeled","FFP","FFP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,-233000.0781,,0,,,
,"Products","FFP","FFP",,,,,,,,,,,30298027885.9,150222.4268,10766160.02,3923.5701,,,,,13826270.5713,3938160.4102,78654930119.8979,6472910133.757,,,,1752676.77,,,,,,,,
,"Products","Less Common","Other FP",,,,,,,,,,,5010689619,,,642137.5,,,,,0,0,12432357548.4827,77012531.1263,,,,72356.3866,,,,,,,,
,"Products","Less Common","T&M/LH/FPLOE",,,,,,,,,,,272948486.0913,,,,,,,,0,0,1117995493.5978,129179940.3667,,,,556060,,,,,,,,
,"Products","Incentive","Incentive",,,,,,,,,,,3433200985,,,,,,,,0,0,12356958115.4952,11770706788.9243,,,,,,,,,,,,
,"Products","Other CB","Other CB",,,,,,,,,,,6479102721.4375,17333690,,,,,,,0,0,10956356887.6876,2059017174.614,,,,,,,,,,,,
,"Products","UCA","UCA",,,,,,,,,,,7195440727,,,,,,,,0,0,12760170459.164,2120900990.8145,,,,292500,,,,,,,,
,"Products","Unclear","Combination/Other",,,,,,,,,,,,,,,,,,,,,18820856.81,-758554.8064,,,,,,,,,,,,
,"Products","Unclear",,68380721115,73383395678,60090730088,60299705534,51512841085,49691607958,52193436723,49278780640,48098195391,51802770524,3620536985.9,21457.4609,,1958267.42,,5373,,,-25602,273149,21200237.0055,-234281.8233,,,,0,,,,,,,,
,"Services & R&D","FFP","FFP",,,,,,,,,,,28815537548.1293,3639.72,298826.4903,802560.3208,,9688.2402,,24000,587994,69331.8802,68619645985.0973,10600743438.6158,,,,1554783.9102,,,,,,,,
,"Services & R&D","Less Common","Other FP",,,,,,,,,,,1827871192,,,,,,,,0,0,2003100379.6247,559861525.4361,,,,1681457.875,,,,,,,,
,"Services & R&D","Less Common","T&M/LH/FPLOE",,,,,,,,,,,4760630840.7017,-37401.6289,2768652.8937,201558.0195,,,,,0,-9277.4199,9603028084.0862,886128761.4358,,,,190005.7969,,,,,,,,
,"Services & R&D","Incentive","Incentive",,,,,,,,,,,2177435829,,,,,,,,0,0,14714186901.824,7470065266.2837,,,,-246.48,,,,,,,,
,"Services & R&D","Other CB","Other CB",,,,,,,,,,,27310796025.8243,18314.2109,47741.1211,,,,,,0,-6802.27340000001,44192706793.1471,7444797537.2851,,,,,,,,,,,,
,"Services & R&D","UCA","UCA",,,,,,,,,,,1955940483,,,,,,,,0,0,6125559001.381,1154392363.7686,,,,,,,,,,,,
,"Services & R&D","Unclear","Combination/Other",,,,,,,,,,,5176200.8135,,,,,,,,,-11758.79,614619350.9069,22474744.6617,,,,147331.4063,,,,,,,,
,"Services & R&D","Unclear",,51969408290,62770798166,63315930462,61073676608,65649061640,66900406910,66255342375,66703371239,68867686776,70382265964,2869812040.6588,-15091.5596,16800,336694.9702,,,,,0,-4783.2002,127191388.5255,-599920.7671,,,,0,,,,,,,,
,"Unlabeled","FFP","FFP",,,,,,,,,,,111764.1201,150998.7002,140756.6992,190590.88,,,,,0,0,-19752.6094,-35472.27,,,,,,,,,,,,
,"Unlabeled","Less Common","T&M/LH/FPLOE",,,,,,,,,,,19373751.4456,1214000,-206164.2812,1090025.4532,,,,,,0,0,,,,,,,,,,,,,
,"Unlabeled","Incentive","Incentive",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,"Unlabeled","Other CB","Other CB",,,,,,,,,,,1968247,,,9476911,,,,,,,-2907.3301,,,,,,,,,,,,,
,"Unlabeled","UCA","UCA",,,,,,,,,,,0,7800,,,,,,,,,-177796.4375,,,,,,,,,,,,,
,"Unlabeled","Unclear","Combination/Other",,,,,,,,,,,48443,,,,,,,,,,,,,,,,,,,,,,,
,"Unlabeled","Unclear",,,,,,,,,,,,145034.2304,62039.7002,21700,5000,,,,,0,0,0,,,,,,,,,,,,,
