"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",31833667148,30446724255,31030982567,30739020865,31312889405,27652249318,30088932958.51,30307501250,33203098779,36020620803.34,35413855298.53,36119460735.8791,39025889499.1626,49245020025.2512,47802126579.3272,47282598635.3366,53944206261.5134,60467600005.3777,66727621101.0344,65849650949.3067,63613543271.9831,70408554456.7648,78210561316.2017,73620995823.1291,58243299907.6406,61740524994.5333,75458097997.4035,86356420018.5675,83993398279.1735,89880443247.0108,105289864886.056,72293290170.6676,75190979424.2915,97087898525.6191,70803937008.54,41385771440.56
"Electronics, Comms, & Sensors",20056740028.53,19744398733,19579055483,18614358124,17840328302,18935372536,18438756640,21994452623.2,22127165085.39,26061304461.45,20752433554.8069,22386855579.8807,25803646202.2489,31479738358.29,37532046095.0014,42233204664.3596,45201239370.3597,52452769362.7979,56949957401.2241,55339760226.2133,56099180178.7736,52378848389.7535,49574359579.3549,41517691985.8825,40881580498.5278,39557805148.8119,43329347031.5722,45865663976.7032,50962559294.2397,54933874063.0537,55379486824.1898,49671979158.9507,53600319822.2382,56403290342.7071,58146844104.9356,23125307153.07
"Facilities and Construction",12270146387.56,18546859868,18034998930,17269650869,20413419957.16,20253453482,20496894585,22097368058,22256433114.02,25642719585.99,20799929809.0744,23066281708.1984,26062764956.2649,34446873950.0982,35703133221.642,39560168282.3154,45549368633.1513,46197030188.0772,57289811092.6687,66364166614.9981,61236025341.1526,54581198029.4269,49007984692.1448,39519355046.853,42197614655.4973,38095138884.6941,38545539074.4664,38480051893.3859,46957728670.0224,52076314862.7224,60199257113.2442,51276701200.0085,57336683329.8192,64915296781.2943,66166496594.515,21996682906.77
"Land Vehicles",4280921000,6513488889,4169827450,4391855530,3619929411,3099414659,3682108068,4712839717,3946165607,5299615987,3395360125.419,3297789660.2609,4784757838.3462,9641512533.5187,8545490686.6053,15261772563.6108,16131747285.9201,28198596874.6629,39757216060.0822,28835130195.0829,25332224333.8185,19575557221.9926,10828673127.7275,7435113801.5888,5825472234.4273,7493772244.1363,7352399029.425,8259179595.6552,12665731962.3236,12919390944.6891,11753634626.5612,9682677466.2496,10820251636.0674,14534536560.3744,13712865514.2433,7038883895.4
"Missile Defense",4493109000,6783380054,5440650317,6509522213,5223252139,4527970932,4790278768,6223012401,6064798156,5179696452.63,3712993149,4009935888.4,5642874340.825,5825750978.0938,6850883253.5797,7241986679.0175,8137932950.5804,9598715469.6009,10357444323.9373,12248019705.5001,12410878346.5912,12082693116.94,12676566647.6782,12099741738.1587,9293494133.5078,10675878028.3043,10975434323.0138,8833249237.5575,14755738244.1553,15081953782.2425,20378112917.8361,13476285589.9655,15035342321.3875,13888597838.8381,14026979429.09,5985294638.14
"Ordnance and Missiles",10399846000,13591854004,12417659763,9927115218,8057990037,7865077208,8060286338,9168533717,10288578986,11750399074.01,7967724148.275,8474994549.3995,11442383339.6534,12782466654.0499,13235234778.1002,14091262916.2053,13651090437.2432,16656166488.807,17610345879.8083,16167191003.7199,14815235215.5489,14253124058.6975,14382664541.4263,11812268600.8085,11790205750.0985,12058818951.4863,15479871347.5807,17833777232.4115,20343585093.6363,22899175031.5749,22854209895.2227,20535332343.4112,19082858482.1756,32619034324.5858,35486377510.2,13638953249.35
"Other Products",10914125000,13706410115,9675044302,10551452583,8629385645,8571790193,9683594429,12422489000,10945019386,9492171289,8636765200.09,10224864678,13391908160.2411,15543175627.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35618854636.1993,29439139717.4327,29987721179.0583,35353479895.3198,26660379036.4712,24340029384.9638,21065394905.4149,19404060743.2575,21592088392.3687,25367009408.098,23213918475.9798,25597318174.2036,53375209324.7045,58547339525.5499,32836485328.8367,32319439019.0318,13492289259.28
"Other R&D and Knowledge Based",7783568381,7941110229,8818200450,8589186442,8483277454,8900619476,9336253170,10861073492.06,12465993555,14132252954.98,12423934945.0637,12424468932.9164,15837779626.0314,18425337221.3278,20538698310.7172,25425408590.6261,28721179671.8363,30296153197.6628,33793436149.5149,38519614943.2069,39961534982.9329,39730605562.5358,39961453800.8548,33931408862.2226,33317114461.3787,33043118560.0173,33263526143.4788,34993406923.4755,38689350207.3315,42364005233.0725,44087994948.0853,52189979707.7235,55016689993.9699,67494380984.9426,76248485619.8805,33649649879.84
"Other Services",4385928184,5642501985,4212521274,3076431560,4016084413,5278185433,5094354952,5936682915,6260095195,7836022358,6506896271.1198,7420418599.3494,10545115941.9841,16105347747.7887,20122322174.6054,22213036981.4812,24238830668.4184,24497884758.7179,27468028277.7697,30723657954.163,33024157518.5712,36792544582.1274,33864152089.5312,30720193694.3823,25679241583.7085,23029997076.45,23874254235.4478,26385508316.6237,28451192588.9657,29702735027.001,29575059025.7073,28823440556.7604,30675787255.7935,32097350797.9685,32847951432.6312,15244201373.4
"Ships & Submarines",10691711493,9519123712,8611054026,9546693472,7408709646,9669502740,7986152424,10692887574,11593416925,10676588934,9355821763,12404327288,12695551342.9298,12672639055.0506,14842821715.2183,14040438232.1252,16819203914.1752,17253476229.614,19353690799.1401,21502362107.6503,17560432635.8953,28388643767.3702,23822792650.8337,23148510363.5899,23827135602.909,21484151844.7643,24652199962.6787,27220706844.2556,31316882680.7664,33323312663.534,40096800397.2507,32018368298.9107,34380659311.2719,40072133032.806,39149757367.4309,21335674092.63
