"PricingUCA.sum","PricingUCA","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",381550134.53,292100000,582943000,743509000,1232649000,840052927,1019259532,7795260771,8962525658.07,10293547260.64,33924545141.8018,37080635922.5582,41092995084.2003,51897803585.7665,61337356704.7292,63247941068.5688,68417078975.8138,67883864687.3156,68191630703.7562,73096520087.5024,78965902425.9485,83296976873.8411,79816344142.0822,75490440720.3392,72378302933.9859,70233249952.4623,69261253104.6503,74934460952.7941,74379648593.8542,82249035206.2671,81325731118.9868,83106634317.603,87932462103.3317,93829120323.6396,100996518605.14,47631959089.62
"Cost or Effort-Based","T&M/LH/FPLOE",6923000,12035000,24291000,12250000,14685000,14824000,3498000,734653147.06,1364849024,1998871740.56,5171873907.0695,4864781904.9802,6141425432.5808,8168326712.3817,9868043371.4774,11498643858.9029,14174741719.903,15507117308.7404,17350040982.9547,16369367019.7665,16069735416.3557,11384884465.8982,8346936490.8459,4941359843.6485,2993290039.9096,2742170691.7362,2871120677.4901,3263876553.9397,4610726379.3604,4279946314.9364,4368895952.9749,3814271767.9249,3783874789.7655,4973962502.1594,5420499565.09,2406888275.45
"Crosscutting","Combination/Other",0,,,,,9193,,,25000,568000,5224643.8135,206279071.1,65968128.7305,202574519.3573,494081498.2477,1040686933.0404,3811455291.5949,18969812886.1547,27067059852.2499,33810739807.464,562755522.7399,236360613.8196,-3098707.2809,-29000677.0889,-28158395.0213,186433.53,0,0,0,0,62886.3819,0,467462,,0,0
"Crosscutting","UCA",162441000,33337000,188189000,219259000,125330000,144823019,116075000,1495684214.95,1004862990,1355134883,9177040538,10462176940.88,9443306424.72,10237292526.1225,11967828533.2791,12763901576.2956,16140443552.2936,20403028189.6652,17381494286.5692,16642775320.3249,24121035777.5306,15054628189.178,23677468079.7059,16419236120.949,8934126890.2047,9006415910.8101,25497944158.4669,37601443387.8127,38392384156.1316,31331259656.9938,52561758304.7162,23346948795.3375,27295695223.7072,32203682295.9831,39408607378.3444,23057788415.49
"Crosscutting",,120357596405,136160807844,123429193550,121374151142,117162147725,116602525046,118457552098,116452226576,117935258398.5,124041380858.24,12265783988.3246,6418404492.7687,8509751051.3534,9084827512.3348,9270196138.4963,7410590946.917,4712411701.228,819783949.53,6132975939.2611,3311243228.1131,1159366817.6687,1579403012.9308,3724330778.1915,497646326.6455,607316046.1428,410270416.9526,541217749.7023,380227198.9651,20204.71,50903.56,10000,10000,0,-29324.9492,10000,0
"Fixed-Price","FFP",336518082.56,488665000,432081019,480868000,205076000,257961809,818566680.51,8739499095.2,10654109108.84,16441330350.96,59182646176.378,68029133134.3996,84172927043.2771,109191257121.053,109917888362.608,128056315356.532,145648256648.198,166848058226.033,193684056293.58,188836443117.397,190320219217.446,185296473795.482,172059689512.301,147082159954.008,145158362806.064,141026775293.836,151033551960.284,156837575662.513,179959118012.43,194408303039.076,214195288774.101,211967396615.629,221239289151.061,229620345220.999,223438670719.693,92263804875.83
"Fixed-Price","Other FP",546478000,108922000,89937000,73492000,-3914586.84,42584000,167084000,210843470,198548215,545626682,6839801062,9925767376.54,10322283139.64,11572384339.7196,13814245847.7306,24568467349.4617,21856197845.2591,19020832849.1161,25399668368.9787,26114943518.5739,18996712347.7542,21554808995.1127,28337105757.8865,18960756509.7747,12329925891.914,9520513433.5626,7934101445.811,9697599565.249,10925092204.724,10533360472.3646,10010599380.4709,11288954329.1592,18507282624.9304,18574769196.1874,19078537124.26,6762118249.55
"Incentive","Incentive",573735000,30776000,506052000,153563000,201644000,485406000,124276000,4394747101,3191749972,1924560636,5611054282,7006359729,10061864831,11178620983.05,13105483376.1,17077930669.2951,20374961655.0847,18685945723.6571,22778606116.9706,23364130340.8021,32499771671.836,50206965238.8835,41831109489.074,44838078691.3659,41023078963.3686,41284508341.3415,41212668320.6087,39159231887.2116,51094613957.6616,60806420846.779,60072398603.4895,53449759515.1976,55593373088.2529,77919806442.7057,56946758519.94,26510868625.35
