"multiyearcontract","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
0,,,,,,,,,,,129525626608.803,141459787112.666,165927457936.408,206137299522.149,222739000226.981,255197250226.473,285339174795.292,321824014464.824,364821131436.691,365801454934.111,330907098308.891,331396163272.109,317695881141.149,267300405212.078,245378753273.461,237805699023.88,258477092648.99,276351429710.57,307084725226.827,329402774133.02,367062082787.606,329200436840.08,359748164791.108,187062296243.779
1,,,,,,,,,,,2652629198.1948,2533499985.7891,3858327137.8829,5139140178.1523,6615962164.4647,10273666507.5629,9646878962.5213,6276523110.0697,13027100503.1168,11809765210.517,12092224685.9997,15315750926.7872,17049154673.193,18078454944.073,14851361626.2159,12289703377.3853,13454166496.2544,14467086536.1016,15537222658.0298,18861729381.7359,20333285448.4247,23056919456.9015,17497320146.0309,12220823592.6248
,120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,230699.3899,351445.3813,24736151.838,256647812.0361,406994657.3431,192444291.8541,179124353.04,52943006.0152,139867807.5967,3944160642.3572,19404545846.1174,21854001762.2664,22891394841.2444,21202192186.53,23054245724.8216,24089039365.3588,26430526483.1481,29797330558.6671,36333872868.5948,35590902635.1895,35206130867.5577,34806532300.6761,37075207112.065,16717426534.3215
