"PricingInflation","SubCustomer.platform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"All Other","Air Force",1950016000,1582558000,1746772982,1956964902,2213242562,1793795620,1914650796,2039162704,2488338438,2966531216.67,2322073295,2383690586.8125,3138998340.6875,4075854283.4531,4417107165.2238,4861885872.4233,6504717235.3523,6456757821.5908,8710754513.0364,8520274257.6203,3794193094.8458,2562983781.8134,1797597678.9758,820765848.9763,595299096.7086,637541143.6849,715485300.7414,710658462.5093,730640935.7305,1190810730.3728,1341035045.5505,1233814211.2003,1376066536.0153,1764753813.8909,2064399933.9,981216187.33
"All Other","Army",462572000,709416000,858192985,960364276,535431827,1040281253,1115508116,1830402916.06,2084693289,2306816520.89,2141533929.6685,1993930963.7493,2730998843.1581,3407328001.777,4465183317.2482,6167516029.3917,8139210031.2453,14858851737.3773,20244750664.4239,21136308413.1277,10716888738.9905,7253061544.6294,5721423651.6081,3753024125.7959,2083263883.3646,1799587543.4775,1799744218.7696,2022080169.1924,3260295159.2932,2546461858.1925,2339111301.0309,1768226627.2328,1413900475.4049,1310477680.2176,1333121534.18,443073514.99
"All Other","DLA",25687000,91405000,17338995,17829500,4256507,23838584,24506020,47408404,38147497,34258776,51904992.7031,41819340,62463546.5,60436334.08,140197746.6625,157247565.9554,370959043.6931,877360165.4101,900345032.5414,995268922.1889,708104068.4376,587393268.8636,522004549.2291,62656593.74,53438927.1798,73338328.2234,96976368.506,116780427.4115,129000672.5169,161996287.1604,304757972.3311,291110653.4397,443302643.2241,655955921.3751,580567553.29,421484561.88
"All Other","MDA",,,,,,,,-502194,,,13013500,13010498,7314364.825,13181591,75925045.5938,135251952,207994268.5508,1396593212.6878,3513846440.2549,1724295567.7165,140241074.2793,117187056.9303,47250572.8939,25388580.2547,22972746.1629,25409239.13,18262036.9973,1133464.6837,5962332.4771,4434276.5508,576709.838,-407771.3332,-163565.2813,300375.6498,,
"All Other","Navy",909397125,987403416,1088184566,1024157987,1088285747.16,1199400236,1081532239,998509112,1059040500,1387680112,1216518199.7397,1525502537.21,1466475397.9898,1751923372.7598,2068635699.1883,1846880125.6646,2473726323.0154,8558696554.4865,12085946647.4986,15669404662.434,1502671119.3083,1716512734.9954,851902082.1881,601636996.447,474585514.1705,459789954.1549,377769151.3841,328714419.8232,255487510.4944,411110734.8695,699076534.9435,785650863.9253,324846812.6949,833265965.7358,1249636296.17,418999732.43
"All Other","Other DoD",63124000,196442000,219301622,380371304,881115529,485174172,397025758,426037615,694100727,645976770,636884662.2423,789054162.8484,666030715.0409,1232034091.2491,1669540023.2872,1927037264.3192,2858486886.9741,5241576543.7481,4268322307.6127,6569058322.1461,1820463616.7239,1554515914.141,1022996866.4164,411133489.5645,334449381.7933,316611769.4373,467250699.6959,611747671.8434,691848402.4182,767335926.5943,819034995.4605,959427060.115,1281617993.1025,1681936446.1652,1884836915.34,898025348.43
"Cost-Based","Air Force",7640173000,8335119000,10774873179,10338539493,11467113807,10101789014,11332862940,17234441402,17562319130,16677947487,12205578662,12461311450.88,13284057250.8925,17142177234.1594,19094762007.1886,17532989833.6245,21253869930.3739,22781605616.1066,22768751864.5808,24802532160.6642,22125448697.4019,22208905090.9349,21326205014.0684,18551438468.7694,20714751644.0985,19193880882.8076,21716774700.246,23580453530.2542,29701609956.035,31175711806.484,28566664236.4365,31472803477.1771,31341725824.8936,36655904838.4529,38539696503.91,18731308729.54
"Cost-Based","Army",3445797134.53,7347619000,8400814682,8569611659,6208117386,8992173941,9042209782,10398637570,10416976296,11162865355.01,10022720824.8321,9583007232.0406,11776599449.2872,15360814458.3402,22451011477.5901,20665316347.2328,24352135131.7723,22824732403.3002,27349206443.4845,26169106253.5358,30027745806.6359,30781967102.7529,27123839601.9535,25069805878.581,18247261643.5791,17524881018.0631,17004917474.4833,18044872049.0434,19780174265.512,19905115574.0355,20126764230.2945,18328485729.8061,18643441743.0614,20137523306.1368,20152513714.92,8245271950.54
"Cost-Based","DLA",43783000,33349000,50270991,47360104,42377593,50636464,84573515,86511651,106617358,138720256,198154552,176687754,245431021,217486127,64145119,76925523.8,40776566.6094,24832002.0195,20682233.6095,97990195.1503,79415046.0651,146929132.5765,115994750.4726,70595753.63,44033159.7412,123125334.74,88475634.387,83304054.8318,218765528.793,195248807.6906,297203466.971,248869524.017,201084313.3667,237114151.2765,363660403.9,91592197.21
"Cost-Based","MDA",74831000,68100000,1661000,,291755251,236131842,307447990,391994019,730448353,930574715.63,1349991391,1642650426,2416016889,2503023262,3149737872.15,3598719440.7,3201555202.43,3457108741.29,2082088279.6743,3667565074.4966,4876449953.8014,5007329115.9574,5932685554.1113,6899630834.5337,5263488055.1135,4181628664.2307,5086009796.4309,4568718063.8037,5539199967.7318,5038127335.6872,6416578239.6705,6720011927.7763,6536021631.3973,5806281323.8729,6327142467.03,2970606658.31
"Cost-Based","Navy",9084026239,8664758147,10183360463,11460582632,14617679596,13503333264,14325857938,19810607304,21065711772.07,21521578310.2,15841276974.9697,18010707973.5802,18066466335.3312,22601724687.5808,24380756634.5582,28340719135.3602,33025930248.6314,33256356553.6876,30565006612.8785,29616606275.3531,36955095237.7244,42385107089.1858,33476320981.4371,30834259634.7849,30504483321.621,30143955310.9231,31147944185.5588,34927238988.7908,33453528544.2089,36610870955.1474,36306363560.0039,41369143045.7595,44864941884.0727,46922443230.8248,57484176139.8,29581157674.78
"Cost-Based","Other DoD",1722991000,1955516000,2404502533,2177086051,1038497677,1270564097,1099154526,1499841405,1629458881,1751782899,1400008608,1202896843.9883,2197922091.9902,2534272752.7063,3495931146.8923,8707735232.2082,9626511342.1369,8238362516.6394,9457805877.0798,9026406967.7385,12522993681.2504,14091803020.3839,13979143207.2781,13619052844.6216,13907790159.8355,13247727519.1679,13394587090.1886,14127408577.4609,15219833177.5172,16123441898.1798,16332603204.0465,16526412335.3786,16855154423.0556,17462139826.356,17901598475.03,8822196098.97
"FFP","Air Force",15769078000,22355749000,14959195881,15473537572,15374925564,14829976945,17722336338.51,19427897322,17638134882,22548540668,20636641438.9792,21766392938.8721,27090644155.1969,30287519338.4258,27513100735.9142,25982495610.2776,31819533933.2773,36923960576.5915,26643550952.4563,29617477567.1782,35045173079.5995,36205831175.9263,44929634937.694,30789004881.0347,27963377778.3854,28274539155.273,34513714923.8312,29066764861.8319,30500210823.1934,34857899757.587,37085025157.9033,36126806727.5621,39057472024.6809,44683636380.2301,46018907644.8436,18049735108.06
"FFP","Army",10561150000,21080427000,18155541342,15403312768,12437784930,16811658914,19223640165,23265935920.15,23501361494,27452141517.19,22436948034.8722,26074063399.7448,28310050808.1554,41249375194.067,44411662250.0837,64251362287.6914,66304511473.2358,79689952903.637,104290500985.082,97856944174.4665,96620042029.9463,85262914944.2322,73854582791.6769,57357596181.6337,53305895401.2596,49994694864.8526,51358661019.5925,54593931298.2389,58370530703.2196,61460581870.5724,70528535311.5433,84496448740.4557,86595719781.433,81661518144.0517,73691853581.8119,25963278460.78
"FFP","DLA",2157020000,5413692000,3199334166,3214287302,1999610001,2895636012,3067307771,3457908619,4210354657,5183530037,4572102699.9147,5601020892.7901,7299371202.3973,9288932607.6305,10307467402.7788,14101140618.7451,16854535299.5303,17206760962.3111,19395696116.3904,18063980500.7628,21497697289.6437,20849663865.7125,20411603856.2386,19202333737.2525,23066867444.0676,23761741545.9125,24518197740.4249,28278093882,36809477947.0543,36728814520.2954,34955871844.8171,31464340593.2903,34223589099.628,36375411370.4699,39450576639.05,18753741795.39
"FFP","MDA",,,,,51992609,15462431,2724100,37433342,13314130,7472170,4542739,7648615,32587301,114871813.0938,137906516.6484,97350247.4375,79342529.035,72191820.2275,80418739.0569,273024148.0224,340260740.955,218692720.2963,735555217.7093,595428463.7694,513098793.01,252771281.6303,1053465241.1693,237510574.4011,329296979.2374,334860399.2179,2944495819.5807,530954644.6503,304820055.9254,192588755.0475,212357679.17,110330482.98
"FFP","Navy",19183569123.56,23057824802,22069061820,19337304249,19016766367,15953959629,16125090834,19022579864,17827653004.02,18227560183.85,14903005077.2499,15380364120.0424,18313965412.3682,22284082626.0812,23242366128.4086,26285621336.7675,30751706381.1525,37991795928.5587,41749328226.833,39162331714.473,38758978295.7561,39503342985.2016,37001389902.2107,34262128713.4182,32333354165.9465,33110563213.8466,37170530512.7041,37385729832.0541,44465932761.1545,51388110275.4175,57115607924.7052,50409550437.9876,49095788255.4048,57766323526.5121,59672139180.1115,23458795892.17
"FFP","Other DoD",1390739000,1240410000,2522310294,2637717845,2787633698,2227082821,2609274585,3302207409,3960058231.82,4333366171.92,3176642316.067,4227401029.3311,6611751375.7355,9008818917.237,8198210904.0138,4552219337.1432,5564055053.1145,4429082723.3586,9123623764.7245,11203995719.3587,12846057069.7206,14021133538.6117,13933579145.7951,12311995560.1652,12678726787.0745,12733695340.8778,13935392184.9352,14883006463.1018,16347784864.0637,18671614559.6717,20051771798.247,18058316912.4903,19802602300.2959,20631360279.6507,22750079171.41,10271665654.31
"FP-Econ. Price Adj.","Air Force",393916000,1220660000,1146930115,753577744,1159739608,581106605,778145000,913193329,872026509,822482812,767146502,1431188830,924381762,514137199,962555993,4636478210,1299752602.6849,1780408232.3929,4037968689.1551,3519208585.5226,1641020050.0509,1542926654.3733,597014516.7572,484913062.5094,478783118.0471,358264675.1016,334849306.9429,323629421.4041,237375942.0724,189735785.7002,386726616.8729,186860455.3257,124949258.6247,390356779.6993,319820130.86,193337836.23
"FP-Econ. Price Adj.","Army",2045300000,2582681000,1622297471,1611800264,109363807,1003624943,490087874,588129624,478860800,559988765,310043347,730310857,491784339,624467921.5,1286485080.2442,1521294486.1235,1147441912.5445,870686510.1034,1054744445.2134,1822231281.0311,1850776209.9003,1601942596.55,1228489851.727,947222032.69,815243695.74,647581639.1061,642107803.2572,598621309.3531,735355553.2199,527836448.2336,539412546.3925,677771340.9485,1686058888.4702,1408735539.6941,2023610371.67,450611198.78
"FP-Econ. Price Adj.","DLA",1040802000,6074176000,3584574609,4566372371,4526202847,3530478874,3967149921,4264982243,3217912925,3155768848,4353251671,5108936547,6382329311,7336510602.6396,8193248839.9382,12878240639.3725,14713648303.7978,12386321191.2502,15221879927.1931,18808357756.6928,12865813581.4121,14458312032.6561,21984233884.9251,14658931692.1303,9055693219.0095,6797023062.2736,5475397245.7378,7074711916.0546,8061753528.6332,6978878325.685,6258064833.6121,6871784608.5385,13194581963.8834,13066314089.6113,12599857377.86,4270412218.2
"FP-Econ. Price Adj.","MDA",,,,,,,304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
