"fiscal_quarter_YTD","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90746769717.0266,95276928125.5136,93253923049.077,101889449894.48
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92632683675.3391,122518110517.018,83131397797.22,96743977636.81
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107007632510.756,107184688340.797,111905414171.71,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123965358539.928,132141929673.396,156998866894.46,
,122365241622.09,137126642844,125252686569,123057092142,118937617138.16,118388185994,120706311310.51,139822914375.21,143311928366.41,156601020411.4,132177969739.387,143993538572.227,169810521135.502,211533087299.785,229775123832.669,265664477759.014,295135547389.375,328138443820.212,377985532544.32,381546162439.944,362695499197.28,368610501185.146,357789885542.806,308200677489.641,283396245176.568,274224090474.232,298351857417.014,321874415208.485,359361603508.872,383608376439.977,422534745021.121,386973975340.852,,,,
