"ProductServiceOrRnDarea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Advanced Development",5486322000,6286179090,5718244451,5140491100,4798500580,4761933461,4921894718,5011120195,5180352072,4722234520,5183352833,6131452406.6201,6346266503.5,7042720994.0665,6812793620.9581,7731286694.8283,8054503326.9605,8851010044.3032,8730149084.6568,9131386732.927,7449099302.8027,6671402838.8418,6877287114.2026,5029634070.5333,4044208975.2685,3943988556.3326,3972011794.4947,4170245083.5796,4789546354.629,6120210732.4872,6110101661.5985,3002106690.1625,2093265783.6803,847266724.2923
"Aircraft",15318986572,14977297358,16005721078,14777067234,14657882119,11783106879,14087562853,11332683109,11638498782,13877199110,17249361577,18022915403.25,20402386141.3809,23009041821.2891,24398210819.5655,21687482871.0294,27718248801.5521,32248377044.6192,38223019396.6314,35875225114.948,34349028413.4947,42270886624.3121,48044189472.1299,47273092606.8908,34111734496.4614,36577780326.6803,48669339942.9262,55534780552.1404,50534442688.8521,52021123829.7811,67288984255.7294,39985411139.0193,38374833050.3881,41435962437.1154
"Applied Research (6.2)",1652192000,2285130546,2161209114,2202254182,2187211767,2323903528,2300145534,1982222535,2052478954,2253220444,2519227091.54,2780287195.8401,3190310544.5,3765369999.1676,4499572631.4463,5037631440.2397,5307033375.6313,5945384433.3795,6565856574.3903,6882843620.2702,7768860016.5661,8697234323.1263,7931792528.2445,6656936961.6818,6836974242.3253,6157825479.1865,6649419051.924,6838662315.9153,6901678361.9701,7762479939.0812,7993922520.6615,8522762358.5698,10727955364.5046,6275709971.7694
"Basic Research (6.1)",906271764,1061683181,1201436701,1372964200,1070461947,1602084609,1601006963,1705910362,1654779221,1773970984,1708919088.875,1969918232.627,2491746279,3387565430.1078,3796217361.1946,4673593564.4676,4497778085.5625,4765324405.7155,4963434822.5865,4892554947.7283,5180191095.5461,4488531529.381,4177515860.3359,3418595039.7041,3322046820.1618,3128972281.6024,3272446993.7904,3278077789.2265,3679496206.7801,3886363222.0569,3776125490.6814,3495741903.011,3518389135.13,2293232077.7917
"Clothing & Subsistence",3153985000,4641353044,2790433644,2884169984,1977098248,1878839304,2039691298,2084734508,2346918464,2483546279,2786276037,3168950627,4514328308.0713,7208656446.2124,7522970911.3421,10653838685.433,12407610997.7963,12646189823.2267,12985954188.4274,12060094124.1675,12658739166.992,12307687571.3207,10587291750.6857,9489335459.0054,9162852122.4697,9623992033.5369,10765765463.1972,11388678965.2804,12385687852.1903,12255748258.4535,16689787595.537,43645961598.8373,41869556480.1258,8888402831.1819
"Commercialization",,,,,,1785124648,932495950,382211353,421153332,264041294,584614636,659696016,922008502.1992,1067853242,1393788520.9854,1752995271.5645,1844790681.0156,1977657181.7849,1925505783.07,1803467488.4437,1852549833.4818,1996755273.465,1526316347.4058,1313649843.3941,1452847216.451,1044139991.4515,919687626.0158,947937679.9111,722485035.4064,727323763.1135,741042117.5334,423280416.991,230728367.7877,196939767.1915
"Electronics & Communications",13692714600,11727498372,9291949098,9716644822,8852360913,9120227655,8975537345,9109708577,8986218489,9201667881,10105590550.0859,9760468933.172,12081633465.4009,15357431335.3888,16808043310.944,20066665031.8465,22317839807.8627,25457798112.146,27961130460.4144,25667278866.0864,27623600131.887,23530136978.321,23404670390.6558,20523050523.555,20200691975.7373,20521716036.1302,22721976345.9046,24176780081.1588,27375594185.5673,28614263027.3405,29454810987.9214,25230208907.4849,27584484537.8293,15313597245.9786
"Engineering Development",8010758000,5790030019,7418535498,8334519210,9089191963,5546833078,5571893377,5761159218,5081887849,4295706795,3265656468,3619911776,3760202190.5996,3594220180,3605566922,2651441532.7657,2625277371.8666,3706281605.5497,3936874917.1333,5469911998.6759,5974035205.6784,5444198610.379,4622332262.8805,3721729442.9124,4265473987.4774,3936720244.6805,4845020679.5045,5110208166.8298,5858300568.5094,7134560657.3964,7876057445.2977,2672251280.13,1779038404.9054,1512967972.6675
"Engines & Power Plants",6630643460,5404112523,3919992642,4094267182,3625077304,3265893312,3688465002,3603553366,3766696865,4585454219,5113887878,5119121622,5359430820.2793,8196972606.7198,7032088431.4229,7503084467.1697,7170945704.6105,8464814044.82,8024573758.3588,8933279130.7382,8105867607.2943,9151263160.279,8569366010.3256,7821217813.4299,7713379831.7022,8371555406.0288,9215770990.8158,8763227386.9664,13054108632.5763,16371278612.0477,14506670180.2588,10970083384.0445,15436246141.2629,8959364364.4278
"ERS",8136026114,9336257603,8894313162,6871430089,7924352924,8346113294,7637315066,8136289486,8782761285,7619149776,8565669548.1416,9766355879.9395,10688518994.2097,13009874109.0498,13338003784.8289,16188302443.9785,16398946916.988,17495344447.8086,20271352737.5014,21810178493.2197,21099391291.2976,24528542413.8489,26803126894.6128,21995150570.5433,23525515523.9773,22534483248.4031,23028316947.0899,26364245909.2251,28982169383.4354,29825062105.1013,29301054606.5081,29041768087.4301,30391554906.5317,20106233878.7948
