"PricingInflation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"All Other",3410796125,3567224416,3929791150,4339687969,4722332172.16,4542489865,4533222929,5341018557.06,6364320451,7341263395.56,6381928579.3536,6747008088.6202,8072281208.2013,10540757674.319,12836588997.2038,15095818809.7542,20555093788.831,37389836035.3006,49723965605.3679,54614610145.2335,18682561712.5854,13791654301.3731,9963175401.3114,5674605634.7784,3564009549.3797,3312277978.108,3475487776.0943,3791114615.4635,5073235012.9303,5082149813.7403,5503592559.1545,5037821644.5799,4839570895.1604,6246690203.0344,7112562232.88,3162799345.06
"Cost-Based",22011601373.53,26404461147,31815482848,32593179939,33665541310,34154628622,36192106691,49422033351,51511531790.07,52183469022.84,41017731012.8018,43077261680.4891,47986493037.5011,60359498521.7867,72636344257.3792,78922405512.9257,91500778421.9539,90582997833.0433,92243541311.3074,93380206926.9385,106587148422.879,114622040551.791,101954189109.321,95044783414.9206,88681807983.9888,84415198729.9324,88438708881.2946,95331995264.1848,103913111439.798,109048516377.225,108046176937.423,114665726039.915,118442369819.847,127221406676.92,140768787704.59,68442133309.35
"FFP",49061556123.56,73148102802,60905443503,56066159736,51668713169,52733776752,58750373793.51,68513962476.15,67150876398.84,77752610747.96,65729882306.083,73056890995.7805,87658370254.8533,112233600496.535,113810713937.848,135270189438.062,151373684669.345,176313744914.684,201283118784.543,196177753824.262,205108208505.621,196061579229.981,190866345851.325,154518487537.274,149861320369.744,148128005402.393,162549961622.657,164445036911.628,186823234077.923,203441881382.762,222681307856.797,221086418056.436,229079991517.368,241310838455.962,241795913896.397,96607547393.69
"FP-Econ. Price Adj.",4413768000,11085874833,8292024438,8389093212,7216938872,6429622721,6240967492,6326011403,5547301387,5485196890,6301955255,8495776002,8579162028,10237410910.1396,11393769096.2519,22121395385.4164,19911512737.9294,17480281870.3708,23192843021.8507,24772255554.467,17167106141.5573,19616245702.2966,27118090727.578,18300986393.2541,11867343968.1866,8985851310.0364,7381403915.6093,9215365649.3795,10630924609.1741,9806987408.5957,8959138691.8077,10110997128.4596,17518939386.3855,17556186076.5167,17442113345.66,6051757384.73
"FP-Incentive",15455938000,13729183111,13375798773,11254928029,12910585670,10906153537,4722392246,6914956587,8381052343,6819148426,6133098636,6192593184,9031564895,9079232478,9827511405.49,6844005098.9382,7082066070.0877,5551385144.2826,5349736697.4983,9307112509.1561,14936091825.8991,24522062799.2508,27890057491.9652,34661305787.9647,29424597896.5901,29382727058.1822,36506353710.9782,49090871885.6298,52921078164.3363,56228790554.0941,77344518975.9391,36073002471.4612,44471572824.2879,64786564569.2409,38170214732.94,24369190098.46
,28011582000,9191796535,6934145857,10414043257,8753505945,9621514497,10267248159,3304932001,4356845996.5,7019331929.04,6613373950.149,6424008621.3369,8482649711.9464,9082587219.0046,9270196138.4963,7410663513.917,4712411701.228,820198022.53,6192327123.7527,3294223479.887,214382588.7375,-3081399.5465,-1973038.6939,508721.45,-2834591.3209,29995.58,-58489.62,30882.2,20204.71,50903.56,10000,10000,0,-29324.9492,10000,0
