"Source","MutualAcqKSA_UAE","AgreeDeliv","2010-04-01","2010-07-01","2011-04-01","2011-07-01","2012-04-01","2012-07-01","2013-04-01","2013-07-01","2014-04-01","2014-07-01","2015-04-01","2015-07-01","2016-04-01","2016-07-01","2017-04-01","2017-07-01","2018-04-01","2018-07-01","2019-04-01","2019-07-01","2020-04-01","2020-07-01","2021-04-01","2021-07-01","2022-07-01"
"DSCA","NATO","Agreement",5266761256.50181,,2477268798.25556,,4490886695.24314,,4977792894.37941,,3955008777.79415,,5474928796.7143,,10882232376.6473,,5507084697.9188,,12258739161.4571,,18710240319.2726,,11000439860.8685,,13525067430.9866,,
"DSCA","NATO","Delivery",3236015071.55253,,3819115784.40333,,3843180851.96672,,4241512350.46633,,2402608522.27029,,2770668705.3565,,2603056134.81188,,2773081449.08608,,,,,,,,,,
"DSCA","Major Non-NATO & Treaty Ally","Agreement",3666050453.47379,,6427095306.02068,,6170153170.52273,,7359121402.30632,,5743215991.363,,15580116222.2472,,10233360509.5968,,7278648802.11726,,6445299623.8684,,12704428508.6548,,6654934657.68162,,7422160323.08807,,
"DSCA","Major Non-NATO & Treaty Ally","Delivery",3043515904.2689,,2451796826.88229,,2381955875.14552,,2001803461.54746,,2381606843.74956,,5076847742.02028,,3232884573.66112,,14671779986.4358,,,,,,,,,,
"DSCA","Other Major Non-NATO","Agreement",11907675748.3874,,6174782624.97522,,6752992470.81153,,4404505319.06715,,5279689256.19955,,9777789815.96665,,8299791254.07323,,8206497752.62225,,18852436954.8692,,8007841065.49861,,24145950822.0869,,10659820637.3139,,
"DSCA","Other Major Non-NATO","Delivery",5874255111.65483,,6130507073.26432,,5427293359.96447,,5631384805.11703,,6073908414.07119,,3855740550.77845,,4954142827.20326,,4093705561.39207,,,,,,,,,,
"DSCA","Other Treaty Ally","Agreement",480424388.861782,,613675356.032867,,440845669.515887,,223198960.128604,,409324667.618502,,474586618.312361,,60481905.7266464,,101874552.257492,,133254863.230639,,82262373.665479,,173473333.113363,,741549329.247868,,
"DSCA","Other Treaty Ally","Delivery",641129697.961343,,288679777.46466,,445593230.514981,,340516797.452468,,245899556.023958,,284041178.359168,,232420909.53617,,186038638.88629,,,,,,,,,,
"DSCA","Saudi Arabia & UAE","Agreement",3789488279.62518,,6625273475.68561,,48936437028.9629,,6029164321.97839,,4909111720.95902,,16191100419.5447,,5322774543.76891,,3880785370.58555,,19974290957.7182,,17986474250.0169,,5242371129.3178,,2057859893.84694,,
"DSCA","Saudi Arabia & UAE","Delivery",2978682755.11506,,2727689964.5361,,3760464990.7825,,5041007701.48084,,3713849188.14882,,3895321121.04438,,4484191718.97262,,6950954999.47605,,,,,,,,,,
"DSCA","Rest of World","Agreement",3566190815.44943,,11382086866.0754,,13006102028.8184,,6045102511.50288,,19334840894.1782,,6685803500.7614,,5206014203.39085,,24029141242.1788,,5892411310.55163,,4539542467.43696,,8908148184.27364,,2815121715.68101,,
"DSCA","Rest of World","Delivery",1696313468.06423,,1995766082.08076,,1939755198.82989,,1915803028.90378,,3480934495.22967,,4254327772.34577,,4221143624.64731,,3838039027.52906,,,,,,,,,,
"USITC","NATO","Delivery",,5719667545.2698,,6098757460.20221,,5605667979.07171,,4839513721.56683,,5167699820.89896,,5335400734.1694,,5058812274.25147,,5432404728.91994,,5437606729.71294,,5517072215.26387,,5446246417.07999,,5628113024.38694,3124212736
"USITC","Major Non-NATO & Treaty Ally","Delivery",,5162489901.13362,,4414953197.74512,,4828740264.70661,,4125234880.07822,,4630292401.15537,,4963291619.64073,,6523893986.47633,,4483501103.2212,,3795326877.61729,,4376916605.57986,,3610326625.2911,,3974047055.18985,1595904510
"USITC","Other Major Non-NATO","Delivery",,3645603213.78466,,3057695677.03491,,2930299069.51534,,4198052425.63557,,6031919178.9748,,5400110486.10429,,4390896980.34678,,3511991027.01522,,3722885597.3149,,3327201071.14004,,3323673214.40425,,2708503370.83891,1416927380
"USITC","Saudi Arabia & UAE","Delivery",,1842644514.52952,,1523967096.94249,,2808299328.3831,,2924510104.01451,,3361380159.9856,,4138565259.30539,,4412435761.70095,,4908083641.9216,,4175305159.42813,,4625165756.04664,,3237488007.82925,,2728886634.15795,869650703
"USITC","Rest of World","Delivery",,3419838947.21702,,3871692138.73956,,5272560693.94901,,5300445544.447,,5406338441.4705,,3997521076.98077,,4942355199.05815,,3844776806.39164,,3235961574.042,,4651484755.21016,,3216387356.64875,,3436836540.20261,1663716852
