"PricingUCA","costaccountingstandardsclause","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Combination/Other","N",10995.9697,,,0,,,407640,167265,92279742.8443,119173716.1288,1333250.5347,2864694.3703,-496717.6003,-188591.29,-132058.29,,,,,,,,,
"Combination/Other","X",5213647.8438,206255845.0996,45625954.7305,190697463.3575,463071084.4581,992093065.1092,2292587523.6208,10707397142.4536,17101134198.3348,20630721334.2785,561723740.9414,112308724.3255,10609921.9267,-13998958.1791,-15622733.6813,144739.2063,0,0,0,0,-2164.04,0,467462,
"Combination/Other","Y",,23226,20342174,11877056,30675033.5,48423969.875,914932137.7051,8274331491.8695,9882132614.1339,13080981723.8221,2215593.8323,120616922.0023,-13405365.4918,-23254687.5598,-12576212.4,161692.7199,,,,,65050.4219,,,
"Combination/Other",,0,,,0,1394380.25,535947,605720355.4098,,246072.9844,1141536.2969,-45868.7578,470639.8153,337170.2276,385063.25,0,,,,,,,,,
"FFP","N",3211,712753.8799,2439414.1602,2731041.2112,4821016.7004,16454774.8143,210488042.4052,787946204.8935,5403671007.3886,5370821611.0949,3218497176.6503,2677866143.5412,1774605211.2951,1088847209.575,1118784166.2468,855312942.873,884830655.4441,782485180.9524,734273910.5382,1029912566.6042,678267364.0607,556355219.4772,446258276.7011,1420542770.5866
"FFP","X",58206398516.2667,63217814647.8022,74742591036.572,89644889552.4243,88171615133.0896,117778888256.596,130440085237.376,143863813411.757,165414718524.791,144626902003.604,116260847644.406,56150383862.0875,40869625867.7001,32985461935.0634,30983884968.6032,29472242369.2976,27868747793.4491,30321796505.627,34725024692.4569,38287455113.339,43092429510.081,64857190366.9608,65225364181.3499,44506486311.0509
"FFP","Y",930918962,4961943663.5937,9275651043.4736,19269767543.5756,21296907145.9782,10216778921.0981,14723266380.1455,21896023597.8436,22562492166.0413,36538720448.3939,43217987341.1867,29218321239.7249,28287164931.2065,23856637427.7516,20627353596.513,23699553928.3888,28800832932.7002,25029025652.4552,24021106802.6427,27985898191.9849,36901022615.1755,23821415475.9199,22697996365.3449,28772016317.6162
"FFP",,43277008.1113,2915033.2949,20681179.9882,273869137.8608,442952774.6645,44239565.5458,272478565.8134,299353898.2006,300942952.7632,2287039601.9764,28013026016.3241,97432460680.9556,101383817815.496,87624523478.0975,92824295503.2116,90726380076.5869,93600626742.7983,99745572485.1756,119631673315.526,126005356482.189,134047895725.473,122987389300.135,132923869330.376,41731293628.8996
"Incentive","N",,,,,,21338381,22253030,-470000,170353363.2583,262811935.5508,152601517.2275,4110096.5,136598493,154897672.6558,135857204.2336,75192302.8498,53133799.8267,39881779.4042,4558044.5511,23474582.1201,-11203029.1798,-9634071.2382,-1167278.5807,-39371.4395
"Incentive","X",5345678265,4573314058,5934587732,8779941675,8511372010.2207,7769199724.686,7858679231.5535,7453814068.4032,7485576415.5926,7178638255.2063,3797314428.1957,8190857667.6461,4516323570.3456,1754541323.8944,2849103921.6464,1778034605.147,1279287015.4048,2328347448.8372,3565249567.4543,4333406881.8582,4136686377.1961,4409816123.888,3661587114.7868,2590877588.5808
"Incentive","Y",265376017,2433045687,4127277096,2398679289.0469,4594111366.875,9284542184.0312,12522804342.5938,11247601664.1363,15111393111.4458,15894874678.8158,28563905610.3419,40608252849.589,35152074246.6752,40794735013.9778,31685295493.1433,31500494953.1508,31292125575.2376,26932871242.6195,35448609709.2477,47548221195.2042,44476512734.181,37374334344.1982,42111966988.7149,49244062081.653
"Incentive",,0,,0,0,,1271673,,0,11283238,31306069.5,258379118.7015,1683390438.0902,2415042036.3101,3071157243.3325,3278199111.6366,4979972376.8205,5498668092.9932,7136879216.3665,9389720042.8926,8265605229.8004,9927634994.3447,10952025518.5543,8929945047.5451,4223761774.1708
"Other CB","N",244980.4375,52859.9883,4421686.1599,15264039,38800,1571396,14428056,62728911.5647,1207557270.1665,2947398426.0908,503118270.9664,399680832.8666,319518631.2312,194898021.6206,111557179.5613,92868223.0487,118138923.96,74619600.3123,118363660.3839,88124043.391,121789076.1388,118046623.4351,68161035.0235,204942581.1895
"Other CB","X",32066173248.9893,28854612685.5333,33196088520.523,34879194028.6728,40157663920.606,46242025260.0919,51069086782.4928,46014238141.7496,45883680749.9577,44622995494.0808,36006572111.1891,25054051137.6379,16576895330.9249,10625817454.0696,8458264789.7887,7192580950.1269,5323030299.2988,5028284892.7492,4345912583.5612,4796710342.9704,5281440555.7343,5117297298.85,6223903861.3517,5614710862.7432
"Other CB","Y",1857152529.375,8232853449,7932622361.2109,17027971320.9455,21171411146.9747,17165388623.2938,20063999034.6612,24495565693.5787,23772846163.2672,25699648320.1291,39992618026.7883,37052756615.384,33566897535.6067,36449560644.6086,37600235346.7349,37579613445.0904,34676552767.4464,38419387857.1642,31240092946.6916,34683468845.6375,32598265428.313,32986380969.1315,35528460251.9959,30121642319.2232
"Other CB",,3395,17519957.4702,3378626,12053037.9239,7172649.2471,94014462.5156,13955603.6153,34489366.9218,26128790.22,84058678.4447,2234732729.2498,20467476394.3727,28870615067.4996,27162347779.7187,29221418845.8288,28826974247.5829,31807608940.1397,33489410773.4185,41427298505.0608,43984589041.1172,44290486691.9931,45324577571.5503,46791734253.1098,23680376170.9744
"Other FP","N",,,,,,5534587.68,42916539.3125,3487822.2258,362647642.8926,672213442.2082,64644055.7156,20072105.2101,7869328.6133,5589971.34,31465438.97,21463928.6695,30434609.0157,24828039.3916,57382194.7306,100058429.0042,209614178.8052,142906482.2722,186087600.2782,132357499.394
"Other FP","X",6836403192,9500910992.5408,10081860524.6406,11223659727.2334,12320527334.8858,21784685207.1905,19225314984.7508,16607506113.7359,19117070735.2931,21660364323.0362,9099508348.2872,1675136481.0631,1352626063.3991,833680761.6784,780842135.4967,589769032.5567,473271938.0809,488147818.9991,449937770.3006,383859095.5569,639281093.1036,727952637.6491,3099078730.6389,5692247735.6918
"Other FP","Y",3397870,424623607,240398923,348079477,1493626457,2591268428.8125,2579776787.4708,2405843381.4883,5917955000.7358,3502414070.9077,1864147257.5916,212892284.5255,584267580.0268,569885863.9504,165995019.62,259405309.0291,256218239.657,298366151.15,146419196.8256,512809077.2942,513793395.241,283713338.7985,1452942849.6957,476653790.2763
"Other FP",,,232754,23660,645137.5,,186979217.5,8281531,4043389,1947105.7402,279961047.9056,7968544904.8482,19621177192.6551,26374090578.9946,17514275060.5112,11350904887.925,8646294668.7732,7175108821.1173,8784519204.8083,10274001890.4852,9534212939.1605,8610943412.7096,10145586430.5022,13811414979.0991,3548754732.3387
"T&M/LH/FPLOE","N",58925,25000,1065000,18800,430892.211,496620,7058146.2657,5674046.2782,778519100.188,1132987169.6399,288020667.5722,130588893.3908,16942543.228,4863737.6818,3385021.28,-10890907.6219,7983575.4454,5098558.0422,7425721.2115,6027852.0698,140244.7807,242750.3516,2410178.4219,1076454.4909
"T&M/LH/FPLOE","X",4681646304.2259,4412911238.5928,5181453150.4302,6340956519.3462,7407185003.8302,10651005199.3766,13481801009.2324,13752045293.8853,14445405024.0561,13035766774.811,11541758628.9885,5364708103.9931,1863676198.5012,265509581.7378,113393500.1628,133330707.5589,192517876.6374,290235454.0109,337910042.888,474975939.6747,479119318.9367,400730261.3896,451456241.2555,610989880.8615
"T&M/LH/FPLOE","Y",468666584,443732892,911461290,1827085214,2481922575.9071,840846311.708,661312359.7898,1725036155.3785,2115703893.0523,2160609507.4058,3129268048.1115,1330786500.9904,790347079.2891,575155521.942,227663474.9671,358849218.0156,355160983.4041,514151084.9999,369985397.8401,113097400.2536,55998684.2763,-405028572.9715,71269957.1428,503271425.5203
"T&M/LH/FPLOE",,21502093.8436,8212772.4024,47445991.1631,266179.0103,-21495100.4668,6315165.6503,25085165.7972,25173607.3612,11927626.3906,41858793.7729,1111378314.0941,4569025970.0295,5673110275.4194,4028122464.0466,2645333683.3858,2117724764.4517,2298201825.8457,2347365086.2685,3884952556.8792,3679056154.0117,3789599891.3779,3776006005.029,3243145756.5526,1844750818.6169
