"PricingUCA.sumlong","PricingUCA","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Incentive","Incentive",121289000,91841000,9737000,7817000,17638000,38434000,24166000,1733317246,32375530,39560431,142126379,84925188,151641248,706106010,883972082,502235051,763339162,989242225.82,751531095.68,884082493.0025,1709704073.2179,2471076994.0037,2576087215.6511,2574998946.53,3397974933.74,2096597526.27,2008544425.8726,1867007218.7972,1888821223.8225,2154302159.9724,2110794259.8031,1429533118.9,1837524676.4,2241900214.41,1249374074.92,655137133.17
,"Combination/Other",,,,,,,,,,,,,,,,0,38902563,193615862,736952723.5569,1140578800.7506,-701265.21,-821630.9967,1926650.5795,335784.2,0,,,,,,,,,,,
,"FFP",24872000,62751000,41129000,42130000,16745000,43749000,24955000,182113947,282932106,333813499,660568306,1255193655,1117734286,619128853,917858095.9375,1624622963.39,839071178.8,577754851.6143,755447172.4327,1164638105.4596,2261281761.1265,3227791376.3345,2836866677.7479,2729787925.7304,2072266592.2502,1390494473.6922,1059293833.6573,1620631667.3273,1222168596.9061,1922060261.619,2462275578.687,1463062865.5414,1895929923.3344,2150703556.5433,3793886933.95,456144700.6
,"Other CB",,158000,3330000,15962000,193150000,98281000,49052000,271318280,285678910,556012643,2161469492,2279862270,2600195785.64,3076776477.71,3329314211.22,3257780980.76,4820257427.8197,4938626470.1672,5422282109.1998,6147278352.9886,4672183243.6555,3913055809.1869,2656866130.2144,2256931799.173,2001151545.7006,2000718603.9947,1862278869.35,1864685119.2765,2173519674.2358,1882589679.7529,1928470612.9137,485275659.6572,591471906.0574,635989140.9293,732102109.9,402493450.86
,"Other FP",,,,,190000,,,0,170000,49992,50867488,44451176,38065170,13189917,816632,74337045,3568079,-117149,-182452.3,-775437.1,1995733,3188451.1899,-38309.8789,-304973.85,,0,55404.1707,0,10152000,332379305.49,299719396.45,240248622.21,302908851.27,97727424.29,124710297.76,48450252.48
,"T&M/LH/FPLOE",,,,,,,,3154946,7951793,6548417,7232135,11989370,4892070,17522856,35578117,42478443,52699731,44945586.5066,47763138.8949,31557043.6796,59754399.5342,37554990.1876,46437871.1681,48330551.9709,37832921.3988,71208969.7281,89906383.76,91827386.4654,53948223.6886,49098720.5863,52821945.0167,-699074.375,3842652.89,2678375.845,1696543,691802.39
,"UCA",,,1440000,,,,,2050000,560193,31347993,153274049,473017362,572574574,854680577,1107264124,1015410327,1490691606,1465268227.59,1842174703.82,993400054.6417,499231058.4082,779386508.703,1989325189.2404,125087672.87,492660425.83,422705433.84,990878259.0233,587024487.7685,509859968.52,872491627.692,468942712.8307,8926237,6310225.03,2397211,25161807.56,0
,,5109318000,4536041000,3207056007,3775896266,3704627729,3449312820,2950138142,3180065599,3551481726,3510692380,7214274,4876697,8672403,2079457,3895254,5431021,1955191,1072328,21539557.9598,20276098.9585,24350,-80850.1397,-156352.7188,0,2737500,-1780.56,2894835.1893,-55505.6021,0,0,0,0,0,0,0,0
