"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AEHF",,,,,1301064,2064362,1300000,22669147.5,29821767.25,23213687.4719,17655783.9345,13925704.3359,257017479.9208,737956607.2,340571748.19,314915404.2618,297738836.2032,534122877.6797,134496690.2868,199152993.0385,185877325.723,63044278.26,30680273.4291,9820311.25
"EELV",,,,,1188918,940864,887502610.6101,309254818.8501,1452836014.0667,1408366777.7144,1309035292.8859,1675661578.3354,2460436023.9666,1295284212.66,2574970473.8961,1769915183.1825,1617007977.7999,2094715754.5127,1553999439.0235,1276084913.7849,578227435.8985,400110589.9015,478920083.1773,212819465.5391
"MILSTAR",352723493,358942381,137521314,58006794,156953983,236022787,228589758,370051876.4043,357654800.9502,257906420.9344,97106121.1456,106445139.7824,90147962.2618,108986164.0209,81052687.0587,34977120.6919,-33686.6484,20078.2998,-16706.3105,-1269.08,-696607.0625,,,
"MUOS",,,,,4.7e+07,362286363,422510715,599440734.4375,631666388.25,868280428.3848,428605488.4688,769640648.711,295655263.2396,560169225.375,95428554.6852,85777054.2987,90135204.5507,68150674.836,77988821.3254,102773489.1406,21312163.0088,494693.3501,6013449.3887,1750276.5501
"NAVSTAR GPS",,,,,223719545,233039169,250051053,361930826.6172,687510417.1691,911017190.1799,1043143690.2457,982302281.8416,1240424995.444,894775969.045,1359417460.3782,683197110.1984,1017002072.4655,626910598.1056,709494739.4825,553340072.3239,489031560.4714,368299916.9922,362597635.0343,179566379.6875
"Other Labeled Project",434679955,863275362,687696323,655164273,397603975.9375,550763544,628843122,822589239.217,511837534.3363,410408115.2195,393135476.1019,401994391.3912,329856014.0083,252450021.4401,218110421.09,173899797.7716,141420465.3499,96287736.4952,113115249.6555,142009548.0508,322261083.4034,74522853.8193,36036009.0728,29802117.9511
"SBIRS HIGH",,,,,13018224,37434444,33928043,44974570.8515,243036895.1251,1558779816.1015,707363117.8773,497016133.5361,425078575.4986,818013002.82,1105181783.06,703269183.1259,813848674.2716,432348401.0835,509553307.2709,766870549.2379,430986861.8139,319084073.3188,400697867.3355,221213412.3143
"TITAN IV LAUNCH VEH PROGR",264915250,272968677,263552182,103756010,,,,,,,-7179128.375,-1372634.2539,,,,,,,,,,,,
"WIDEBAND GAPFILLER",,,,,45000,1838805,120210352,415437403,297617737.422,299061547.922,227813103.0294,540385344.8359,1150879770.9279,49833426.4784,-32168503.2,25211031.2571,80607495.6761,60609532.0195,43317370.8417,329727761.087,322305904.5508,79077877.2734,9410550.8594,46719363.75
,2130433426,2659129293,3405005709,4472557060.6601,5437867806.2227,5097905534.2656,5437549282.9578,5264059810.3561,5365526514.9974,4644002770.7245,4872688462.0791,5312403121.4869,3699834291.2262,2853711040.31,2106920908.7069,2171900634.7106,2018138674.6137,2137412725.7423,2803575698.5768,3846487222.5523,4997451673.6407,2320433498.4623,3318700267.4031,2027265328.7437
