"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",4876880000,4293768000,2808252422,3485991281,3554550710,2986544765,2583426407,4821393077,3791926519,3963892943,2947261479,3838784967,4026203913.64,4384296465,5102620909,4993848566,6377188800.38,6083706574.5737,7476462321.533,8425205720.1234,7473761993.8058,8225319510.0353,8583466438.0459,6113608024.8,6941988659.9375,5269225592.9449,5394397040.0481,5346950886.2841,4951115240.9665,6120770622.8614,5997909796.0004,3468950790.35,4314285919.5994,4938290602.7362,5647974083.39,1409212633.81
"Army","Army",259225000,241444000,374499923,258213057,137668221,262957314,260732470,278511419,210840874,170352914,121118986,166552028,345266551,527672266,606725161,542127731.39,575756666.19,776655284.96,1121498547.2053,774549924.8542,1007904078.8927,957433307.8275,932364227.4486,767521304.76,598203850.9769,430934495.7795,325333452.65,449579834.6139,638432061.056,559093928.9555,655629821.7379,62277174.37,30712452.2168,19576.8691,-18492.32,0
"DLA","Other DoD",,,,,,,,,,,457792,166969,2616567,,59325,1219878,12525,26595,14661,19756,12053,4102399.7376,809585.1602,852850.8,25355612.11,-143816.6,,800,35734,2141935.9693,86587.0703,372764.0703,681814.1094,44058.9922,,
"Navy","Navy",111830000,143370000,64731723,91006504,186251487,378726635,203762534,270955854,157390436,341987778,113222498,148811754,119688505,376943158.71,565574117.22,957453408.76,1047308539.1797,1326292983.1244,963684021.6229,1169162804.3443,730779193.1186,1096046235.0507,611423800.3671,860166723.855,442792804.0052,314935080.78,325836721.4849,228965842.2299,275823456.0692,531924293.4918,606064059.7368,82231384.2135,174678382.864,203585165.3616,290992440.42,154837923.18
"Other DoD","Other DoD",7544000,12209000,15207939,6594424,53880311,1548106,389731,1159668,992429,1791720,691368,,,572258,3719003.9375,27646247,10218407.87,23726965.04,15848497.8829,12097307.0592,-8983965.0848,148250195.8181,-20748979.0181,-6981197.5907,-3717008.11,-33228125.9394,-31715203.1598,5623010.9049,-6936804.9187,-1009026.1654,63334241.1558,12515315.9298,117629666.1922,-10543480.9415,-12016264.4,-1133217.49
