"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",2985241000,2505317000,1783174197,2513307611,2818400874,2206441815,1992790581,4094123141,3065376879,3065470889,2294656920,3068387718,3085678898.64,3722440403,4590336654,4357456086,5571091586.5,5767520935.3925,6823809924.2878,7737798831.6219,6263578897.432,7864123694.7543,7719897849.0858,5515484607.04,6217593762.63,4154090378.3706,4185859428.5984,3987060584.7543,3197892676.3847,5340033085.472,5480830365.9603,2583076940.525,3414430418.6394,3664014739.1369,3637947261.94,999815063.2
"Large",993868000,828864000,692782646,604502043,442363089,509476854,471682817,466475508,262513602,368718796,306484457,380468439,616377927,677885547,661949059.02,975044401,1241667680.87,1078333839.1642,1091838397.1831,1132787571.8769,1202688696.0516,988288990.825,809357042.315,838085198.53,502728089.1475,409157557.5675,348581090.7343,429597146.9669,894913117.3409,748153886.223,837425350.6936,615155853.1461,822791276.5644,1046603073.593,1790556489.84,293734109.31
"Medium",975255000,1.041e+09,605392123,562388708,335821914,665870865,413891525,506686811,647678638,637792890,465729105,553424933,614245301,656353988,733753351.9375,895986897.39,902056889.2497,1035319069.937,1337111786.9809,1133296792.3209,1226521466.3234,1227053704.774,1125616107.5736,980260513.6,903590031.2,1068219364.53,1079976065.2075,1204302662.0813,1268712545.6706,487798615.2335,577359372.8929,315475177.5991,272497467.9166,297228433.1884,205956784.94,89932754.92
"Small",152042000,155280000,126842840,97424593,123212618,103645373,95545849,228975283,111443942,220108567,106274966,151344796,176742392,230613436.71,290011523.2,290076626.76,295517047,328786629.2044,324388090.1623,374073387.2813,506402557.877,346649984.7443,439096154.2788,398074926.4543,378023782.3321,343461877.6469,393589603.8827,406555510.2303,488381061.8765,628055693.7141,421353947.8244,106151944.3034,121648071.8614,118083552.7593,287045356.64,175939404.72
"To Be Labeled",142706000,154699000,48080000,56092000,210085000,141851000,73469000,75434757,74107891,185934213,9606675,689832,731018,2190773,2617492,3590000,124026,447929,356830.63,3055343.3301,4190306.0483,5033496.8516,13347918.7505,3262461,2631229,6737003,5829564.3203,3600470,8566127.4403,8938858.98,6055468.33,6487513.36,6621000,5466124.34,5425873.73,3496007.35
"Unlabeled",6367000,5631000,6420201,8090311,2467234,2490913,931370,324518,29306,,,,,,30436,141820,27709,,3020,23585.95,91430,1776.52,,,57024.61,57045.85,16258.28,4000,4158.46,-58384.51,,,,,,
